,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
9340,9340,2022-03-21 16:17:37-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1925.82031,2173.913,10.9375,19.53125,7.8125,6.25,7.03125,10.15625,10.2864561,27,24,26,34,25,30,34,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,16.2944355,12.5922747,0,1.31122434,100.138115,38.8133545,6.175991,9.736034,48,48,0,0,0,48,11,0,791,200,136,0.775000036,0.675,0.8,5,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9341,9341,2022-03-21 16:17:38-04:00,64.70589,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1917.61365,2170.418,5.46875,2.34375,7.03125,50.78125,2.34375,2.34375,11.71875,26,26,23,37,29,26,37,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,23.8357925,20.7736568,0,1.230932,100.138107,38.99273,6.20453262,9.707493,48,48,0,0,0,48,11,0,791,202,142,0.775000036,0.675,0.8,5,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9342,9342,2022-03-21 16:17:39-04:00,66.6666641,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1928.57141,2173.913,7.03125,18.0803528,3.125,50.0,2.34375,3.125,13.9508905,31,25,23,37,22,24,37,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,23.8549652,20.6370964,0,1.39079344,100.138123,38.94895,6.197567,9.714458,48,48,0,0,0,48,10,0,793,200,37,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9343,9343,2022-03-21 16:17:40-04:00,65.8823547,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1925.82031,2170.418,17.7419357,1.5625,0.0,37.5,9.375,0.0,11.029911,27,28,23,34,22,24,34,4005.52466,4105.6626,4105.6626,4005.52466,4005.52466,4005.52466,21.3391762,15.953558,0,1.197432,100.138115,39.00047,6.205765,9.706261,47,48,0,0,0,47,10,0,793,200,53,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9344,9344,2022-03-21 16:17:41-04:00,63.92157,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1939.65515,2173.913,46.21212,18.0555573,0.0,3.16220522,0.0,0.78125,11.3685188,28,31,26,29,27,24,30,4105.662,4005.52417,4105.662,4005.52417,4005.52417,3705.10986,21.8926144,16.57375,0,1.32356572,100.138107,39.0430946,6.2125473,9.699478,47,48,0,0,0,47,10,0,793,200,32,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9345,9345,2022-03-21 16:17:42-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1936.87231,2173.913,4.74950075,12.5,15.8606167,0.793647766,23.0769215,4.6875,10.2780285,26,25,24,23,30,24,30,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,20.8773022,15.4715157,0,1.74238026,100.138115,39.6806259,6.31399155,9.598034,47,48,0,0,0,47,10,0,793,200,38,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9346,9346,2022-03-21 16:17:43-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1923.0769,2166.934,15.625,32.8125,2.31971145,32.03125,17.96875,3.90625,17.4439125,31,33,23,33,22,24,33,4005.52441,4105.6626,4005.52441,4005.52441,4005.52441,4005.52441,26.9150581,21.5869312,0,1.66937482,100.138107,39.8127,6.33500671,9.577019,47,48,0,0,0,47,10,0,793,202,34,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9347,9347,2022-03-21 16:17:44-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1925.82031,2170.418,43.75,34.375,26.5625,10.15625,17.96875,4.6875,22.9166679,31,26,26,25,25,30,30,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,28.75205,23.5687618,0,1.48719609,100.1381,39.42955,6.27404,9.637985,48,48,0,0,0,48,10,0,793,200,38,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9348,9348,2022-03-21 16:17:45-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1914.89368,2170.418,7.899308,30.46875,29.6875,19.53125,0.78125,3.125,15.2488413,31,25,35,32,24,24,35,4005.52466,4105.6626,4005.52466,4005.52466,4005.52466,4005.52466,24.4535065,19.4497833,0,1.424686,100.138115,39.48584,6.282997,9.629028,48,48,0,0,0,48,10,0,793,200,42,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9349,9349,2022-03-21 16:17:46-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1923.0769,2177.41943,4.6754837,31.25,48.4375,25.0,12.5,4.6875,21.0917473,33,34,30,30,30,26,34,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,28.4491367,24.2525978,0,1.7325232,100.138107,40.3735161,6.424244,9.487782,48,48,0,0,0,48,10,0,793,202,43,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9350,9350,2022-03-21 16:17:47-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1934.09741,2173.913,16.40625,35.9375,25.78125,46.8873978,9.375,17.96875,25.3926926,26,35,29,31,24,24,35,4005.52539,4005.52539,4005.52539,4005.52539,4005.52539,4005.52539,29.2270374,24.273695,0,1.70676947,100.138138,39.5758362,6.2973175,9.614708,48,48,0,0,0,48,10,0,793,200,34,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9351,9351,2022-03-21 16:17:48-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,27,25.5,15,23,25,1923.0769,2166.934,7.69230747,48.46154,39.2307625,23.0769215,3.076923,3.076923,20.7692318,25,33,35,31,23,24,35,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,27.6594772,22.680788,0,1.46921241,100.1381,39.87261,6.34453964,9.567486,47,48,0,0,0,47,13,0,791,528,130,0.775000036,0.85,0.8,10,3,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9352,9352,2022-03-21 16:17:49-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,27,25.5,15,23,25,1925.82031,2166.934,5.46875,56.25,21.09375,11.695075,5.46875,34.375,22.3918915,32,33,31,31,27,26,33,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,29.8211727,24.8381252,0,1.72533929,100.138107,40.0515251,6.37300873,9.539017,48,48,0,0,0,48,10,0,792,200,41,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7077255,
9353,9353,2022-03-21 16:17:50-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1912.18127,2173.913,21.875,35.9375,25.78125,31.25,26.5625,39.84375,30.2083321,34,34,30,37,32,35,37,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,35.0088425,31.185873,0,1.832007,100.138107,40.5831146,6.457596,9.45443,48,48,0,0,0,48,10,0,792,200,35,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964879,36.0,31.7076721,
9354,9354,2022-03-21 16:17:51-04:00,60.7843132,100,100,100,100,100,100,0.984,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.008,26.0,27,26.0,15,23,25,1914.89368,2173.913,59.375,59.375,59.375,57.03125,55.46875,60.15625,58.46354,37,32,37,34,34,31,36,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,48.89851,46.00963,0,2.30100775,100.13813,41.6788559,6.63195038,9.280075,54,56,0,0,0,61,110,292,1740,1750,1267,0.9620001,0.85,0.91200006,82,55,7,100.0,1113.12048,25,1.51964879,36.0,31.7076721,
