,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
15052,2022-03-30 03:20:28,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.944000065,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1904.09021,2173.913,14.84375,9.375,7.849705,14.84375,7.83730125,25.2852211,13.3391142,25,26,24,25,24,30,30,4005.5105,4005.5105,3705.09717,2803.85742,1902.61755,1001.37762,20.2389,17.53934,0,1.50382531,100.137764,34.2520752,5.450199,10.4618263,45,46,0,0,0,45,10,0,791,200,103,0.775000036,0.675,0.8,1,1,0,39,31.7840652,,,,
15053,2022-03-30 03:20:29,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,0.944000065,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,29,25.5,15,23,25,1906.77966,2170.418,13.8461533,26.1538448,13.0069914,14.6153812,15.3846149,21.53846,17.4242439,28,28,27,29,35,27,35,4005.51,4005.51,4005.51,4005.51,3705.097,2803.857,24.7840958,21.7797565,0,1.70828974,100.137749,34.3537064,5.46636963,10.4456558,46,48,0,0,0,46,10,0,791,202,117,0.775000036,0.675,0.8,2,1,0,39,31.7840652,,,,
15054,2022-03-30 03:20:30,60.7843132,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.944000065,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1906.77966,2173.913,9.230768,10.8052845,10.7812519,10.122097,11.5384579,34.3149071,14.465457,24,26,24,25,31,24,31,4005.51025,4005.51025,4105.648,4005.51025,4105.648,3805.23462,17.3333378,14.1576605,0,1.351636,100.137756,36.1383934,5.750351,10.1616745,46,48,0,0,0,46,10,0,791,200,89,0.775000036,0.675,0.8,0,1,0,39,31.7840652,,,,
15055,2022-03-30 03:20:31,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.944000065,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1904.09021,2170.418,0.0,10.1442337,10.9375,2.31971145,0.78125,44.6969681,11.4799442,26,26,26,26,26,29,29,4005.51,4005.51,4005.51,4005.51,4005.51,4005.51,17.1598415,13.8514595,0,1.359179,100.137749,36.28809,5.77417,10.1378555,45,48,0,0,0,45,10,0,792,200,68,0.775000036,0.675,0.8,0,1,0,39,31.7840652,,,,
15056,2022-03-30 03:20:32,60.0,100,100,100,100,100,100,0.632,1.008,3.3920002,3.40800023,1.0,0.944000065,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,29,25.5,15,23,25,1917.61365,2177.41943,5.4567337,14.84375,9.185606,5.4086566,6.27480125,23.4375,10.7678413,25,26,30,27,33,26,33,4005.51025,4005.51025,4005.51025,4005.51025,4005.51025,4005.51025,16.5200825,13.1477365,0,1.37896764,100.137756,36.38254,5.7892,10.1228256,45,48,0,0,0,45,10,0,792,200,91,0.775000036,0.675,0.8,0,1,0,39,31.7840652,,,,
15057,2022-03-30 03:20:33,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.944000065,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1917.61365,2170.418,7.03125,11.71875,20.3125,5.46875,24.18269,18.75,14.577323,28,34,24,27,26,33,34,4005.51,4005.51,4005.51,4005.51,4005.51,4005.51,21.0551472,17.6241665,0,1.53722966,100.137749,37.649147,5.99074173,9.921284,46,48,0,0,0,46,10,0,792,200,55,0.775000036,0.675,0.8,0,1,0,39,31.7840652,,,,
15058,2022-03-30 03:20:34,60.0,100,100,100,100,100,100,1.016,1.008,3.3920002,3.40800023,1.0,0.944000065,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1920.34143,2170.418,11.71875,10.15625,16.40625,10.15625,3.125,39.0625,15.1041689,34,27,25,27,26,27,34,4005.50977,4005.50977,4005.50977,4005.50977,4005.50977,4005.50977,21.6642227,18.6303978,0,1.44653654,100.137749,37.44405,5.958107,9.953918,46,48,0,0,0,46,17,0,787,200,519,0.8,0.675,0.8,36,1,0,39,31.7840652,,,,
15059,2022-03-30 03:20:36,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.944000065,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1920.34143,2170.418,6.25,14.84375,3.125,1.5625,1.5625,37.5,10.8072939,25,25,24,25,24,29,29,4105.64844,4005.5105,4005.5105,4005.5105,4105.64844,4005.5105,16.476944,13.1619959,0,1.41808844,100.137764,37.95052,6.03869629,9.873329,46,48,0,0,0,46,11,0,792,212,122,0.775000036,0.675,0.8,1,1,0,39,31.783287,,,,
15060,2022-03-30 03:20:36,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.944000065,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1920.34143,2170.418,22.3076935,15.3846149,6.153846,3.076923,2.28438377,24.6153831,12.3038054,37,27,25,26,25,25,37,4005.509,4005.509,4005.509,4005.509,4005.509,4005.509,18.4310379,15.0878477,0,1.44849968,100.137726,37.86321,6.024803,9.887222,45,48,0,0,0,45,10,0,792,200,56,0.775000036,0.675,0.8,0,1,0,39,31.783287,,,,
15061,2022-03-30 03:20:37,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,1.0,0.944000065,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1920.34143,2170.418,11.71875,8.59375,3.125,0.78125,0.78125,16.40625,6.901044,24,25,23,23,24,27,27,4005.511,4005.511,4005.511,3204.409,2903.99561,2903.99561,13.2157412,10.0663738,0,1.31763029,100.137779,38.0204239,6.04982,9.86220551,46,48,0,0,0,46,10,0,792,200,128,0.775000036,0.675,0.8,2,1,0,39,31.783287,,,,
