,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
10017,10017,2022-03-21 16:28:59-04:00,60.0,100,100,100,100,100,100,0.832,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1923.0769,2177.41943,10.15625,10.15625,9.375,1.5625,3.90625,3.90625,6.510419,25,24,23,23,23,23,25,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,16.4623146,14.2043476,0,1.610393,100.138107,45.46399,7.23424149,8.677784,54,54,0,0,0,54,46,0,922,1750,696,0.775000036,0.85,0.8,55,7,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10018,10018,2022-03-21 16:29:00-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1912.18127,2166.934,17.1875,15.625,4.6875,2.34375,2.34375,3.90625,7.682294,26,34,25,25,24,24,34,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,17.2431831,14.9806356,0,1.68323958,100.138123,45.4530563,7.232502,8.679523,53,54,0,0,0,54,44,0,912,1750,741,0.8,0.85,0.8,62,7,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10019,10019,2022-03-21 16:29:01-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1914.89368,2166.934,16.1538486,16.1538486,2.30768919,3.8461566,3.076923,5.384612,7.82051659,24,25,23,23,24,23,25,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,18.0805721,14.9704561,0,1.65684962,100.138115,45.5704575,7.25118256,8.660843,50,52,0,0,0,50,10,0,792,202,46,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10020,10020,2022-03-21 16:29:02-04:00,60.0,100,100,100,100,100,100,0.784000039,1.008,3.37600017,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1925.82031,2177.41943,12.5,11.71875,7.8125,1.5625,7.8125,3.90625,7.552081,23,33,23,25,22,23,33,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,18.456255,14.7100906,0,1.59642947,100.138107,46.167614,7.346203,8.565823,50,50,0,0,0,50,10,0,797,202,63,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10021,10021,2022-03-21 16:29:03-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1925.82031,2173.913,11.71875,8.59375,14.0625,3.90625,13.28125,4.6875,9.375,25,25,31,24,31,24,31,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,20.4835644,16.5282536,0,1.68665409,100.1381,46.06769,7.330303,8.581722,49,50,0,0,0,49,11,0,792,200,83,0.775000036,0.675,0.8,3,1,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10022,10022,2022-03-21 16:29:04-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1936.87231,2166.934,11.71875,10.9375,4.6875,12.5,21.875,7.03125,11.4583311,29,26,24,25,31,25,31,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,21.734333,18.147192,0,1.87947154,100.138123,46.8477974,7.45443344,8.457592,50,52,0,0,0,50,18,0,791,1000,159,0.8,0.85,0.8,12,0,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10023,10023,2022-03-21 16:29:05-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1925.82031,2173.913,34.375,10.9375,10.9375,6.25,37.5,21.875,20.3125,31,30,26,27,31,26,31,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,28.86954,25.6286869,0,2.38648558,100.138123,47.5656166,7.568653,8.343372,51,52,0,0,0,51,16,0,792,880,123,0.775000036,0.85,0.8,7,1,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10024,10024,2022-03-21 16:29:06-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1914.89368,2173.913,33.8461533,9.230768,8.4615345,12.3076916,28.46154,6.153846,16.4102554,32,29,25,27,28,26,33,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,26.8245354,23.6559658,0,2.22611928,100.1381,48.43569,7.7071,8.204926,50,52,0,0,0,50,11,0,792,228,82,0.8,0.675,0.8,1,1,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10025,10025,2022-03-21 16:29:07-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1925.82031,2166.934,36.71875,7.8125,13.28125,13.28125,25.78125,6.25,17.1875,29,27,28,36,30,26,32,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,28.4612885,25.1518364,0,2.2227664,100.138107,49.7400322,7.914646,7.9973793,49,52,0,0,0,49,10,0,793,200,67,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
10026,10026,2022-03-21 16:29:08-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1928.57141,2173.913,12.3076916,11.5384579,6.92307949,13.0769253,21.53846,6.153846,11.92308,25,30,24,26,23,24,30,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,21.31585,17.62138,0,1.618665,100.138115,50.0221024,7.95953,7.95249557,52,52,0,0,0,52,28,0,804,1750,363,0.775000036,0.85,0.8,18,3,0,100.0,1113.12048,25,1.51965046,36.0,31.70652,
