,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
1921,1921,2022-03-21 14:12:28-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1914.89368,2170.418,9.375,12.5372047,9.375,7.936507,17.1875,7.03125,10.5737391,22,22,21,22,22,23,24,3404.69531,2503.45239,4005.524,4005.524,4005.524,4005.524,13.1914225,10.3040733,0,1.51103914,100.1381,33.9733353,5.40584564,10.50618,49,50,0,0,0,49,19,0,790,962,252,0.775000036,0.85,0.8,14,5,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1922,1922,2022-03-21 14:12:29-04:00,60.0,100,100,100,100,100,100,0.832,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1914.89368,2170.418,17.15144,22.65625,6.25,6.92307949,5.46875,6.299603,10.7915163,28,26,23,24,23,25,29,4105.662,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,15.961072,12.563817,0,1.39980042,100.138107,35.1778641,5.59751129,10.3145142,48,50,0,0,0,48,18,0,787,200,603,0.8,0.675,0.8,39,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1923,1923,2022-03-21 14:12:30-04:00,60.0,100,100,100,100,100,100,0.792000055,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2166.934,8.59375,7.03125,2.34375,0.793647766,0.78125,3.10096145,3.77410054,21,21,21,21,21,22,24,801.1047,3504.833,2603.59033,1702.34753,801.1047,801.1047,10.5426273,7.150206,0,1.15322328,100.138084,35.3697281,5.62804031,10.2839851,48,50,0,0,0,48,10,0,792,200,56,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1924,1924,2022-03-21 14:12:31-04:00,60.0,100,100,100,100,100,100,0.936000049,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2177.41943,0.78125,0.78125,0.793647766,0.0,0.0,2.35614777,0.7853806,21,21,21,21,20,22,24,2904.00635,2002.763,1101.51965,801.105164,801.105164,801.105164,5.56987953,1.91294515,0,1.05690241,100.138145,35.35285,5.625355,10.2866707,48,48,0,0,0,48,10,0,792,200,47,0.8,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1925,1925,2022-03-21 14:12:32-04:00,60.0,100,100,100,100,100,100,0.624,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1936.87231,2177.41943,4.6875,0.78125,1.5504837,0.7692337,0.0,6.25,2.33974457,28,23,22,23,22,23,28,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,8.315335,4.89001131,0,1.09613025,100.138107,35.4010849,5.63303,10.2789955,48,48,0,0,0,48,16,0,789,200,335,0.775000036,0.675,0.8,24,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1926,1926,2022-03-21 14:12:33-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2173.913,23.4375,3.125,1.5625,0.793647766,0.0,0.7692337,4.947978,33,25,23,23,22,23,33,4005.52441,4005.52441,4005.52441,4105.6626,4005.52441,4005.52441,13.87214,10.5837011,0,1.15720344,100.138107,35.5719528,5.66021729,10.2518082,48,48,0,0,0,48,10,0,792,200,75,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1927,1927,2022-03-21 14:12:34-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1914.89368,2173.913,30.46875,6.25,0.0,1.53846145,0.0,7.03125,7.54807568,35,25,23,24,22,23,34,4105.663,4005.525,4005.525,4005.525,4105.663,4005.525,15.9109,12.2683372,0,1.14560354,100.138123,35.7803268,5.69337463,10.2186508,48,48,0,0,0,48,10,0,792,200,50,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1928,1928,2022-03-21 14:12:35-04:00,60.7843132,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1928.57141,2170.418,15.58894,2.34375,1.5625,7.8125,0.0,0.0,4.55128574,22,21,21,22,21,22,24,801.104431,801.104431,801.104431,4005.522,4005.522,4005.522,13.2906227,9.7737875,0,1.27974939,100.138054,35.88214,5.70957565,10.20245,48,48,0,0,0,48,13,0,791,200,183,0.775000036,0.675,0.8,11,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1929,1929,2022-03-21 14:12:36-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1936.87231,2173.913,11.8303537,5.46875,3.14980149,0.793647766,0.78125,3.14980149,4.195595,22,22,21,22,22,22,23,2002.76331,3504.836,2303.178,1401.93433,1101.5199,4105.665,10.3048239,6.91729546,0,1.11827946,100.138168,35.8967667,5.71190262,10.2001228,48,48,0,0,0,48,10,0,792,200,74,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1930,1930,2022-03-21 14:12:37-04:00,60.0,100,100,100,100,100,100,0.824000061,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2173.913,3.90625,2.34375,1.53846145,1.53846145,3.125,2.34375,2.46594548,25,23,22,22,21,22,25,4005.525,4005.525,801.105,801.105,801.105,801.105,8.811476,5.19221544,0,1.12081516,100.138123,35.7557755,5.68946838,10.2225571,48,48,0,0,0,48,10,0,792,200,79,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1931,1931,2022-03-21 14:12:38-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1914.89368,2177.41943,0.78125,1.5625,0.793647766,0.78125,0.0,1.5625,0.9135246,21,21,21,21,20,21,24,801.104431,801.104431,801.104431,801.104431,801.104431,801.104431,8.052637,4.431625,0,1.06447732,100.138054,35.69613,5.67997742,10.232048,48,48,0,0,0,48,10,0,792,200,57,0.8,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1932,1932,2022-03-21 14:12:39-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1928.57141,2173.913,3.90625,1.57489777,0.793647766,1.5625,0.78125,5.54435253,2.360487,22,22,22,22,22,22,24,4105.66455,3905.38843,801.1053,801.1053,4005.52661,3504.83569,9.525335,4.818563,0,1.06846023,100.138161,35.6611023,5.674404,10.2376213,47,48,0,0,0,47,10,0,792,200,34,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1933,1933,2022-03-21 14:12:40-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1936.87231,2173.913,2.29603648,0.0,0.7692337,0.78125,0.7692337,0.7692337,0.8975029,21,21,21,22,21,22,24,2303.17676,1401.93359,801.1049,801.1049,801.1049,801.1049,9.036817,3.78039765,0,1.04492188,100.138115,35.6794968,5.67733,10.2346954,48,48,0,0,0,48,10,0,792,200,38,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1934,1934,2022-03-21 14:12:41-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1936.87231,2173.913,0.7692337,0.78125,0.0,0.7692337,0.0,0.7692337,0.5148232,21,21,21,21,21,22,24,801.104858,801.104858,801.104858,801.104858,4005.52441,4005.52441,9.300307,4.12442827,0,1.04921687,100.138107,35.7119064,5.68248749,10.229538,48,48,0,0,0,48,10,0,792,200,32,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1935,1935,2022-03-21 14:12:42-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2177.41943,4.6875,0.0,0.7692337,0.0,0.0,2.34375,1.30007863,21,21,21,22,21,22,24,3404.6958,2503.453,1602.20984,801.1049,801.1049,801.1049,9.504371,4.247262,0,1.05390286,100.138115,35.7663727,5.69115448,10.220871,48,48,0,0,0,48,10,0,792,200,34,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1936,1936,2022-03-21 14:12:43-04:00,60.0,100,100,100,100,100,100,0.84800005,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1914.89368,2177.41943,2.34375,0.0,2.34375,0.78125,0.78125,1.5625,1.30208135,21,21,21,21,21,22,24,801.1045,801.1045,801.1045,801.1045,4105.66064,4105.66064,10.0807734,4.899484,0,1.075501,100.138062,35.78402,5.693962,10.2180634,47,48,0,0,0,47,10,0,792,200,47,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1937,1937,2022-03-21 14:12:44-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1928.57141,2177.41943,3.90625,1.5625,0.0,6.25,0.0,1.5504837,2.211541,21,23,21,33,20,23,33,4105.66455,4105.66455,4005.52637,4005.52637,4105.66455,4005.52637,10.67977,5.408287,0,1.07770169,100.138161,35.8860245,5.71019363,10.2018318,48,48,0,0,0,48,10,0,792,200,39,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1938,1938,2022-03-21 14:12:45-04:00,61.9607849,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1936.87231,2173.913,39.0625,25.61298,52.51202,24.0985565,27.9206753,25.78125,32.4979973,38,36,36,35,35,33,37,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,38.1634865,34.64657,0,1.81201541,100.138107,37.88375,6.02807236,9.883953,50,52,0,0,0,50,31,0,1756,1072,1078,0.9620001,0.85,0.818,20,0,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1939,1939,2022-03-21 14:12:46-04:00,65.8823547,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1923.0769,2177.41943,46.875,43.75,37.5,38.28125,30.46875,21.09375,36.328125,24,26,23,24,24,24,26,2904.00537,2904.00537,2904.00537,2904.00537,2904.00537,2904.00537,33.96975,31.427887,0,1.27683961,100.138115,38.45624,6.11916733,9.792858,48,50,0,0,0,48,10,0,792,200,37,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918411,
1940,1940,2022-03-21 14:12:47-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1914.89368,2166.934,16.40625,12.5,4.6875,3.125,3.90625,4.6875,7.552081,32,25,23,23,22,24,32,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,16.8655071,12.00453,0,1.21864,100.138123,38.9845772,6.20323563,9.70879,48,48,0,0,0,48,10,0,792,200,34,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918335,
1941,1941,2022-03-21 14:12:48-04:00,60.0,100,100,100,100,100,100,0.688,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2173.913,8.59375,3.90625,10.15625,2.34375,1.5625,2.34375,4.817706,30,23,22,22,23,23,30,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,12.6902752,7.85029745,0,1.2115413,100.138115,39.317234,6.25616837,9.655857,48,48,0,0,0,48,10,0,792,200,50,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918335,
1942,1942,2022-03-21 14:12:49-04:00,60.0,100,100,100,100,100,100,0.728000045,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2170.418,13.2936478,0.0,0.0,2.34375,0.78125,2.34375,3.12706828,21,22,21,22,21,23,24,4005.52441,4005.52441,4005.52441,4005.52441,3404.6958,3705.11,12.2894,7.344657,0,1.16003788,100.138107,39.2920151,6.2521553,9.65987,48,50,0,0,0,48,10,0,792,200,66,0.775000036,0.675,0.8,1,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918335,
1943,1943,2022-03-21 14:12:50-04:00,60.0,100,100,100,100,100,100,0.76000005,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1936.87231,2173.913,26.5625,1.5625,0.0,1.5625,0.78125,2.34375,5.46875,28,23,21,22,21,23,28,4105.6626,4105.6626,4005.52441,4005.52441,4005.52441,4105.6626,13.64833,8.615632,0,1.13485789,100.138115,39.3848648,6.26692963,9.645096,48,48,0,0,0,48,10,0,792,200,39,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963341,37.0,31.6918335,
