,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
3183,2022-03-21 14:33:34,60.0,100,100,100,100,100,100,0.624,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1925.82031,2177.41943,7.03125,21.09375,7.03125,6.25,8.59375,8.59375,9.765625,24,24,24,31,25,24,31,4005.52441,4005.52441,4005.52441,2803.86719,1902.62415,3705.11,13.9272985,11.0205746,0,1.50844717,100.138115,34.915863,5.55582047,10.356205,48,50,0,0,0,48,16,0,792,908,125,0.775000036,0.675,0.8,6,3,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3184,2022-03-21 14:33:35,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,1.0,0.968000054,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1934.09741,2173.913,10.9871025,10.9375,10.1686478,5.46875,4.6875,3.90625,7.692623,23,23,22,22,22,23,24,3404.69629,3404.69629,4005.525,3705.1106,2803.86743,3404.69629,13.83715,10.4337063,0,1.30383325,100.138123,36.18994,5.75855255,10.1534729,48,48,0,0,0,48,10,0,792,200,50,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3185,2022-03-21 14:33:36,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1934.09741,2166.934,11.7067337,3.16220522,3.125,3.955853,0.78125,1.5625,4.04891968,21,22,21,21,22,22,24,2303.17554,1401.933,801.104553,801.104553,801.104553,801.104553,9.791253,6.3756,0,1.126921,100.138069,36.36924,5.78708267,10.1249428,47,48,0,0,0,47,10,0,792,200,49,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3186,2022-03-21 14:33:37,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1923.0769,2173.913,3.125,3.10096145,1.5625,1.5625,0.0,1.57489777,1.82097554,21,21,20,21,21,21,24,801.105042,801.105042,801.105042,4005.52515,4105.663,3504.83447,5.989062,2.32499886,0,1.06753671,100.13813,36.37245,5.787594,10.1244316,47,48,0,0,0,47,10,0,792,200,45,0.8,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3187,2022-03-21 14:33:38,60.0,100,100,100,100,100,100,0.656,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1914.89368,2173.913,8.59375,1.5625,0.0,0.78125,0.78125,3.125,2.47395635,22,22,21,21,21,22,24,4005.52539,4005.52539,4005.52539,4005.52539,4005.52539,4105.66357,9.511959,6.23216534,0,1.11307657,100.138138,36.38559,5.7896843,10.1223412,47,48,0,0,0,47,12,0,791,200,188,0.775000036,0.675,0.8,10,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3188,2022-03-21 14:33:39,60.0,100,100,100,100,100,100,0.672000051,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1912.18127,2166.934,24.1466351,3.90625,0.78125,0.0,6.153846,3.8461566,6.47236729,35,24,23,23,22,23,35,4105.6626,4105.6626,4005.52441,4005.52441,4005.52441,4005.52441,13.9555025,10.53272,0,1.18243921,100.138107,36.5270348,5.812191,10.0998344,48,48,0,0,0,48,10,0,793,200,60,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3189,2022-03-21 14:33:40,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,27,25.5,15,23,25,1925.82031,2173.913,35.13221,6.25,1.5625,1.5625,0.0,1.5625,7.67828846,32,25,23,23,22,23,32,4105.662,4005.524,4105.662,4005.524,3504.8335,4005.524,16.0258312,12.3706751,0,1.15609181,100.1381,36.77346,5.85140228,10.0606232,48,48,0,0,0,48,10,0,792,200,74,0.8,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3190,2022-03-21 14:33:41,60.0,100,100,100,100,100,100,0.91200006,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1925.82031,2166.934,21.875,5.46875,1.5625,0.0,0.78125,1.5625,5.208331,23,23,22,22,22,23,23,4005.52515,4005.52515,4005.52515,4005.52515,3705.11084,2803.86768,13.2019281,9.759114,0,1.28672373,100.13813,36.8869743,5.869465,10.0425606,48,48,0,0,0,48,10,0,792,200,53,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3191,2022-03-21 14:33:42,60.0,100,100,100,100,100,100,0.624,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1939.65515,2173.913,11.6466341,6.947112,2.34375,3.08893919,2.34375,2.30768919,4.779649,22,22,20,22,21,22,24,801.1044,1201.65649,4005.52173,4005.52173,4005.52173,4005.52173,9.82988548,6.36905146,0,1.15093815,100.138046,36.8804779,5.868431,10.0435944,47,48,0,0,0,47,10,0,792,200,62,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
3192,2022-03-21 14:33:43,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2177.41943,6.31200075,3.16220522,1.5625,3.14980149,3.125,3.174603,3.41434479,21,22,21,21,21,22,23,4005.52661,4005.52661,3104.2832,2203.03955,1301.79614,801.105347,9.159962,4.2176156,0,1.06847978,100.138168,36.7262077,5.84388351,10.0681419,47,48,0,0,0,47,10,0,792,200,32,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51963592,37.0,31.7052078
