,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
8174,2022-03-21 15:58:03,60.0,100,100,100,100,100,100,0.632,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2173.913,3.125,3.125,7.05605125,3.90625,0.7692337,0.0,2.99692154,21,21,20,20,20,22,24,3204.41943,2303.17651,1401.93359,801.104858,4105.6626,3805.24829,8.983876,4.230474,0,1.16141212,100.138107,34.8715134,5.54876328,10.3632622,51,52,0,0,0,51,10,0,792,200,48,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8175,2022-03-21 15:58:03,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2173.913,2.34375,8.581734,3.125,1.5625,4.6875,1.5625,3.64382863,22,30,21,22,22,23,30,4005.52368,4005.52368,4105.66162,4005.52368,4005.52368,4005.52368,10.4873514,5.679336,0,1.12340486,100.138092,35.12613,5.589279,10.3227463,52,52,0,0,0,52,10,0,792,202,36,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8176,2022-03-21 15:58:04,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1936.87231,2173.913,4.6875,11.71875,25.3348236,8.59375,3.125,6.25,9.951639,22,28,22,23,32,24,32,4005.525,4005.525,4005.525,4005.525,4105.663,4005.525,17.6506062,12.7530832,0,1.306523,100.138123,35.1412354,5.59168243,10.320343,52,52,0,0,0,52,10,0,793,200,31,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8177,2022-03-21 15:58:05,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1923.0769,2166.934,1.5625,50.0,3.858173,7.8125,0.0,0.0,10.5388641,22,29,21,23,22,23,29,4105.6626,4005.52466,4005.52466,4105.6626,4105.6626,4005.52466,17.7731953,12.9688845,0,1.18024385,100.138115,35.17279,5.59670258,10.3153229,51,52,0,0,0,52,10,0,792,200,35,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8178,2022-03-21 15:58:06,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1914.89368,2173.913,17.96875,50.0,0.0,0.0,1.5625,0.78125,11.71875,23,29,22,24,21,23,29,4105.663,4105.663,4105.663,4005.525,4005.525,4005.525,20.18275,15.0195,0,1.300565,100.138123,35.24305,5.60788345,10.304142,51,52,0,0,0,51,10,0,793,200,37,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8179,2022-03-21 15:58:07,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2170.418,0.78125,50.0,0.0,0.0,8.59375,0.78125,10.0260439,21,29,21,23,22,24,29,4105.66162,4205.8,4105.66162,4005.52368,4105.66162,4005.52368,18.3670712,13.1547194,0,1.16323876,100.138092,35.2775269,5.613369,10.2986565,51,52,0,0,0,51,10,0,792,200,31,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8180,2022-03-21 15:58:08,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,27,25.5,15,23,25,1925.82031,2177.41943,34.375,25.78125,9.375,1.5625,17.8245182,6.25,15.8613739,30,34,23,25,30,24,34,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,25.2867813,20.0620384,0,1.43515265,100.138123,35.45253,5.64121628,10.2708092,52,52,0,0,0,52,11,0,792,200,31,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8181,2022-03-21 15:58:09,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,1.0,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1934.09741,2170.418,45.4613075,1.5625,9.375,2.35614777,0.0,4.6875,10.5737448,36,24,23,23,22,23,36,4105.6626,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,20.35315,15.1951113,0,1.42566919,100.138115,36.6632767,5.83387,10.0781555,52,50,0,0,0,52,10,0,792,200,34,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8182,2022-03-21 15:58:10,60.0,100,100,100,100,100,100,0.808,1.008,3.37600017,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1939.65515,2173.913,7.764423,14.84375,3.125,3.10096145,1.5504837,13.2692337,7.275647,23,33,21,24,21,24,33,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,17.3112011,12.51277,0,1.4402802,100.138115,36.1718674,5.75567627,10.1563492,52,52,0,0,0,52,10,0,792,202,33,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
8183,2022-03-21 15:58:11,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1923.0769,2173.913,32.1056557,15.625,0.0,0.806450844,1.58730149,10.15625,10.0467739,35,25,23,24,22,23,35,4105.6626,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,18.8769722,14.080986,0,1.50380886,100.138115,36.93284,5.87676239,10.0352631,52,52,0,0,0,52,10,0,793,200,34,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964664,36.0,31.7073669
