,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
7751,2022-03-21 15:50:49,60.0,100,100,100,100,100,100,0.736000061,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1936.87231,2166.934,8.59375,14.0625,9.375,11.71875,4.6875,11.71875,10.0260439,23,23,22,23,25,23,25,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,17.341423,14.1919317,0,1.51629436,100.138123,47.7783356,7.602501,8.309525,51,54,0,0,0,51,17,1402,791,852,122,0.775000036,0.675,0.8,5,2,36,100,1113.12048,25.0,1.519646,36.0,31.7068024
7752,2022-03-21 15:50:50,60.0,100,100,100,100,100,100,0.832,1.008,3.37600017,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1923.0769,2166.934,8.4615345,10.0000019,6.153846,4.615384,3.076923,9.230768,6.923074,23,24,22,23,22,23,24,3705.10986,4005.52417,3404.69556,2904.00513,4005.52417,4005.52417,13.4529133,10.4285555,0,1.29741812,100.138107,47.84769,7.613537,8.298489,51,54,0,0,0,51,12,1404,792,354,88,0.775000036,0.675,0.8,2,1,36,100,1113.12048,25.0,1.519646,36.0,31.7068024
7753,2022-03-21 15:50:51,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1923.0769,2166.934,10.76923,15.3846149,8.4615345,4.615384,3.8461566,6.153846,8.205133,23,25,23,34,22,24,34,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,17.6958,14.5302992,0,1.62488067,100.138107,47.9876747,7.635811,8.276215,51,54,0,0,0,51,17,1405,791,758,149,0.775000036,0.85,0.8,11,4,36,100,1113.12048,25.0,1.519646,36.0,31.7068024
7754,2022-03-21 15:50:52,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1914.89368,2177.41943,11.5384579,16.1538486,8.4615345,15.3846149,10.76923,15.3846149,12.9487219,22,24,22,23,21,23,24,4005.52466,3705.11035,4005.52466,4005.52466,4005.52466,4005.52466,17.9967937,14.8390217,0,1.59082592,100.138115,47.905468,7.62273026,8.289295,50,54,0,0,0,50,16,1398,791,700,121,0.8,0.675,0.8,6,2,36,100,1113.12048,25.0,1.519646,36.0,31.7068024
7755,2022-03-21 15:50:53,60.0,100,100,100,100,100,100,0.864,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1914.89368,2173.913,6.153846,10.76923,5.396634,3.8461566,3.076923,6.92307949,6.027651,23,25,22,23,25,32,32,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,15.0820322,11.9382334,0,1.49178946,100.138115,48.05192,7.64603424,8.265991,50,54,0,0,0,50,18,1403,791,888,138,0.775000036,0.85,0.8,9,5,36,100,1113.12048,25.0,1.519646,36.0,31.7068024
7756,2022-03-21 15:50:54,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2170.418,7.837701,21.09375,13.1971121,4.6875,7.8125,11.71875,11.0578833,23,32,22,23,22,24,32,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,17.7098389,14.4672413,0,1.51130164,100.138107,48.17474,7.665577,8.24644852,50,52,0,0,0,50,16,0,792,816,96,0.8,0.675,0.8,0,0,0,100,1113.12048,25.0,1.519646,36.0,31.7068024
7757,2022-03-21 15:50:55,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2173.913,2.30768919,6.92307949,4.615384,3.8461566,4.615384,13.0769253,5.89744473,23,28,23,30,22,24,30,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,15.0567808,11.7556086,0,1.47230911,100.138123,48.8220024,7.76857,8.14345551,50,54,0,0,0,50,16,0,790,690,196,0.8,0.675,0.8,16,8,0,100,1113.12048,25.0,1.519646,36.0,31.7068024
7758,2022-03-21 15:50:56,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1936.87231,2166.934,6.92307949,16.9230766,9.230768,7.69230747,5.384612,8.4615345,9.102565,22,23,21,22,21,22,24,4005.52368,4005.52368,2904.00464,2904.00464,2904.00464,2904.00464,15.6298819,12.3422079,0,1.49052179,100.138092,48.4291267,7.70605469,8.205971,50,52,0,0,0,50,17,0,791,762,137,0.775000036,0.675,0.8,7,3,0,100,1113.12048,25.0,1.519646,36.0,31.7068024
7759,2022-03-21 15:50:57,60.0,100,100,100,100,100,100,0.69600004,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1936.87231,2173.913,4.6875,7.8125,7.03125,3.90625,7.03125,12.5,7.161456,25,25,23,24,23,29,27,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,15.1342478,11.8343716,0,1.46578991,100.138107,48.54969,7.725239,8.186787,50,52,0,0,0,50,13,0,791,446,97,0.775000036,0.675,0.8,4,3,0,100,1113.12048,25.0,1.519646,36.0,31.7068024
7760,2022-03-21 15:50:58,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2170.418,8.4615345,15.3846149,10.76923,6.92307949,7.69230747,9.230768,9.743589,22,24,22,22,22,22,24,4005.52466,4005.52466,4005.52466,3404.696,3705.11035,2904.00537,14.7495785,11.3831778,0,1.47350836,100.138115,48.5226936,7.72094345,8.191082,50,52,0,0,0,50,13,0,792,448,79,0.775000036,0.675,0.8,3,2,0,100,1113.12048,25.0,1.519646,36.0,31.7068024
