,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
7837,7837,2022-03-21 15:52:15-04:00,60.0,100,100,100,100,100,100,0.776,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1923.0769,2177.41943,5.46875,7.03125,2.34375,1.5625,2.34375,3.125,3.64583135,22,23,21,22,20,21,24,4005.52466,4005.52466,4005.52466,4005.52466,3104.28149,3404.696,11.2678595,8.350413,0,1.24405992,100.138115,47.3934631,7.54126,8.370766,51,54,0,0,0,51,17,0,791,866,141,0.775000036,0.85,0.8,7,3,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7838,7838,2022-03-21 15:52:16-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1923.0769,2170.418,3.076923,11.5384579,2.30768919,6.9711566,6.92307949,8.4615345,6.5464735,23,25,22,23,22,24,25,4005.525,4005.525,3404.69629,2904.00562,4005.525,3104.282,13.9134445,10.9459677,0,1.45331037,100.138123,47.3763962,7.5385437,8.373482,52,54,0,0,0,52,15,0,792,674,87,0.775000036,0.675,0.8,2,1,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7839,7839,2022-03-21 15:52:17-04:00,60.0,100,100,100,100,100,100,0.744,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1914.89368,2177.41943,5.46875,7.849705,4.699898,6.25,3.90625,5.46875,5.60722351,23,25,22,23,22,23,25,4005.524,4005.524,3404.69531,3404.69531,3705.10962,2904.005,12.5732031,9.604353,0,1.35278082,100.1381,47.42995,7.54706573,8.36496,51,54,0,0,0,51,16,0,792,790,100,0.775000036,0.675,0.8,3,1,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7840,7840,2022-03-21 15:52:18-04:00,60.0,100,100,100,100,100,100,0.768,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1912.18127,2170.418,7.69230747,12.272728,4.58042049,3.8461566,2.30768919,3.8461566,5.757576,23,25,22,33,22,23,33,4005.52539,4005.52539,4005.52539,4005.52539,4005.52539,4005.52539,14.3329506,11.3759918,0,1.47380149,100.13813,47.4600143,7.55184937,8.360176,51,54,0,0,0,51,17,0,790,810,200,0.775000036,0.85,0.8,11,4,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7841,7841,2022-03-21 15:52:19-04:00,60.0,100,100,100,100,100,100,0.76000005,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2177.41943,2.34375,9.375,3.125,2.36855149,2.34375,5.46875,4.17079926,22,23,21,22,21,22,24,2904.00537,4005.52441,3104.28149,4005.52441,4005.52441,4005.52441,12.5952978,9.645261,0,1.345707,100.138115,47.51834,7.56113052,8.350895,51,52,0,0,0,51,17,0,790,778,215,0.775000036,0.85,0.8,13,6,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7842,7842,2022-03-21 15:52:20-04:00,60.0,100,100,100,100,100,100,0.72,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1936.87231,2177.41943,4.60373163,10.76923,9.941721,4.615384,3.076923,3.8461566,6.142193,23,28,23,24,22,23,28,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,14.0373545,11.0348921,0,1.46246493,100.138107,47.593502,7.5730896,8.338936,51,52,0,0,0,51,17,0,790,438,242,0.775000036,0.85,0.8,20,8,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7843,7843,2022-03-21 15:52:21-04:00,60.0,100,100,100,100,100,100,0.8880001,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1923.0769,2177.41943,8.59375,14.0625,7.8125,7.8125,3.90625,5.46875,7.942706,22,23,21,22,22,22,24,3404.6958,4005.52441,2904.00513,4005.52441,4005.52441,3104.28149,13.4758215,10.4286108,0,1.38176477,100.138115,47.7664452,7.600609,8.311417,52,54,0,0,0,52,13,0,792,514,96,0.8,0.675,0.8,1,1,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7844,7844,2022-03-21 15:52:22-04:00,60.0,100,100,100,100,100,100,0.768,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1923.0769,2177.41943,7.03125,7.8125,7.03125,4.6875,1.5625,3.90625,5.338544,30,24,25,24,23,23,30,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,13.5414362,10.5058241,0,1.442589,100.138123,48.49347,7.71629333,8.195732,51,52,0,0,0,52,15,0,792,686,85,0.775000036,0.675,0.8,2,1,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7845,7845,2022-03-21 15:52:23-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1912.18127,2166.934,2.34375,14.0625,6.25,1.5625,1.5625,5.46875,5.208331,22,23,22,22,22,22,24,3705.109,2904.00415,2904.00415,3404.69458,4005.52319,3705.109,12.2186441,9.232142,0,1.35056174,100.138077,47.86941,7.616993,8.2950325,52,54,0,0,0,52,18,0,792,1096,96,0.775000036,0.85,0.8,1,0,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
7846,7846,2022-03-21 15:52:24-04:00,60.0,100,100,100,100,100,100,0.808,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1914.89368,2166.934,9.375,10.9375,10.15625,3.125,3.125,5.46875,7.03125,23,24,26,22,22,23,26,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,12.9151411,9.973872,0,1.39213288,100.13813,48.2460861,7.67692947,8.235096,52,52,0,0,0,52,15,0,790,488,198,0.8,0.85,0.8,19,11,0,100.0,1113.12048,25,1.51964617,36.0,31.706955,
