,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
919,919,2022-03-21 13:55:40-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1928.57141,2166.934,5.4214,29.603363,7.0192337,8.545673,10.90144,6.93655,11.40461,25,35,24,27,29,24,35,4005.527,4005.527,4005.527,4005.527,4005.527,4005.527,18.7734585,15.30368,0,1.43348861,100.138176,31.4685669,5.007286,10.9047394,48,50,0,0,0,48,11,0,792,202,88,0.8,0.675,0.8,2,1,0,100.0,1113.12048,25,1.51963127,37.0,31.6895218,
920,920,2022-03-21 13:55:41-04:00,63.92157,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1939.65515,2173.913,1.57489777,3.174603,1.5625,2.38095522,46.09375,0.78125,9.261322,22,23,22,23,34,23,34,4105.662,4105.662,4105.662,4005.52417,4105.662,4105.662,16.9052448,12.4953718,0,1.0915432,100.138107,31.4910965,5.010872,10.9011536,47,48,0,0,0,47,10,0,792,200,33,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963127,37.0,31.6895218,
921,921,2022-03-21 13:55:42-04:00,61.9607849,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1925.82031,2170.418,13.1730795,9.230768,34.0985527,8.4615345,11.71875,7.8004837,14.08053,30,35,29,28,29,29,35,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,23.7708359,19.4069347,0,1.50863028,100.1381,32.0175171,5.094635,10.81739,48,50,0,0,0,48,11,0,792,202,128,0.8,0.675,0.8,5,1,0,100.0,1113.12048,25,1.51963139,37.0,31.68956,
922,922,2022-03-21 13:55:43-04:00,60.7843132,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1914.89368,2177.41943,12.562,19.59325,16.4186478,17.1875,11.71875,15.625,15.5175209,24,24,23,24,24,24,24,3705.11035,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,23.66327,20.807066,0,1.703597,100.138115,33.26326,5.292858,10.6191673,48,48,0,0,0,48,10,0,792,200,91,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963139,37.0,31.68956,
923,923,2022-03-21 13:55:44-04:00,60.7843132,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1928.57141,2170.418,18.71394,22.65625,11.68269,5.46875,5.46875,5.46875,11.5765276,24,26,23,25,35,25,35,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,20.7055035,17.6831284,0,1.61700642,100.138123,34.1295242,5.43069839,10.4813271,48,50,0,0,0,48,16,0,789,202,413,0.8,0.675,0.8,31,1,0,100.0,1113.12048,25,1.51963139,37.0,31.68956,
924,924,2022-03-21 13:55:45-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1939.65515,2170.418,14.0625,17.2123013,9.375,9.375,14.84375,7.03125,11.9832993,24,25,23,24,24,24,25,4005.52417,4005.52417,4005.52417,4005.52417,3705.10986,3705.10986,19.3868752,16.3584957,0,1.615074,100.138107,33.4705353,5.32584,10.5861855,48,48,0,0,0,48,10,0,792,200,72,0.8,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963139,37.0,31.68956,
925,925,2022-03-21 13:55:46-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1925.82031,2177.41943,2.34375,18.75,1.5625,4.6875,2.34375,3.13739777,5.47081852,30,24,22,23,22,23,30,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,12.3323784,8.937597,0,1.36810172,100.138107,33.8026657,5.378689,10.5333366,48,50,0,0,0,48,11,0,792,236,79,0.8,0.675,0.8,1,1,0,100.0,1113.12048,25,1.51963139,37.0,31.68956,
926,926,2022-03-21 13:55:47-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1914.89368,2166.934,22.3798027,42.1153831,14.0625,14.0625,14.0144234,16.2740345,20.4847755,33,27,28,29,31,32,33,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,25.8529358,22.2552624,0,1.576525,100.138107,33.6340866,5.351864,10.5601616,47,50,0,0,0,47,10,0,793,200,84,0.8,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963139,37.0,31.68956,
927,927,2022-03-21 13:55:48-04:00,60.0,100,100,100,100,100,100,0.648,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1928.57141,2173.913,6.25,12.5372047,3.125,3.90625,4.6875,8.705354,6.53522,22,23,22,22,22,23,24,3705.1106,3705.1106,4005.525,4005.525,3705.1106,3404.696,11.3569775,7.99248552,0,1.31379807,100.138123,33.5042877,5.331211,10.5808144,48,48,0,0,0,48,10,0,793,200,71,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963139,37.0,31.68956,
928,928,2022-03-21 13:55:49-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1936.87231,2173.913,3.93105149,3.87018919,12.5,14.9445534,1.5625,5.4567337,7.04417229,24,23,24,24,22,23,24,4005.525,4005.525,801.105,801.105,4005.525,4005.525,14.220026,10.7303658,0,1.458081,100.138123,33.51503,5.33292,10.5791054,47,48,0,0,0,47,11,0,792,200,130,0.775000036,0.675,0.8,1,1,0,100.0,1113.12048,25,1.51963139,37.0,31.68956,
