,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
964,964,2022-03-21 13:56:25-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1923.0769,2173.913,4.66346169,16.40625,7.8125,2.34375,5.46875,3.125,6.63661957,24,25,32,26,24,24,32,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,17.4367943,14.9054422,0,1.39356482,100.138107,41.5633049,6.61356354,9.298462,51,52,0,0,0,51,17,0,791,954,216,0.775000036,0.85,0.8,7,3,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
965,965,2022-03-21 13:56:26-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1914.89368,2177.41943,14.0625,14.84375,17.96875,13.28125,7.03125,10.9375,13.0208311,24,26,34,25,25,25,33,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,18.6259975,16.0434113,0,1.5423286,100.138115,41.48057,6.600399,9.311626,50,52,0,0,0,50,18,0,792,848,149,0.8,0.85,0.8,5,3,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
966,966,2022-03-21 13:56:27-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1914.89368,2166.934,5.46875,2.34375,10.9498978,1.5625,3.90625,3.90625,4.68956852,22,23,23,23,24,24,24,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,14.7816629,12.1666355,0,1.43143654,100.138115,41.5987129,6.619198,9.292828,51,54,0,0,0,51,18,0,792,998,136,0.775000036,0.85,0.8,3,2,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
967,967,2022-03-21 13:56:28-04:00,60.0,100,100,100,100,100,100,0.744,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1928.57141,2173.913,6.153846,8.4615345,6.107223,1.53846145,5.384612,6.153846,5.63326454,34,24,24,23,27,24,35,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,15.8812284,13.2605972,0,1.51109529,100.138107,41.82157,6.65465927,9.257366,51,54,0,0,0,51,19,0,791,990,266,0.775000036,0.85,0.8,8,4,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
968,968,2022-03-21 13:56:29-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1936.87231,2173.913,10.0841341,13.0769253,2.30768919,1.53846145,4.615384,3.076923,5.78325367,22,23,22,23,24,23,24,4005.52441,3705.11,4005.52441,4005.52441,4005.52441,4005.52441,14.8317709,12.152832,0,1.39425933,100.138115,41.6873474,6.633301,9.278725,50,52,0,0,0,50,18,0,792,858,144,0.775000036,0.85,0.8,10,7,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
969,969,2022-03-21 13:56:30-04:00,60.0,100,100,100,100,100,100,0.880000055,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1923.0769,2170.418,2.3317337,11.71875,0.78125,0.78125,7.03125,3.90625,4.42507839,22,23,22,23,25,23,25,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,15.0467768,12.41691,0,1.43508518,100.138115,41.903492,6.667694,9.244331,51,52,0,0,0,51,15,0,792,478,162,0.775000036,0.675,0.8,5,6,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
970,970,2022-03-21 13:56:31-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1914.89368,2170.418,5.46875,17.96875,0.78125,1.5625,10.15625,5.46875,6.901044,23,24,23,23,24,24,24,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,15.4244833,12.7515545,0,1.44886947,100.138107,41.76804,6.646141,9.265884,51,52,0,0,0,51,17,0,791,928,171,0.8,0.85,0.8,8,6,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
971,971,2022-03-21 13:56:32-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.40800023,1.0,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1925.82031,2173.913,3.13739777,12.5,2.34375,3.125,9.375,4.6875,5.86144352,23,23,22,22,24,23,25,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,14.3361988,11.6696281,0,1.402182,100.138107,41.8387375,6.65739059,9.254635,51,52,0,0,0,51,17,0,791,882,134,0.775000036,0.85,0.8,7,6,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
972,972,2022-03-21 13:56:33-04:00,60.0,100,100,100,100,100,100,0.880000055,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1936.87231,2177.41943,5.46875,15.625,9.375,0.78125,4.6875,6.25,7.03125,25,25,26,25,27,24,27,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,16.8174572,14.23346,0,1.52905273,100.13813,41.94825,6.674816,9.237209,51,52,0,0,0,51,17,0,791,718,201,0.8,0.675,0.8,11,4,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
973,973,2022-03-21 13:56:34-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1936.87231,2170.418,6.947112,11.55048,7.69230747,8.4615345,6.153846,3.076923,7.31370449,23,25,23,23,24,24,25,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,17.4638138,14.784831,0,1.50395,100.138107,42.13352,6.704296,9.207729,51,52,0,0,0,51,19,0,791,910,200,0.775000036,0.85,0.8,14,5,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
974,974,2022-03-21 13:56:35-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,0.984,1.016,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1923.0769,2173.913,9.988344,22.2261066,4.6274066,4.6274066,16.1538486,7.69230747,10.8859062,23,31,23,25,26,24,31,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,18.402319,15.744379,0,1.56898248,100.1381,42.3721542,6.74226761,9.169758,51,52,0,0,0,51,19,0,790,684,278,0.775000036,0.85,0.8,21,11,0,100.0,1113.12048,25,1.51963151,37.0,31.68943,
