,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
5208,2022-03-21 15:08:11,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1936.87231,2177.41943,20.7692261,13.0769253,10.0480795,9.290862,10.0000019,13.2091341,12.7323685,22,26,25,26,26,24,27,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,17.4568748,14.64049,0,1.57681584,100.138107,37.3888626,5.94932556,9.9627,53,54,0,0,0,53,17,0,792,936,103,0.775000036,0.85,0.8,6,5,0,100,1113.12048,25.0,1.51964116,37.0,31.70623
5209,2022-03-21 15:08:12,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1925.82031,2170.418,25.0,35.9375,29.5552845,25.6250019,22.65625,25.5769253,27.39182,32,32,35,32,31,32,35,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,31.6833553,28.5858154,0,1.87347484,100.138123,38.29008,6.09272766,9.819298,53,54,0,0,0,53,21,0,791,1252,211,0.8,0.85,0.8,7,1,0,100,1113.12048,25.0,1.51964116,37.0,31.70623
5210,2022-03-21 15:08:13,60.0,100,100,100,100,100,100,0.688,1.008,3.37600017,3.40800023,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1912.18127,2166.934,6.25,7.03125,7.03125,9.486604,12.5,7.03125,8.221722,22,22,22,22,21,23,24,4005.525,4005.525,4005.525,3404.696,4005.525,3705.11035,12.9607515,9.7935,0,1.22586942,100.138123,38.2609558,6.088093,9.823933,53,54,0,0,0,53,17,0,792,1002,74,0.8,0.85,0.8,1,0,0,100,1113.12048,25.0,1.51964116,37.0,31.70623
5211,2022-03-21 15:08:14,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.3920002,0.992000043,0.992000043,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1928.57141,2170.418,12.3076916,30.76923,15.34965,14.5338,14.6153812,10.0000019,16.2626266,34,28,28,26,32,26,34,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,23.9806328,20.9612236,0,1.66769755,100.1381,38.537487,6.13209534,9.77993,54,54,0,0,0,54,26,0,790,1516,507,0.8,0.85,0.8,31,0,0,100,1113.12048,25.0,1.51964116,37.0,31.70623
5212,2022-03-21 15:08:15,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1936.87231,2177.41943,12.5,33.59375,17.1875,30.5431538,11.1391125,11.71875,19.44704,23,25,22,33,22,24,33,4005.52515,4105.663,4005.52515,4105.663,4005.52515,4005.52515,26.1379089,23.0571556,0,1.85529828,100.13813,40.81024,6.49373627,9.418289,52,52,0,0,0,52,12,0,801,200,66,0.775000036,0.675,0.818,0,1,0,100,1113.12048,25.0,1.51964116,37.0,31.70623
5213,2022-03-21 15:08:16,60.0,100,100,100,100,100,100,0.936000049,1.008,3.3920002,3.40800023,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2170.418,9.375,14.84375,10.15625,20.2163467,19.0577621,7.8125,13.5769367,23,32,23,24,24,24,32,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,20.2829323,18.09351,0,1.51572168,100.138107,41.75526,6.644108,9.267918,54,56,0,0,0,54,25,169,878,1750,149,0.775000036,0.85,0.818,2,1,4,100,1113.12048,25.0,1.51964116,37.0,31.70623
5214,2022-03-21 15:08:17,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.3920002,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1914.89368,2166.934,8.59375,23.4375,11.71875,4.6875,26.5625,14.0625,14.84375,23,24,22,24,22,23,25,2904.00537,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,20.1778183,17.9747448,0,1.54407942,100.138115,41.9048347,6.66790771,9.244118,55,56,0,0,0,55,24,891,793,1750,47,0.775000036,0.85,0.818,0,0,23,100,1113.12048,25.0,1.51964116,37.0,31.70623
5215,2022-03-21 15:08:18,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1925.82031,2173.913,16.40625,33.59375,11.71875,4.6875,21.875,16.40625,17.4479179,24,25,24,25,33,32,33,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,26.4671459,24.2741947,0,1.60196638,100.138107,42.4587936,6.756054,9.155972,54,56,0,0,0,55,29,1245,1127,1750,294,0.9620001,0.85,0.818,10,0,32,100,1113.12048,25.0,1.51964116,37.0,31.70623
5216,2022-03-21 15:08:19,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1936.87231,2170.418,7.03125,10.15625,12.5,13.28125,13.28125,10.15625,11.0677061,23,24,23,23,31,24,31,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,17.7010574,15.4802275,0,1.59385681,100.138123,42.5776329,6.77496338,9.137062,54,56,0,0,0,54,24,1370,793,1750,45,0.775000036,0.85,0.818,0,0,36,100,1113.12048,25.0,1.51964116,37.0,31.70623
5217,2022-03-21 15:08:20,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1923.0769,2170.418,6.92307949,33.8461533,6.92307949,3.8461566,10.0000019,3.8461566,10.89744,23,23,22,22,22,23,24,3705.10962,2904.005,4005.524,4005.524,4005.524,4005.524,17.8104115,15.6300888,0,1.42181671,100.1381,42.8112564,6.8121376,9.099888,54,56,0,0,0,54,25,1430,878,1750,148,0.775000036,0.85,0.818,1,1,37,100,1113.12048,25.0,1.51964116,37.0,31.70623
