,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
6098,6098,2022-03-21 15:23:05-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1923.0769,2173.913,17.1875,25.0,16.37019,10.9375,10.15625,10.9375,15.0981607,23,25,22,24,22,24,25,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,22.4753056,19.5141945,0,1.51560152,100.13813,36.1049042,5.745022,10.1670036,50,52,0,0,0,50,18,0,798,952,204,0.775000036,0.85,0.8,9,1,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6099,6099,2022-03-21 15:23:06-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1914.89368,2170.418,3.90625,5.46875,8.59375,0.78125,1.5625,2.34375,3.77604365,22,24,22,28,22,23,28,4005.524,4005.524,3705.10962,3404.69531,2904.005,3705.10962,10.5790968,7.35776854,0,1.19005966,100.1381,36.0956268,5.74354553,10.16848,51,52,0,0,0,51,17,0,792,1000,86,0.775000036,0.85,0.8,0,0,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6100,6100,2022-03-21 15:23:07-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1912.18127,2173.913,9.230768,17.6923027,16.9230766,18.4615364,10.76923,7.69230747,13.4615421,25,26,30,33,26,26,33,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,22.4738865,19.4159946,0,1.61030066,100.138115,36.3869553,5.78990173,10.1221237,51,52,0,0,0,51,23,0,842,1188,395,0.8,0.85,0.8,24,2,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6101,6101,2022-03-21 15:23:08-04:00,61.9607849,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1925.82031,2173.913,10.15625,27.34375,14.84375,34.375,10.15625,15.625,18.75,23,25,22,34,22,25,34,4005.525,4005.525,4005.525,4005.525,4105.663,4005.525,25.5781651,22.83224,0,1.90255368,100.138123,38.4805756,6.12303925,9.788986,50,50,0,0,0,50,11,0,792,200,60,0.775000036,0.675,0.818,0,1,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6102,6102,2022-03-21 15:23:09-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1936.87231,2170.418,7.8125,20.3125,8.59375,14.84375,14.0625,11.71875,12.890625,23,34,24,29,24,23,34,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,20.2056961,18.018734,0,1.508677,100.1381,39.6206474,6.304447,9.607578,52,54,0,0,0,52,25,0,869,1750,134,0.775000036,0.85,0.818,2,0,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6103,6103,2022-03-21 15:23:10-04:00,60.0,100,100,100,100,100,100,0.936000049,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1923.0769,2170.418,11.5384579,22.3076935,9.230768,11.5384579,17.6923027,11.5384579,13.9743509,29,28,24,26,24,25,29,4005.52417,4005.52417,4005.52417,4105.662,4105.662,4005.52417,20.13701,17.95618,0,1.48730016,100.1381,39.67068,6.31240845,9.599617,52,54,0,0,0,52,23,0,792,1750,53,0.775000036,0.85,0.818,0,0,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6104,6104,2022-03-21 15:23:11-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1912.18127,2173.913,22.8918667,31.4112072,13.3060513,5.46875,24.4047642,10.9375,18.0700245,25,26,24,25,24,25,26,4005.525,4005.525,4005.525,4005.525,2904.00537,2904.00537,24.9622,22.75327,0,1.61069965,100.138123,40.0649261,6.375141,9.536884,52,54,0,0,0,52,24,0,839,1750,123,0.775000036,0.85,0.818,1,0,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6105,6105,2022-03-21 15:23:12-04:00,60.0,100,100,100,100,100,100,0.808,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1912.18127,2170.418,10.8533621,12.4519234,6.201923,8.59375,11.6706734,7.03125,9.467149,23,24,23,24,30,24,30,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,17.1480942,14.9648323,0,1.56517947,100.138123,40.31382,6.41474533,9.49728,52,54,0,0,0,52,24,0,848,1750,91,0.775000036,0.85,0.818,0,0,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6106,6106,2022-03-21 15:23:13-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1923.0769,2177.41943,9.375,33.59375,10.9375,7.03125,8.59375,10.15625,13.28125,22,24,27,23,22,24,27,4005.524,4005.524,4005.524,3705.10962,4005.524,4005.524,18.1119957,15.8960772,0,1.46593916,100.1381,40.5943832,6.45938873,9.452637,52,54,0,0,0,52,24,0,831,1750,92,0.775000036,0.85,0.818,0,0,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
6107,6107,2022-03-21 15:23:14-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1934.09741,2177.41943,1.5625,26.5625,3.90625,0.78125,10.9375,3.125,7.8125,22,24,21,22,22,22,24,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,17.0746651,13.53312,0,1.40305,100.138123,41.01059,6.52561569,9.38641,51,54,0,0,0,51,18,0,792,1042,46,0.775000036,0.85,0.8,0,0,0,100.0,1113.12048,25,1.51964271,36.0,31.70626,
