,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
6238,6238,2022-03-21 15:25:26-04:00,60.0,100,100,100,100,100,100,0.768,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1914.89368,2173.913,3.125,10.15625,3.90625,3.90625,6.336808,2.34375,4.9623785,22,23,21,22,21,22,24,4005.524,3705.10962,4005.524,3404.69531,4005.524,3705.10962,13.358,9.999993,0,1.29271567,100.1381,41.0849342,6.537445,9.37458,51,54,0,0,0,51,18,0,792,1282,60,0.775000036,0.85,0.8,1,0,0,100.0,1113.12048,25,1.51964331,36.0,31.7063065,
6239,6239,2022-03-21 15:25:27-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1914.89368,2173.913,2.3317337,7.03125,1.5625,3.125,3.90625,3.125,3.51362228,22,24,27,24,23,23,27,4005.525,4005.525,4005.525,4105.663,4005.525,4005.525,10.9715805,7.463466,0,1.21133828,100.138123,41.0632858,6.5340004,9.378025,51,52,0,0,0,51,18,0,792,1182,111,0.775000036,0.85,0.8,3,1,0,100.0,1113.12048,25,1.51964331,36.0,31.7063065,
6240,6240,2022-03-21 15:25:28-04:00,60.0,100,100,100,100,100,100,0.688,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,27,25.5,15,23,25,1925.82031,2177.41943,3.125,3.90625,2.34375,1.57489777,0.78125,1.5625,2.215606,22,21,20,21,21,22,24,4005.52417,3404.69556,4005.52417,3104.28125,3404.69556,3705.10986,9.215203,5.97,0,1.107089,100.138107,41.0970421,6.53937149,9.372654,51,52,0,0,0,51,17,0,792,1020,61,0.775000036,0.85,0.8,1,1,0,100.0,1113.12048,25,1.51964331,36.0,31.7063065,
6241,6241,2022-03-21 15:25:29-04:00,60.0,100,100,100,100,100,100,0.808,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2177.41943,0.78125,3.90625,3.90625,0.78125,2.3317337,1.5625,2.211541,21,22,20,22,21,22,24,4005.52515,2904.00562,4005.52515,3705.1106,4005.52515,3705.1106,8.876903,5.734092,0,1.09694684,100.13813,41.10373,6.540436,9.37159,51,52,0,0,0,51,18,0,792,1220,78,0.775000036,0.85,0.8,1,0,0,100.0,1113.12048,25,1.51964331,36.0,31.7063065,
6242,6242,2022-03-21 15:25:30-04:00,60.0,100,100,100,100,100,100,0.752000034,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1934.09741,2166.934,3.8461566,1.53846145,1.53846145,0.7692337,0.7692337,2.30768919,1.79486871,22,23,21,22,22,22,23,4005.52417,3104.28125,4005.52417,3404.69556,4005.52417,3404.69556,9.157126,6.11989737,0,1.10826981,100.138107,41.09263,6.53866959,9.373356,51,54,0,0,0,51,17,0,792,1132,84,0.775000036,0.85,0.8,0,0,0,100.0,1113.12048,24,1.51964331,36.0,31.706337,
6243,6243,2022-03-21 15:25:31-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1925.82031,2173.913,6.25,3.90625,0.78125,1.5625,4.71230125,3.90625,3.5197556,21,22,21,22,21,22,24,4005.52417,3404.69556,4005.52417,3404.69556,3705.10986,3404.69556,9.958879,6.91282225,0,1.13011265,100.138107,40.9617081,6.51783752,9.394188,51,52,0,0,0,51,17,0,795,940,92,0.775000036,0.85,0.8,4,2,0,100.0,1113.12048,24,1.51964331,36.0,31.706337,
6244,6244,2022-03-21 15:25:32-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.3920002,3.40800023,0.992000043,0.984,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1917.61365,2170.418,4.6875,5.46875,3.125,2.34375,3.90625,5.46875,4.166669,22,23,22,22,22,23,23,4005.525,3104.28174,3705.1106,2904.00562,2904.00562,2904.00562,10.96821,7.814126,0,1.15579975,100.138123,40.9620667,6.51789474,9.394131,51,52,0,0,0,51,17,0,794,1098,77,0.775000036,0.85,0.8,2,1,0,100.0,1113.12048,24,1.51964331,36.0,31.706337,
6245,6245,2022-03-21 15:25:33-04:00,60.0,100,100,100,100,100,100,0.736000061,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1928.57141,2177.41943,1.53846145,2.30768919,0.7692337,1.53846145,3.8461566,3.076923,2.17948556,21,23,21,21,20,22,24,3404.69531,4005.524,3705.10962,2904.005,2904.005,4005.524,9.216634,5.81976366,0,1.0970825,100.1381,40.9623337,6.51793671,9.394089,51,52,0,0,0,51,17,0,793,1068,73,0.775000036,0.85,0.8,1,0,0,100.0,1113.12048,24,1.51964331,36.0,31.706337,
6246,6246,2022-03-21 15:25:34-04:00,60.0,100,100,100,100,100,100,0.904000044,1.008,3.3920002,3.40800023,1.0,0.984,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1936.87231,2166.934,4.615384,8.4615345,0.0,3.076923,3.076923,1.53846145,3.46154571,22,21,21,22,20,22,24,3404.69629,3404.69629,2904.00562,4005.525,3404.69629,4005.525,11.3179169,7.835963,0,1.2425828,100.138123,40.9080048,6.5092926,9.402733,51,52,0,0,0,51,17,0,792,1038,82,0.775000036,0.85,0.8,0,0,0,100.0,1113.12048,24,1.51964331,36.0,31.706337,
6247,6247,2022-03-21 15:25:35-04:00,60.0,100,100,100,100,100,100,0.792000055,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,27,25.5,15,23,25,1923.0769,2170.418,3.06526423,11.5384579,0.7692337,1.5504837,3.10096145,4.615384,4.106635,21,22,21,22,20,22,24,3404.69556,3705.10986,2904.005,4005.52417,3104.28125,4005.52417,11.2213335,7.972577,0,1.23144007,100.1381,40.9881744,6.522049,9.3899765,51,54,0,0,0,51,17,0,792,1038,71,0.775000036,0.85,0.8,2,1,0,100.0,1113.12048,24,1.51964331,36.0,31.706337,
