,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
16265,16265,2022-03-30 03:40:47-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,0.952,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,29,25.5,15,23,25,1928.57141,2170.418,19.53125,28.90625,21.875,21.875,25.0,25.0,23.6979179,28,32,27,28,37,30,37,4005.51074,4005.51074,4005.51074,4005.51074,4005.51074,4005.51074,27.1621666,24.3624973,0,1.6921674,100.137764,42.71481,6.796791,9.115234,49,50,0,0,0,49,10,0,792,200,104,0.8,0.675,0.8,0,1,0,,,40,,,,31.7839966
16266,16266,2022-03-30 03:40:48-04:00,62.7451,100,100,100,100,100,100,0.8880001,1.008,3.37600017,3.40800023,0.992000043,0.952,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1928.57141,2173.913,7.03125,15.625,17.96875,20.3125,17.96875,20.3125,16.5364571,27,26,25,25,26,25,27,3705.09668,3104.27026,2903.99463,2903.99463,4005.51,3104.27026,20.53676,17.7939777,0,1.59852266,100.137749,42.7728462,6.80602646,9.105999,50,52,0,0,0,50,17,0,791,890,150,0.775000036,0.85,0.8,10,5,0,,,40,,,,31.7839966
16267,16267,2022-03-30 03:40:49-04:00,60.0,100,100,100,100,100,100,0.784000039,1.008,3.3920002,3.40800023,0.992000043,0.952,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,29,25.5,15,23,25,1928.57141,2173.913,2.34375,4.6875,3.90625,3.125,2.34375,1.5625,2.99479365,23,25,23,23,24,23,26,3705.097,3104.27026,2903.99487,2903.99487,2903.99487,4005.51,9.927934,7.118217,0,1.34649849,100.137749,42.78203,6.80748749,9.104538,50,52,0,0,0,50,17,0,791,686,260,0.775000036,0.85,0.8,13,9,0,,,40,,,,31.7839966
16268,16268,2022-03-30 03:40:50-04:00,60.0,100,100,100,100,100,100,0.91200006,1.008,3.37600017,3.40800023,0.992000043,0.952,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,29,25.5,15,23,25,1914.89368,2170.418,5.384612,17.96875,3.90625,5.4086566,3.125,3.858173,6.608576,24,25,23,24,24,24,26,3404.68359,4005.51,3404.68359,3404.68359,3705.09668,3404.68359,12.1214294,9.373914,0,1.51210427,100.137749,42.7586823,6.803772,9.10825348,50,52,0,0,0,50,16,0,792,832,152,0.8,0.675,0.8,5,3,0,,,40,,,,31.7839966
16269,16269,2022-03-30 03:40:51-04:00,60.0,100,100,100,100,100,100,0.744,1.008,3.3920002,3.40800023,0.992000043,0.952,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,29,25.5,15,23,25,1914.89368,2177.41943,6.32440472,5.46875,3.90625,3.14980149,3.125,4.76190472,4.45601368,23,24,23,23,23,24,26,4005.51,4005.51,2903.99463,2903.99463,2903.99463,2903.99463,8.672745,5.885134,0,1.338063,100.137749,42.7557335,6.803303,9.108723,50,52,0,0,0,50,16,0,791,744,219,0.775000036,0.85,0.8,10,7,0,,,40,,,,31.7839966
16270,16270,2022-03-30 03:40:52-04:00,60.0,100,100,100,100,100,100,0.752000034,1.008,3.3920002,3.40800023,0.992000043,0.952,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,29,25.5,15,23,25,1914.89368,2170.418,3.90625,6.25,4.6875,4.6875,3.90625,3.125,4.427081,24,25,23,23,23,24,26,3404.684,4005.51074,4005.51074,4005.51074,3404.684,2903.995,9.560268,6.85403,0,1.35110092,100.137764,42.6937561,6.793442,9.118584,50,52,0,0,0,50,17,0,791,684,314,0.775000036,0.85,0.8,17,9,0,,,40,,,,31.7839966
16271,16271,2022-03-30 03:40:53-04:00,60.0,100,100,100,100,100,100,0.72,1.008,3.37600017,3.40800023,0.992000043,0.952,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,29,25.5,15,23,25,1917.61365,2170.418,3.90625,9.375,7.03125,5.46875,4.6875,1.5625,5.338544,26,24,24,24,24,24,26,3404.68237,2903.994,3705.09546,3104.26929,2903.994,2903.994,8.897934,6.1318574,0,1.33356309,100.137718,42.69733,6.79401,9.118015,50,52,0,0,0,50,16,0,792,878,227,0.775000036,0.85,0.8,8,4,0,,,40,,,,31.7839966
16272,16272,2022-03-30 03:40:54-04:00,60.0,100,100,100,100,100,100,0.68,1.008,3.3920002,3.40800023,0.992000043,0.952,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,29,25.5,15,23,25,1917.61365,2177.41943,2.34375,3.90625,4.6875,3.90625,3.90625,5.46875,4.036456,23,24,23,24,23,23,26,4005.51123,3404.68433,2903.99561,2903.99561,2903.99561,2903.99561,8.324713,5.640486,0,1.3322953,100.137779,42.6591148,6.78792953,9.124096,51,54,0,0,0,51,17,0,790,804,254,0.775000036,0.85,0.8,15,7,0,,,40,,,,31.7839966
16273,16273,2022-03-30 03:40:55-04:00,60.0,100,100,100,100,100,100,0.664000034,1.008,3.37600017,3.40800023,0.992000043,0.952,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1917.61365,2173.913,6.25,13.28125,8.59375,10.15625,9.375,9.375,9.505206,34,29,31,29,31,28,34,4005.51,4005.51,4005.51,4005.51,4005.51,4005.51,13.7666283,10.9800272,0,1.499349,100.137749,42.8503075,6.81835175,9.093674,50,52,0,0,0,50,16,0,790,682,265,0.775000036,0.85,0.8,13,9,0,,,40,,,,31.7839966
16274,16274,2022-03-30 03:40:56-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.37600017,3.40800023,0.992000043,0.952,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,28,25.5,15,23,25,1917.61365,2173.913,10.15625,7.8125,10.15625,10.9375,9.375,7.03125,9.244794,24,25,23,25,24,24,26,2903.995,3705.09717,3404.68384,2903.995,4005.51025,4005.51025,14.7285042,11.962574,0,1.56869268,100.137756,42.6718254,6.78995132,9.122074,51,52,0,0,0,51,18,0,790,822,234,0.775000036,0.85,0.8,15,7,0,,,40,,,,31.7839966
