,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
8717,2022-03-21 16:07:11,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1928.57141,2177.41943,8.4615345,19.9999981,14.6153812,22.3076935,13.8822079,6.9711566,14.3729982,24,25,23,36,22,24,36,4005.527,4005.527,4005.527,4005.527,4005.527,4005.527,19.3037834,15.45256,0,1.3470099,100.138176,36.79837,5.85536575,10.05666,50,50,0,0,0,50,12,0,791,266,107,0.775000036,0.675,0.8,6,4,0,100,1113.12048,25.0,1.51964772,36.0,31.7078018
8718,2022-03-21 16:07:12,62.7451,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1936.87231,2173.913,3.8461566,3.076923,47.6923065,7.69230747,4.592073,2.30768919,11.5345774,26,25,36,24,24,25,36,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,20.2879581,17.1104145,0,1.32855809,100.1381,36.9677429,5.88231659,10.0297089,50,52,0,0,0,50,12,0,791,228,104,0.775000036,0.675,0.8,4,3,0,100,1113.12048,25.0,1.51964772,36.0,31.7078018
8719,2022-03-21 16:07:13,61.9607849,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1936.87231,2173.913,14.0625,24.21875,21.875,24.21875,21.09375,13.28125,19.7916679,34,30,28,34,29,32,34,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,27.2418137,24.0904388,0,1.82985842,100.138115,35.6121674,5.66661835,10.2454071,50,50,0,0,0,50,11,0,792,208,84,0.775000036,0.675,0.8,2,2,0,100,1113.12048,25.0,1.51964772,36.0,31.7078018
8720,2022-03-21 16:07:14,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1923.0769,2170.418,32.5480766,30.2524033,22.3076935,15.3846149,8.509612,44.6153831,25.60296,26,25,24,28,24,29,29,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,4105.663,33.1195221,28.3738518,0,1.71040154,100.13813,36.1585846,5.753563,10.1584625,50,50,0,0,0,50,10,0,792,200,34,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964772,36.0,31.7078018
8721,2022-03-21 16:07:15,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1912.18127,2173.913,43.9663467,38.75,35.15625,31.25,17.884613,39.0625,34.34495,38,35,36,38,27,32,38,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,45.0158,39.7135544,0,2.47595,100.138115,38.132,6.06757355,9.844452,49,50,0,0,0,49,10,0,792,200,32,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964772,36.0,31.7078018
8722,2022-03-21 16:07:16,63.92157,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1925.82031,2173.913,74.21875,74.21875,71.09375,70.3125,60.9375,75.0,70.96354,41,41,41,44,40,40,44,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,61.2443161,55.99889,0,2.74218178,100.1381,39.7255554,6.32114029,9.590885,50,50,0,0,0,50,10,0,792,200,32,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964772,36.0,31.7078018
8723,2022-03-21 16:07:17,66.6666641,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.5,27,25.5,15,23,25,1936.87231,2173.913,98.4375,97.65625,99.21875,99.21875,98.4375,96.875,98.3073,44,41,43,43,42,42,44,4005.52319,4005.52319,4005.52319,4005.52319,4005.52319,4005.52319,70.70818,64.89634,0,3.708324,100.138084,43.81599,6.97201157,8.940014,49,50,0,0,0,49,10,0,792,200,33,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.51964772,36.0,31.7078018
8724,2022-03-21 16:07:18,67.84314,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1923.0769,2170.418,94.53125,96.875,93.75,98.4375,92.1875,95.3125,95.1823,42,42,42,45,39,41,45,4005.52563,4005.52563,4005.52563,4005.52563,4005.52563,4005.52563,69.94708,65.48334,0,3.82343221,100.138138,44.8886223,7.14268875,8.769337,50,50,0,0,0,50,10,0,792,202,62,0.775000036,0.675,0.8,1,1,0,100,1113.12048,25.0,1.51964772,36.0,31.7076263
8725,2022-03-21 16:07:19,67.84314,100,100,100,100,100,100,0.984,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1914.89368,2173.913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42,40,43,45,41,42,45,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,69.4091339,64.66981,0,4.23263025,100.138107,46.17162,7.34684,8.565186,51,52,0,0,0,51,18,0,790,822,234,0.8,0.85,0.8,31,13,0,100,1113.12048,25.0,1.51964772,36.0,31.7076263
8726,2022-03-21 16:07:20,65.8823547,100,100,100,100,100,100,0.984,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.0,27,25.5,15,23,25,1912.18127,2177.41943,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44,43,41,45,41,41,44,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,68.62847,64.5254059,0,4.29365,100.1381,46.799202,7.446701,8.465324,51,54,0,0,0,51,17,0,792,870,127,0.8,0.675,0.8,9,3,0,100,1113.12048,25.0,1.51964772,36.0,31.7076263
