,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
8976,8976,2022-03-21 16:11:31-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.0,27,25.5,15,23,25,1925.82031,2173.913,84.375,85.9375,85.9375,91.40625,80.46875,87.5,85.9375,44,41,45,45,40,41,45,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,69.46093,65.25556,0,3.99461412,100.138115,48.4419022,7.708088,8.203938,50,52,0,0,0,50,17,0,791,920,103,0.775000036,0.85,0.8,5,6,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8977,8977,2022-03-21 16:11:32-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.0,27,26.0,15,23,25,1934.09741,2173.913,92.96875,96.09375,89.0625,95.3125,88.28125,94.53125,92.70833,46,45,45,46,41,43,46,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,71.56088,67.4146957,0,3.95480847,100.138115,48.5122643,7.719284,8.192741,51,52,0,0,0,51,17,0,791,918,125,0.775000036,0.85,0.8,11,7,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8978,8978,2022-03-21 16:11:33-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.5,27,25.5,15,23,25,1923.0769,2173.913,99.21875,100.0,96.875,100.0,94.53125,97.65625,98.046875,43,44,44,46,43,42,46,4005.523,4005.523,4005.523,4005.523,4005.523,4005.523,72.84238,67.99994,0,4.01067162,100.138069,48.6220169,7.73674774,8.175278,50,50,0,0,0,50,10,0,792,200,51,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8979,8979,2022-03-21 16:11:34-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.5,27,25.5,15,23,25,1912.18127,2173.913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45,45,44,46,41,43,46,4005.52539,4005.52539,4005.52539,4005.52539,4005.52539,4005.52539,73.34935,67.12576,0,3.75884056,100.13813,48.64992,7.741188,8.170837,49,50,0,0,0,49,10,0,792,200,39,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8980,8980,2022-03-21 16:11:35-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.5,27,25.5,15,23,25,1912.18127,2173.913,100.0,100.0,99.21875,100.0,100.0,100.0,99.8698,46,44,46,46,42,44,46,4005.52344,4005.52344,4005.52344,4005.52344,4005.52344,4005.52344,73.36041,67.60579,0,3.75278044,100.138084,48.70566,7.750057,8.161968,49,50,0,0,0,49,10,0,792,200,49,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8981,8981,2022-03-21 16:11:36-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.5,27,25.5,15,23,25,1925.82031,2173.913,100.0,100.0,99.23077,99.23077,100.0,100.0,99.74358,46,43,46,46,43,43,46,4005.523,4005.523,4005.523,4005.523,4005.523,4005.523,71.4123459,66.7688751,0,3.867987,100.138077,49.3068733,7.845722,8.066303,50,50,0,0,0,50,12,0,791,206,200,0.775000036,0.675,0.8,6,2,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8982,8982,2022-03-21 16:11:37-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.3920002,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.5,27,26.0,15,23,25,1936.87231,2173.913,99.23077,100.0,98.46154,100.0,95.38461,98.46154,98.5897446,43,42,43,44,42,44,44,4005.52661,4005.52661,4005.52661,4005.52661,4005.52661,4005.52661,69.22272,65.26561,0,3.96016932,100.138161,51.7535324,8.235035,7.67699051,50,52,0,0,0,50,13,0,791,292,245,0.8,0.675,0.8,14,3,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8983,8983,2022-03-21 16:11:38-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.5,27,25.5,15,23,25,1923.0769,2173.913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43,43,42,45,42,44,46,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,70.20378,66.43769,0,3.88389754,100.1381,52.7951622,8.40078,7.51124573,51,52,0,0,0,51,17,0,791,866,190,0.775000036,0.85,0.8,11,4,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8984,8984,2022-03-21 16:11:39-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,30.0,27,25.5,15,23,25,1912.18127,2173.913,100.0,100.0,100.0,99.23077,100.0,100.0,99.8717957,46,43,45,46,43,44,46,4005.52612,4005.52612,4005.52612,4005.52612,4005.52612,4005.52612,71.48606,67.78027,0,3.68009114,100.138153,52.29294,8.320866,7.59116,50,52,0,0,0,50,15,0,791,622,167,0.775000036,0.85,0.8,9,5,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
8985,8985,2022-03-21 16:11:40-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,30.0,27,25.5,15,23,25,1928.57141,2173.913,19.9999981,58.4615364,18.4615364,13.0769253,19.23077,24.6153831,25.64103,28,28,35,28,26,26,35,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,26.5235233,23.40917,0,1.52180982,100.138123,52.07564,8.286289,7.625736,50,54,0,0,0,50,15,0,790,226,269,0.775000036,0.85,0.8,17,8,0,100.0,1113.12048,25,1.51964808,36.0,31.7078629,
