,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
14642,14642,2022-03-21 17:46:44-04:00,60.0,100,100,100,100,100,100,0.656,1.008,3.37600017,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1925.82031,2170.418,9.125876,18.4149151,15.1515121,4.557109,4.54545,8.379954,10.0291433,23,24,24,23,24,31,31,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,16.2559357,13.2028255,0,1.50587273,100.138092,43.9748421,6.99728775,8.914738,43,46,0,0,0,43,11,0,792,218,183,0.8,0.675,0.8,10,6,0,100.0,1113.12048,25,1.51965988,37.0,31.7180557,
14643,14643,2022-03-21 17:46:45-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1923.0769,2166.934,2.38095522,25.0744038,7.14285374,4.737103,4.76190472,7.862103,8.659882,23,26,23,26,23,24,26,4005.52563,4005.52563,4005.52563,4005.52563,4005.52563,4005.52563,15.31986,12.1284151,0,1.33255851,100.138138,44.3375626,7.055004,8.857021,43,46,0,0,0,43,11,0,793,202,98,0.775000036,0.675,0.8,4,3,0,100.0,1113.12048,25,1.51965988,37.0,31.7180557,
14644,14644,2022-03-21 17:46:46-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1936.87231,2170.418,22.3076935,22.3076935,17.6923027,36.9230728,16.9230766,15.3846149,21.92307,29,29,24,33,25,25,33,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,27.6340771,24.4646111,0,1.9614768,100.1381,45.39204,7.22279358,8.689232,43,46,0,0,0,43,10,0,793,202,34,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51965988,37.0,31.7180557,
14645,14645,2022-03-21 17:46:47-04:00,61.9607849,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,27,25.5,15,23,25,1934.09741,2177.41943,19.53125,39.84375,16.40625,18.75,14.84375,21.09375,21.7447929,24,27,24,26,24,24,27,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,29.4014111,26.049551,0,1.8043021,100.138123,46.20902,7.352791,8.559235,43,46,0,0,0,43,23,0,787,658,626,0.8,0.85,0.8,61,5,0,100.0,1113.12048,25,1.51965988,37.0,31.7180557,
14646,14646,2022-03-21 17:46:48-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1923.0769,2173.913,39.84375,45.3125,31.25,30.46875,25.78125,36.71875,34.8958321,38,30,29,33,31,29,37,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,38.17764,35.9039459,0,1.72524226,100.138123,47.9326057,7.62704849,8.284977,44,46,0,0,0,44,21,0,787,204,632,0.8,0.675,0.8,61,3,0,100.0,1113.12048,25,1.51965988,37.0,31.7180557,
14647,14647,2022-03-21 17:46:49-04:00,60.7843132,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,27,25.5,15,23,25,1914.89368,2170.418,37.6923065,35.384613,33.8461533,28.46154,29.2307682,23.84615,31.4102478,39,32,34,33,31,30,36,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,38.19411,35.9560165,0,1.86510944,100.1381,49.9386024,7.94624329,7.965782,45,46,0,0,0,45,25,0,787,694,633,0.8,0.85,0.8,62,7,0,100.0,1113.12048,25,1.51965988,37.0,31.7180557,
14648,14648,2022-03-21 17:46:50-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1925.82031,2170.418,29.6875,45.3125,35.15625,27.34375,27.34375,30.46875,32.5520821,31,30,33,30,30,28,33,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,36.43593,34.2172852,0,1.765925,100.138123,51.85633,8.251392,7.660633,45,46,0,0,0,45,26,0,787,860,633,0.8,0.85,0.8,59,6,0,100.0,1113.12048,25,1.51965988,37.0,31.7180557,
14649,14649,2022-03-21 17:46:51-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1934.09741,2177.41943,34.615387,42.3076935,31.5384636,29.2307682,26.9230728,33.8461533,33.0769234,32,33,30,30,30,29,33,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,37.4698677,35.24582,0,1.72564018,100.138115,53.37393,8.492874,7.41915131,44,46,0,0,0,44,21,0,786,220,633,0.8,0.675,0.8,65,1,0,100.0,1113.12048,25,1.51965988,37.0,31.7181168,
14650,14650,2022-03-21 17:46:52-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1920.34143,2173.913,25.0,27.34375,26.5625,19.53125,21.09375,17.96875,22.9166679,26,26,25,25,35,24,35,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,27.99919,25.3212013,0,1.75795865,100.138107,54.3497124,8.64814,7.2638855,45,48,0,0,0,45,18,0,791,1000,158,0.775000036,0.85,0.8,7,2,0,100.0,1113.12048,25,1.51965988,37.0,31.7181168,
14651,14651,2022-03-21 17:46:53-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1914.89368,2173.913,17.96875,18.75,11.71875,7.03125,7.03125,44.53125,17.8385429,29,26,23,25,25,32,32,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,23.8440533,21.0261211,0,1.67937386,100.138092,55.6196938,8.85022,7.06180573,45,46,0,0,0,45,17,0,793,1000,109,0.8,0.85,0.8,4,1,0,100.0,1113.12048,25,1.51965988,37.0,31.7181168,
