,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
14069,2022-03-21 17:37:08,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1923.0769,2170.418,7.69230747,15.3846149,6.153846,10.0000019,1.53846145,21.53846,10.384613,23,24,23,23,22,23,25,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,17.21216,14.9662952,0,1.42277122,100.138115,57.1664276,9.096336,6.815689,48,50,0,0,0,48,51,0,791,1750,1014,0.8,0.85,0.91200006,73,24,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14070,2022-03-21 17:37:09,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.3920002,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1914.89368,2177.41943,0.78125,17.96875,4.6875,4.6875,0.78125,4.6875,5.598956,23,25,22,24,22,24,25,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,14.1699867,11.82023,0,1.43843126,100.138107,57.2101326,9.103291,6.808735,48,52,0,0,0,49,56,0,802,1750,1059,0.775000036,0.85,0.91200006,73,23,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14071,2022-03-21 17:37:10,60.0,100,100,100,100,100,100,0.752000034,1.008,3.37600017,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1912.18127,2173.913,2.30768919,8.4615345,2.30768919,3.8461566,0.7692337,2.30768919,3.33333015,22,23,22,22,21,23,24,3705.11035,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,11.9806252,9.747465,0,1.31755137,100.138115,57.2186661,9.104649,6.807377,48,52,0,0,0,49,43,0,814,1750,730,0.8,0.85,0.818,44,14,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14072,2022-03-21 17:37:11,60.0,100,100,100,100,100,100,0.792000055,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1925.82031,2173.913,3.125,11.71875,2.34375,3.125,4.6875,4.6875,4.947919,23,24,22,23,23,23,24,4005.52466,4005.52466,3705.11035,4005.52466,4005.52466,2904.00537,13.0753117,10.7986069,0,1.42005146,100.138115,57.2298851,9.106434,6.80559158,49,52,0,0,0,50,57,0,822,1750,1101,0.775000036,0.85,0.91200006,74,25,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14073,2022-03-21 17:37:12,60.0,100,100,100,100,100,100,0.816000044,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1925.82031,2173.913,3.8461566,13.8461533,2.30768919,6.92307949,1.53846145,1.53846145,5.000001,23,23,22,23,21,23,24,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,12.8566246,10.5475225,0,1.360457,100.138115,57.089592,9.08411,6.827915,49,52,0,0,0,50,45,0,802,1750,861,0.8,0.85,0.91200006,61,21,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14074,2022-03-21 17:37:13,60.0,100,100,100,100,100,100,0.816000044,1.008,3.3920002,3.3920002,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1936.87231,2173.913,3.8461566,14.6153812,8.426571,10.0000019,3.8461566,5.384612,7.68649,23,24,22,23,22,23,24,4005.524,4005.524,3404.69531,4005.524,4005.524,4005.524,14.3061438,11.9980354,0,1.460503,100.1381,57.0799522,9.082577,6.8294487,49,52,0,0,0,50,46,0,810,1750,752,0.8,0.85,0.818,50,17,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14075,2022-03-21 17:37:14,60.0,100,100,100,100,100,100,0.792000055,1.008,3.3920002,3.3920002,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1934.09741,2170.418,3.8461566,9.230768,2.30768919,6.153846,2.30768919,4.615384,4.743594,22,24,22,22,22,23,25,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,4005.52515,12.2071772,9.911856,0,1.33499634,100.13813,57.079258,9.082466,6.82955933,50,52,0,0,0,50,54,0,802,1750,998,0.8,0.85,0.91200006,72,22,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14076,2022-03-21 17:37:15,60.0,100,100,100,100,100,100,0.736000061,1.008,3.3920002,3.3920002,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1923.0769,2177.41943,1.53846145,10.0000019,3.076923,5.384612,10.0000019,3.076923,5.512828,22,25,22,22,23,23,25,4005.524,4005.524,4005.524,2904.005,3705.10962,3705.10962,12.3490276,10.1341734,0,1.40850186,100.1381,57.1352158,9.09137,6.820656,49,52,0,0,0,51,59,0,869,1750,1134,0.775000036,0.85,0.91200006,82,29,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14077,2022-03-21 17:37:16,60.0,100,100,100,100,100,100,0.752000034,1.008,3.3920002,3.3920002,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1914.89368,2170.418,7.8125,11.71875,7.8125,9.375,3.90625,2.34375,7.161456,32,25,26,25,25,24,31,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,14.37086,12.05751,0,1.55187023,100.138107,57.2269821,9.105972,6.806053,50,52,0,0,0,51,57,0,802,1750,1069,0.8,0.85,0.91200006,80,28,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
14078,2022-03-21 17:37:17,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.3920002,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1912.18127,2177.41943,2.30768919,9.230768,3.8461566,4.615384,8.4615345,3.076923,5.25640869,23,24,22,22,22,23,24,4005.52466,4005.52466,4005.52466,4005.52466,2904.00537,4005.52466,12.788003,10.5757113,0,1.44257832,100.138115,57.2624168,9.11161,6.800415,50,52,0,0,0,51,51,0,807,1750,940,0.8,0.85,0.91200006,68,22,0,100,1113.12048,25.0,1.51965845,37.0,31.7180557
