,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
14163,14163,2022-03-21 17:38:43-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1925.82031,2173.913,14.84375,20.3125,8.59375,12.5,24.21875,21.3169632,16.9642868,24,27,23,23,22,24,27,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,21.0478325,18.749258,0,1.56465077,100.138115,56.5424843,8.997055,6.9149704,48,50,0,0,0,49,57,0,822,1750,1120,0.775000036,0.85,0.91200006,72,25,0,100.0,1113.12048,25,1.51965868,37.0,31.7180557,
14164,14164,2022-03-21 17:38:44-04:00,60.0,100,100,100,100,100,100,0.880000055,1.008,3.3920002,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1934.09741,2170.418,7.8125,7.8125,3.90625,6.25,2.34375,7.00721169,5.85536957,23,32,24,24,22,24,32,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,12.4701033,10.1858206,0,1.359543,100.138092,56.7294121,9.026798,6.885227,48,50,0,0,0,49,49,0,798,1750,960,0.8,0.85,0.91200006,67,24,0,100.0,1113.12048,25,1.51965868,37.0,31.7180557,
14165,14165,2022-03-21 17:38:45-04:00,60.0,100,100,100,100,100,100,0.712,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1936.87231,2166.934,1.5625,12.5,4.6875,7.8125,6.25,4.6875,6.25,23,25,22,23,22,23,25,4005.52441,3705.11,3705.11,3705.11,4005.52441,4005.52441,13.2294464,10.84815,0,1.40105081,100.138115,56.63047,9.011055,6.90097046,48,52,0,0,0,49,55,0,790,1750,1005,0.8,0.85,0.91200006,79,26,0,100.0,1113.12048,25,1.51965868,37.0,31.7180557,
14166,14166,2022-03-21 17:38:46-04:00,60.0,100,100,100,100,100,100,0.91200006,1.008,3.3920002,3.3920002,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1923.0769,2173.913,3.90625,9.375,3.125,6.25,3.93145084,2.34375,4.82190228,23,25,23,23,22,23,25,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,12.3014317,9.887289,0,1.34236407,100.138115,56.78781,9.036091,6.8759346,48,52,0,0,0,50,57,0,797,1750,1038,0.8,0.85,0.91200006,80,25,0,100.0,1113.12048,25,1.51965868,37.0,31.7180557,
14167,14167,2022-03-21 17:38:47-04:00,60.0,100,100,100,100,100,100,0.784000039,1.008,3.37600017,3.3920002,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1923.0769,2177.41943,5.384612,11.55048,3.076923,7.69230747,2.30768919,3.8461566,5.64302826,22,23,22,22,22,22,24,4005.52441,3705.11,2904.00513,4005.52441,4005.52441,4005.52441,12.6692648,10.2927732,0,1.41304755,100.138115,56.6813927,9.019157,6.892868,49,52,0,0,0,49,48,0,796,1750,970,0.8,0.85,0.91200006,67,23,0,100.0,1113.12048,25,1.51965868,37.0,31.7180557,
14168,14168,2022-03-21 17:38:48-04:00,60.0,100,100,100,100,100,100,0.784000039,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1912.18127,2166.934,2.34375,5.4567337,3.125,7.03125,0.78125,4.6875,3.90424728,23,25,22,24,22,23,25,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,12.7713957,10.4593391,0,1.35919535,100.138115,56.88814,9.052055,6.85997,49,52,0,0,0,50,53,0,798,1750,975,0.8,0.85,0.91200006,72,21,0,100.0,1113.12048,25,1.51965868,37.0,31.7180557,
14169,14169,2022-03-21 17:38:49-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1914.89368,2170.418,6.25,9.375,3.90625,6.25,4.6875,2.34375,5.46875,25,24,22,22,31,24,31,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,12.727643,10.4153118,0,1.4038496,100.138107,56.6765976,9.018394,6.893631,49,52,0,0,0,51,61,0,954,1750,955,0.8,0.85,0.91200006,68,24,0,100.0,1113.12048,25,1.5196588,37.0,31.7180786,
14170,14170,2022-03-21 17:38:50-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1925.82031,2170.418,3.87018919,12.33173,0.7692337,5.46875,3.125,5.384612,5.15825748,22,24,22,22,22,23,24,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,12.2039242,9.965085,0,1.33768129,100.138115,56.85693,9.047089,6.864937,49,52,0,0,0,51,44,0,814,1750,809,0.8,0.85,0.818,48,16,0,100.0,1113.12048,25,1.5196588,37.0,31.7180786,
14171,14171,2022-03-21 17:38:51-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.3920002,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1934.09741,2166.934,5.432689,21.0697117,5.420673,10.76923,3.076923,3.125,8.149034,23,24,22,23,22,23,24,4005.52441,4005.52441,4005.52441,4005.52441,2904.00513,4005.52441,13.5479822,11.26103,0,1.49966419,100.138107,56.76652,9.032703,6.879322,50,54,0,0,0,51,56,0,819,1750,1012,0.775000036,0.85,0.91200006,68,22,0,100.0,1113.12048,25,1.5196588,37.0,31.7180786,
14172,14172,2022-03-21 17:38:52-04:00,60.0,100,100,100,100,100,100,0.872000039,1.008,3.37600017,3.3920002,0.992000043,0.984,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1923.0769,2177.41943,4.6875,17.96875,3.90625,5.46875,3.125,3.125,6.380206,22,24,22,22,22,22,24,3705.11,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,13.0899124,10.8177681,0,1.46213257,100.138115,56.8446541,9.0451355,6.86689,50,52,0,0,0,51,59,0,925,1750,1103,0.8,0.85,0.91200006,77,26,0,100.0,1113.12048,25,1.5196588,37.0,31.7180786,
