,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space,Used Space.1
3853,3853,2022-03-21 14:44:46-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.40800023,0.992000043,0.984,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,27,25.5,15,23,25,1928.57141,2170.418,17.1875,19.53125,10.15625,7.8125,10.9375,10.15625,12.6302061,23,24,23,23,31,24,31,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,18.3101025,15.1481619,0,1.535258,100.138115,32.00934,5.093334,10.8186913,49,50,0,0,0,49,10,0,792,202,55,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963711,37.0,31.7054749,
3854,3854,2022-03-21 14:44:47-04:00,60.0,100,100,100,100,100,100,0.640000045,1.008,3.3920002,3.40800023,1.0,0.984,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,27,25.5,15,23,25,1934.09741,2170.418,10.76923,3.87018919,3.8461566,10.76923,4.615384,2.30768919,6.02965355,22,24,21,22,31,26,26,4005.52441,4005.52441,4005.52441,4005.52441,4105.6626,4005.52441,14.8465948,10.5691242,0,1.29423773,100.138107,32.3969879,5.155018,10.7570076,49,50,0,0,0,49,10,0,792,204,35,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963711,37.0,31.7054749,
3855,3855,2022-03-21 14:44:48-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.984,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,23.5,27,25.5,15,23,25,1925.82031,2166.934,1.5625,47.1875,25.0,7.03125,25.0,10.15625,19.32292,23,32,23,33,33,25,33,4005.525,4005.525,4005.525,4005.525,4005.525,4005.525,27.5635033,22.854517,0,1.37641978,100.138123,33.642,5.35312271,10.5589027,48,48,0,0,0,48,10,0,793,200,36,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963711,37.0,31.7054749,
3856,3856,2022-03-21 14:44:49-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.984,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,23.5,27,25.5,15,23,25,1917.61365,2173.913,17.1998978,5.481148,16.40625,21.875,24.21875,15.625,16.8010063,23,24,33,24,24,26,33,4005.52368,4105.66162,4105.66162,4005.52368,4005.52368,4005.52368,25.0478935,20.0318832,0,1.35599184,100.138092,33.22358,5.286545,10.6254807,48,48,0,0,0,48,10,0,792,200,35,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963711,37.0,31.7054749,
3857,3857,2022-03-21 14:44:50-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.984,1.016,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,23.5,27,25.5,15,23,25,1925.82031,2170.418,2.30768919,18.4615364,31.5384636,12.2494164,22.2843761,10.0000019,16.1402531,33,25,23,33,24,24,33,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,24.9211483,20.2288857,0,1.3186084,100.138092,33.50319,5.33103561,10.58099,48,48,0,0,0,48,10,0,793,202,44,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963711,37.0,31.7054749,
3858,3858,2022-03-21 14:44:55-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,27,25.5,15,23,25,1936.87231,2173.913,11.1111107,26.9841251,8.730162,7.14285374,1.58730149,10.3174572,10.9788361,23,30,22,34,21,29,34,4005.52539,4105.66357,4105.66357,4105.66357,4005.52539,4005.52539,20.42823,15.45643,0,1.25041807,100.138138,33.9009323,5.39432526,10.5177,48,48,0,0,0,48,10,0,793,200,33,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963711,37.0,31.7054749,
3859,3859,2022-03-21 14:44:56-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.984,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1912.18127,2177.41943,32.0512848,41.02564,5.128205,2.56410241,5.128205,26.9230728,18.8034115,22,29,22,24,22,24,29,4005.524,4005.524,4005.524,4105.662,4005.524,4105.662,23.7178,18.9913521,0,1.33579075,100.1381,33.7107468,5.36406326,10.5479622,49,48,0,0,0,49,10,0,792,200,48,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963723,37.0,31.7057114,
3860,3860,2022-03-21 14:44:57-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.984,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1925.82031,2170.418,42.04327,34.9399033,15.6129837,7.0192337,15.625,4.6875,19.9879818,33,30,25,25,31,24,33,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,4005.52441,27.570385,22.6786022,0,1.396203,100.138107,33.9963,5.4095,10.5025253,49,48,0,0,0,49,14,0,790,354,229,0.775000036,0.85,0.8,19,10,0,100.0,1113.12048,25,1.51963723,37.0,31.7057114,
3861,3861,2022-03-21 14:44:58-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.984,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1925.82031,2173.913,41.40625,41.46825,18.75,14.84375,8.59375,12.5,22.9269981,31,24,23,23,22,24,31,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,25.3829746,21.8215,0,1.49789011,100.138115,33.81971,5.381401,10.5306244,49,48,0,0,0,49,10,0,793,200,38,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963723,37.0,31.7057114,
3862,3862,2022-03-21 14:44:59-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.984,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,27,25.5,15,23,25,1934.09741,2166.934,31.25,15.625,10.9498978,3.94345522,10.9375,3.90625,12.76868,22,23,22,22,21,24,24,4005.52466,3204.41968,2303.17651,1401.93359,1101.51929,4105.6626,18.8277512,13.7883778,0,1.2453289,100.138115,33.7869873,5.376194,10.5358315,48,48,0,0,0,48,10,0,792,200,32,0.775000036,0.675,0.8,0,1,0,100.0,1113.12048,25,1.51963723,37.0,31.7057114,
