,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
12897,2022-03-21 17:17:24,60.0,100,100,100,100,100,100,0.928000033,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1928.57141,2173.913,4.6875,10.1810513,10.9134617,3.90625,3.1129837,5.505955,6.384534,22,30,22,24,22,23,31,4005.52661,4005.52661,4005.52661,4005.52661,4005.52661,4005.52661,13.5123377,9.470116,0,1.314032,100.138168,43.96899,6.996357,8.91566849,45,48,0,0,0,45,10,1617,792,202,37,0.775000036,0.675,0.8,0,1,42,100,1113.12048,25.0,1.519656,37.0,31.7182541
12898,2022-03-21 17:17:25,60.7843132,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1939.65515,2177.41943,0.78125,9.387398,2.34375,2.34375,3.125,38.4859543,9.411186,22,24,22,23,23,32,32,4005.52466,4005.52466,4005.52466,4005.52466,4105.6626,4105.6626,17.1777821,12.889884,0,1.15995979,100.138115,44.31946,7.052124,8.859901,44,48,0,0,0,44,10,1586,792,200,33,0.775000036,0.675,0.8,0,1,41,100,1113.12048,25.0,1.519656,37.0,31.7182541
12899,2022-03-21 17:17:26,63.92157,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1925.82031,2166.934,3.1129837,46.875,9.375,8.59375,0.0,3.18858624,11.8575573,23,33,23,25,22,24,33,4005.52441,4005.52441,4105.6626,4005.52441,4105.6626,4105.6626,20.6094284,15.6446905,0,1.33864522,100.138107,44.76022,7.122257,8.789768,45,48,0,0,0,45,10,1561,792,200,36,0.775000036,0.675,0.8,0,1,41,100,1113.12048,25.0,1.519656,37.0,31.7182541
12900,2022-03-21 17:17:27,62.7451,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1914.89368,2173.913,9.375,0.757575035,0.78125,0.0,0.0,48.484848,9.899783,23,24,23,24,23,32,32,4005.525,4005.525,4105.663,4005.525,4105.663,4105.663,19.4134712,14.4001389,0,1.24461842,100.138123,45.0482635,7.168091,8.743935,44,48,0,0,0,44,10,1535,792,200,47,0.775000036,0.675,0.8,0,1,40,100,1113.12048,25.0,1.519656,37.0,31.7182541
12901,2022-03-21 17:17:28,61.9607849,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,1.0,0.9760001,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,27,25.5,15,23,25,1928.57141,2173.913,3.13739777,15.625,0.78125,0.78125,1.5625,50.0,11.9812307,24,32,24,26,24,32,32,4105.6626,4005.52441,4105.6626,4005.52441,4105.6626,4005.52441,21.1937466,16.0856018,0,1.31586373,100.138115,45.19244,7.19103241,8.720993,43,48,0,0,0,43,10,1505,792,200,32,0.775000036,0.675,0.8,0,1,39,100,1113.12048,25.0,1.519656,37.0,31.7182541
12902,2022-03-21 17:17:29,60.7843132,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1928.57141,2173.913,3.125,2.34375,8.59375,0.0,0.0,50.0,10.6770811,23,24,22,24,23,28,28,4005.52441,4005.52441,4105.6626,4105.6626,4105.6626,4005.52441,18.8590317,13.90676,0,1.20743608,100.138107,45.2844467,7.205673,8.706352,43,46,0,0,0,43,10,1483,792,200,42,0.775000036,0.675,0.8,0,1,39,100,1113.12048,25.0,1.519656,37.0,31.7182541
12903,2022-03-21 17:17:30,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1936.87231,2170.418,3.1129837,8.59375,0.78125,3.125,0.0,50.0,10.9354973,23,25,22,34,23,29,34,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,19.321722,14.1815014,0,1.28445983,100.138107,46.04957,7.32741928,8.584606,43,46,0,0,0,43,10,1461,792,202,33,0.775000036,0.675,0.8,0,1,38,100,1113.12048,25.0,1.519656,37.0,31.7182541
12904,2022-03-21 17:17:31,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1925.82031,2166.934,2.34375,3.91864777,10.9375,1.5625,0.78125,46.875,11.0697746,23,24,22,24,24,29,29,4105.663,4105.663,4105.663,4005.525,4105.663,4005.525,18.4233284,13.1280975,0,1.20307016,100.138123,45.37984,7.220852,8.691174,43,46,0,0,0,43,10,1442,792,200,32,0.775000036,0.675,0.8,0,1,37,100,1113.12048,25.0,1.519656,37.0,31.7182541
12905,2022-03-21 17:17:32,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1914.89368,2166.934,21.875,35.7812538,27.1995182,24.21875,25.78125,39.5793266,29.0725174,36,29,35,28,26,27,36,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,35.9557877,32.3344727,0,2.00632572,100.1381,45.0230675,7.16408157,8.747944,44,48,0,0,0,44,18,1409,786,210,574,0.8,0.675,0.8,39,2,37,100,1113.12048,25.0,1.519656,37.0,31.7182541
12906,2022-03-21 17:17:33,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1928.57141,2173.913,23.4375,39.84375,24.21875,17.1875,17.96875,23.4375,24.3489571,26,26,25,25,33,26,33,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,4005.52466,30.0233,26.66268,0,1.78913093,100.138115,44.94503,7.15166473,8.760361,43,46,0,0,0,43,10,0,792,200,71,0.775000036,0.675,0.8,0,1,0,100,1113.12048,25.0,1.519656,37.0,31.7182541
