,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6246,2022-03-20 02:05:05,60.0,100,100,100,100,100,100,0.664000034,1.008,3.3920002,3.40800023,1.0,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1925.82031,2173.913,7.03125,10.9375,13.2692337,3.90625,6.10795,3.125,7.39619732,29,26,25,27,29,25,29,4005.524,4005.524,4005.524,4005.524,4005.524,4005.524,15.9683971,12.2816372,0,1.41054034,100.1381,36.97081,5.882805,10.0292206,48,50,0,0,0,48,13,0,789,202,214,0.8,0.675,0.8,11,1,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6247,2022-03-20 02:05:06,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.960000038,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1925.82031,2173.913,19.53125,10.9375,9.375,44.53125,10.15625,14.84375,18.2291679,24,25,23,38,24,25,38,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,25.9087486,23.0086555,0,1.33255529,100.138054,37.14951,5.91123962,10.0007858,49,48,0,0,0,49,15,0,790,540,210,0.8,0.675,0.8,7,2,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6248,2022-03-20 02:05:07,68.62745,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1914.89368,2166.934,14.0625,19.53125,14.0625,50.78125,9.375,8.59375,19.4010429,31,28,26,39,26,35,39,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,29.8913612,26.6563473,0,1.61904871,100.138039,37.0755768,5.899475,10.01255,48,48,0,0,0,48,10,0,790,200,48,0.8,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6249,2022-03-20 02:05:08,67.84314,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1928.57141,2173.913,22.65625,0.0,10.9375,28.90625,0.78125,0.78125,10.6770811,36,25,25,25,24,24,36,4105.65967,4105.65967,4005.52173,4005.52173,4005.52173,4005.52173,20.2843361,14.959444,0,1.21210289,100.138039,37.0825043,5.90057755,10.0114479,48,48,0,0,0,48,10,0,791,200,34,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6250,2022-03-20 02:05:09,64.70589,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1936.87231,2173.913,48.4375,15.6502008,1.57489777,4.699898,2.34375,0.78125,12.2479143,24,33,24,25,23,24,33,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,22.2024288,16.9229813,0,1.33808267,100.138031,37.4041367,5.95175552,9.96027,48,48,0,0,0,48,10,0,791,202,62,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6251,2022-03-20 02:05:10,61.9607849,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.960000038,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1923.0769,2177.41943,25.78125,10.6770878,0.78125,5.46875,3.13739777,42.46394,14.718276,29,27,24,25,24,27,29,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,24.88612,19.4482536,0,2.1007154,100.138062,37.60079,5.98304749,9.928978,48,48,0,0,0,48,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6252,2022-03-20 02:05:11,61.9607849,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1912.18127,2173.913,34.375,29.6875,36.71875,20.3004837,7.78846169,3.90625,22.12941,24,32,24,33,24,25,33,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,28.0303135,22.8403111,0,1.51049948,100.138046,37.5959,5.98226929,9.929756,48,48,0,0,0,48,13,0,790,476,161,0.775000036,0.85,0.8,5,4,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6253,2022-03-20 02:05:12,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,28,25.5,15,23,25,1914.89368,2173.913,37.5,52.34375,14.0625,22.65625,12.5,17.96875,26.171875,30,36,34,29,29,31,36,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,29.1916332,24.2124138,0,1.63435435,100.138046,37.7059631,5.99978256,9.912243,48,50,0,0,0,48,10,0,791,200,39,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6254,2022-03-20 02:05:13,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,1.0,0.960000038,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,28,25.5,15,23,25,1928.57141,2173.913,13.28125,44.53125,46.875,19.53125,18.75,5.46875,24.7395821,30,26,31,37,26,26,37,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,27.3788757,22.8092728,0,1.61241639,100.138031,37.6714172,5.99428558,9.91774,49,48,0,0,0,49,10,0,791,200,61,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
6255,2022-03-20 02:05:14,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1934.09741,2173.913,22.3034267,42.1875,32.4156761,36.0243073,15.8266125,7.8125,26.0950089,25,26,36,34,24,26,35,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,31.9819813,27.38623,0,1.81799531,100.138046,37.8387756,6.020916,9.891109,48,48,0,0,0,48,11,0,790,264,51,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980221,99,2048.1853,84.3798447,26,1.517732
