,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
10375,10375,2022-03-31 00:00:27-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1917.61365,2188.00659,2.34375,11.7067337,2.34375,1.5625,0.78125,2.34375,3.51362228,25,25,24,25,24,24,26,4005.5188,3104.277,2203.0354,3104.277,4005.5188,4005.5188,10.5625648,6.34104443,0,1.28204954,100.13797,30.3906784,4.83577347,11.076252,43,44,0,0,0,43,11,0,790,200,218,0.8,0.675,0.8,5,5,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10376,10376,2022-03-31 00:00:28-04:00,64.70589,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,0.960000038,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1928.57141,2184.466,19.3750019,23.0769215,11.7338181,13.1370182,13.8461533,25.2258835,17.7324772,25,25,24,24,24,24,26,801.103149,801.103149,801.103149,801.103149,801.103149,4005.51587,21.8239384,18.6548557,0,1.48574352,100.137894,30.6435165,4.87600327,11.0360222,43,44,0,0,0,43,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10377,10377,2022-03-31 00:00:29-04:00,64.70589,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1939.65515,2180.937,20.5357132,25.3968239,25.1037827,14.2857132,17.613924,39.47497,23.7351475,26,26,24,25,25,30,30,4105.65869,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,25.6041718,21.86198,0,1.71526468,100.138016,32.55973,5.180912,10.7311134,43,44,0,0,0,43,10,0,791,200,43,0.775000036,0.675,0.8,0,1,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10378,10378,2022-03-31 00:00:30-04:00,60.7843132,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1928.57141,2180.937,3.8461566,9.230768,6.92307949,0.7692337,0.757575035,40.76923,10.3826761,27,26,35,27,25,29,35,4005.518,4105.65625,4105.65625,4105.65625,4005.518,4005.518,17.1786251,12.56297,0,1.31507671,100.137955,32.5541458,5.180023,10.7320023,43,44,0,0,0,43,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10379,10379,2022-03-31 00:00:31-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1917.61365,2180.937,1.57489777,10.9375,0.78125,0.0,3.13739777,28.1885872,7.43660927,23,24,24,24,24,24,26,2603.5874,1702.34558,801.1038,801.1038,4005.519,4005.519,13.96201,9.275361,0,1.28331614,100.137978,32.6530075,5.195755,10.71627,43,44,0,0,0,43,12,0,791,352,167,0.775000036,0.85,0.8,5,4,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10380,10380,2022-03-31 00:00:32-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1928.57141,2188.00659,13.28125,16.31155,29.6875,27.1274033,11.6586571,15.246212,18.8854275,29,27,31,28,31,28,31,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,22.99464,19.4729156,0,1.6856904,100.13797,33.52678,5.33478928,10.5772362,43,46,0,0,0,43,10,0,791,202,41,0.775000036,0.675,0.8,0,1,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10381,10381,2022-03-31 00:00:33-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,0.960000038,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1939.65515,2184.466,13.7529135,10.0000019,6.153846,9.230768,5.384612,43.8461533,14.7280512,31,28,27,29,28,34,34,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,21.6235352,17.3968582,0,1.431017,100.137947,33.6897964,5.360729,10.5512962,43,46,0,0,0,43,20,0,785,200,633,0.8,0.675,0.8,65,1,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10382,10382,2022-03-31 00:00:34-04:00,60.7843132,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,0.960000038,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1925.82031,2188.00659,6.153846,3.87018919,10.76923,7.69230747,4.615384,38.4615364,11.92708,26,26,24,25,25,29,29,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,17.9695473,13.1505337,0,1.4177444,100.13797,34.2865219,5.455681,10.4563446,43,44,0,0,0,43,14,0,788,212,399,0.8,0.675,0.8,21,1,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10383,10383,2022-03-31 00:00:35-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1914.89368,2191.55835,2.34375,10.15625,3.90625,7.03125,0.78125,47.65625,11.9791689,25,26,24,27,26,35,35,4005.51855,4005.51855,4105.65625,4005.51855,4005.51855,4005.51855,19.03305,14.2025509,0,1.40555286,100.137962,34.2356033,5.44757843,10.464447,43,44,0,0,0,43,15,0,788,200,460,0.8,0.675,0.8,29,2,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
10384,10384,2022-03-31 00:00:36-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,28.0,28,25.5,15,23,25,1928.57141,2180.937,0.78125,6.25,3.90625,0.0,0.78125,48.4375,10.0260439,26,26,24,25,26,29,29,4105.65625,4005.51831,4005.51831,4105.65625,4005.51831,4005.51831,17.6585922,13.0226393,0,1.33924687,100.137955,34.5660629,5.50016,10.4118652,43,44,0,0,0,43,10,0,791,200,36,0.775000036,0.675,0.8,0,1,0,99,2211.61157,81.5115356,27,1.52868187,100,1223.39075,46.5730247,26,1.55734515
