,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
10426,10426,2022-03-31 00:01:18-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.0,28,25.5,15,23,25,1914.89368,2180.937,37.5,41.40625,40.625,35.15625,36.71875,39.84375,38.5416679,37,35,37,34,35,33,38,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,34.51895,31.99015,0,2.44165158,100.13797,39.38654,6.26719666,9.644829,51,52,0,0,0,52,31,1681,808,1750,919,0.8,0.85,0.8,42,1,44,99,2211.628,81.5117645,27,1.52867913,100,1223.39087,46.5730247,26,1.55734539
10427,10427,2022-03-31 00:01:19-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,29.0,28,26.0,15,23,25,1928.57141,2188.00659,49.2307663,58.4615364,56.92308,55.384613,56.92308,55.384613,55.384613,34,33,34,33,34,37,37,4005.51831,4005.51831,4005.51831,4005.51831,4005.51831,4005.51831,44.1529922,41.56651,0,3.131737,100.137955,39.7960854,6.332363,9.579662,53,54,0,0,0,58,95,1686,1737,1750,1264,0.9620001,0.85,0.91200006,84,28,44,99,2211.628,81.5117645,27,1.52867913,100,1223.39087,46.5730247,26,1.55734539
10428,10428,2022-03-31 00:01:20-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.0,28,26.0,15,23,25,1939.65515,2180.937,53.125,61.71875,57.03125,58.59375,58.59375,60.9375,58.3333359,39,37,34,38,36,33,39,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,46.9592361,44.27122,0,3.386075,100.13797,40.4061928,6.42944336,9.482582,53,54,0,0,0,56,65,1688,1579,1750,1162,0.856000066,0.85,0.818,56,18,44,99,2211.628,81.5117645,27,1.52867913,100,1223.39087,46.5730247,26,1.55734539
10429,10429,2022-03-31 00:01:21-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.0,28,26.0,15,23,25,1925.82031,2188.00659,57.03125,61.71875,59.375,57.8125,60.15625,58.59375,59.1145859,37,33,34,34,39,34,39,4005.51831,4005.51831,4005.51831,4005.51831,4005.51831,4005.51831,46.1908,43.5547752,0,3.329022,100.137955,40.2885,6.410717,9.501308,54,54,0,0,0,59,97,1715,1725,1750,1257,0.9620001,0.85,0.91200006,84,27,45,99,2211.628,81.5117645,27,1.52867913,100,1223.39087,46.5730247,26,1.55734539
10430,10430,2022-03-31 00:01:22-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,29.0,28,25.5,15,23,25,1914.89368,2180.937,60.15625,53.125,46.875,57.03125,50.78125,56.25,54.03646,35,33,35,38,34,33,38,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,45.15635,42.515522,0,3.28215837,100.137962,40.7096939,6.47773743,9.434288,54,54,0,0,0,60,101,1739,1738,1750,1266,0.9620001,0.85,0.91200006,87,30,45,99,2211.63843,81.51343,27,1.52885425,100,1223.39087,46.5730247,26,1.55734539
10431,10431,2022-03-31 00:01:23-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.0,28,26.0,15,23,25,1928.57141,2180.937,67.1875,66.40625,70.3125,60.9375,64.0625,67.1875,66.015625,37,39,41,35,35,33,41,4005.518,4005.518,4005.518,4005.518,4005.518,4005.518,47.31058,44.57988,0,3.469435,100.137955,41.4735451,6.59928131,9.312744,54,54,0,0,0,58,94,1767,1704,1750,1252,0.9620001,0.85,0.91200006,82,28,46,99,2211.63843,81.51343,27,1.52885425,100,1223.39087,46.5730247,26,1.55734539
10432,10432,2022-03-31 00:01:24-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.008,29.0,28,26.0,15,23,25,1925.82031,2191.55835,60.0000038,63.0769272,58.4615364,56.9230728,62.3076935,68.46154,61.53846,34,38,34,34,34,33,38,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,44.5426559,41.861454,0,3.20573974,100.13797,41.7977448,6.65086746,9.261158,51,52,0,0,0,52,11,1786,790,250,60,0.775000036,0.675,0.8,0,1,47,99,2211.63843,81.51343,27,1.52885425,100,1223.39087,46.5730247,26,1.55734539
10433,10433,2022-03-31 00:01:25-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,29.0,28,25.5,15,23,25,1936.87231,2180.937,17.6923027,27.6923065,17.6923027,24.6153831,33.0769234,28.46154,24.8717957,35,36,35,37,33,31,37,4005.518,4005.518,4005.518,4005.518,4005.518,4005.518,29.5764465,26.9062843,0,2.05951643,100.137955,42.3900871,6.745121,9.166904,49,52,0,0,0,49,21,1813,786,292,637,0.8,0.675,0.8,57,1,47,99,2211.63843,81.51343,27,1.52885425,100,1223.39087,46.5730247,26,1.55734539
10434,10434,2022-03-31 00:01:26-04:00,60.0,100,100,100,100,100,100,1.008,1.0,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,29.5,28,26.0,15,23,25,1914.89368,2180.937,58.4615364,56.1538467,56.92308,58.4615364,55.384613,53.0769234,56.41025,39,36,35,35,35,34,39,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,48.228878,45.4891663,0,3.645967,100.137947,42.72598,6.79856873,9.113457,53,54,0,0,0,58,95,1798,1740,1750,1262,0.9620001,0.85,0.91200006,84,26,47,99,2211.63843,81.51343,27,1.52885425,100,1223.39087,46.5730247,26,1.55734539
10435,10435,2022-03-31 00:01:27-04:00,60.0,100,100,100,100,100,100,1.016,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.008,29.5,28,26.0,15,23,25,1914.89368,2180.937,69.53125,60.15625,64.0625,62.5,60.9375,67.96875,64.19271,40,35,35,39,35,35,40,4005.51929,4005.51929,4005.51929,4005.51929,4005.51929,4005.51929,48.0680351,45.2269173,0,3.674789,100.137978,43.32436,6.89378357,9.018242,54,54,0,0,0,59,94,1771,1735,1750,1234,0.9620001,0.85,0.91200006,83,26,46,99,2211.63843,81.51343,27,1.52885425,100,1223.39087,46.5730247,26,1.55734539
