,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6845,6845,2022-03-20 02:15:08-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1914.89368,2166.934,5.46875,14.038825,6.25,3.125,2.34375,3.1129837,5.72322,23,24,31,23,22,23,31,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,4005.52417,12.2314682,8.292811,0,1.27583587,100.1381,35.3910446,5.63143158,10.2805939,48,50,0,0,0,48,22,0,787,700,546,0.8,0.85,0.8,40,5,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6846,6846,2022-03-20 02:15:09-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1925.82031,2173.913,3.125,25.0,5.46875,3.125,1.5625,1.5625,6.640625,23,29,23,24,23,24,29,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,13.9457464,9.501742,0,1.23320735,100.138039,35.53366,5.654125,10.2579,47,48,0,0,0,47,10,0,791,200,52,0.775000036,0.675,0.8,0,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6847,6847,2022-03-20 02:15:10-04:00,61.9607849,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1936.87231,2177.41943,1.5625,31.25,21.070076,10.1442337,2.34375,3.90625,11.7128077,24,34,24,25,23,32,34,4005.52173,4005.52173,4105.65967,4005.52173,4005.52173,4005.52173,18.5177155,14.0775776,0,1.40271413,100.138039,36.6003227,5.82385254,10.0881729,47,48,0,0,0,47,10,0,790,202,34,0.775000036,0.675,0.8,0,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6848,6848,2022-03-20 02:15:11-04:00,61.9607849,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1936.87231,2173.913,38.28125,7.899308,15.625,0.0,0.78125,9.375,11.9936285,31,25,23,24,23,24,31,4105.66,4005.522,4005.522,4105.66,4005.522,4005.522,18.6246071,13.5371952,0,1.37613451,100.138046,36.32935,5.780735,10.13129,47,48,0,0,0,47,10,0,791,200,34,0.775000036,0.675,0.8,0,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6849,6849,2022-03-20 02:15:12-04:00,60.0,100,100,100,100,100,100,0.648,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1923.0769,2177.41943,21.09375,10.9375,4.6875,1.5625,10.1810513,7.824898,9.381199,23,23,21,22,22,22,25,801.1039,4005.51953,4105.65771,4005.51953,4005.51953,4005.51953,16.31956,11.5321741,0,1.34909081,100.137985,36.82335,5.85934067,10.0526848,47,48,0,0,0,47,10,0,790,224,37,0.775000036,0.675,0.8,0,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6850,6850,2022-03-20 02:15:13-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1914.89368,2180.937,10.9375,13.2091341,11.68269,4.6875,10.9134617,6.22596169,9.609384,28,27,25,25,32,25,32,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,16.8296242,12.3821964,0,1.42930019,100.138092,37.113575,5.90552139,10.0065041,48,50,0,0,0,48,22,0,925,954,420,0.775000036,0.85,0.8,35,2,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6851,6851,2022-03-20 02:15:14-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1914.89368,2166.934,25.78125,24.21875,17.1875,11.71875,16.40625,14.84375,18.359375,28,27,30,26,26,26,30,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,25.9933224,22.4460449,0,1.751191,100.138046,39.11245,6.223583,9.688442,48,48,0,0,0,48,12,0,789,200,237,0.775000036,0.675,0.8,5,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6852,6852,2022-03-20 02:15:15-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1925.82031,2173.913,20.7692261,23.84615,12.3076916,6.153846,28.46154,14.6153812,17.69231,27,34,26,26,27,25,34,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,22.7428226,18.5154152,0,1.61420131,100.138039,39.6720238,6.312622,9.599403,47,48,0,0,0,47,10,0,790,200,69,0.775000036,0.675,0.8,0,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6853,6853,2022-03-20 02:15:16-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1936.87231,2180.937,3.174603,50.0,4.76190472,11.1111107,1.58730149,3.174603,12.3015881,24,36,23,25,24,24,36,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,20.5764446,16.3729935,0,1.391263,100.138046,39.9830055,6.36210632,9.549919,48,48,0,0,0,48,16,0,823,984,107,0.775000036,0.85,0.818,1,0,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
6854,6854,2022-03-20 02:15:17-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1936.87231,2166.934,3.90625,46.875,8.59375,14.84375,3.90625,3.125,13.5416689,24,26,23,36,26,26,36,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,20.5283947,17.7044277,0,1.4949944,100.138031,40.0910339,6.37929535,9.53273,47,48,0,0,0,47,10,0,789,200,39,0.775000036,0.675,0.8,0,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.5166,84.3799744,27,1.5178833
