,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6871,6871,2022-03-20 02:15:34-04:00,60.0,100,100,100,100,100,100,0.896,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1925.82031,2166.934,14.0625,12.5,9.375,3.125,4.6875,3.125,7.8125,26,26,23,24,25,24,26,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,16.88967,14.5904179,0,1.72903228,100.138039,43.3660049,6.9004097,9.011616,53,54,0,0,0,53,46,0,904,1750,769,0.8,0.85,0.8,50,7,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6872,6872,2022-03-20 02:15:35-04:00,60.0,100,100,100,100,100,100,0.808,1.008,3.37600017,3.3920002,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1923.0769,2177.41943,16.40625,7.03125,8.59375,4.6875,3.125,2.34375,7.03125,24,26,24,24,23,24,26,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,15.023612,12.8046026,0,1.53935182,100.138046,43.367012,6.90057,9.011456,53,54,0,0,0,54,46,0,891,1750,749,0.775000036,0.85,0.8,53,7,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6873,6873,2022-03-20 02:15:36-04:00,60.0,100,100,100,100,100,100,0.840000033,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1912.18127,2173.913,19.9999981,21.53846,13.0769253,5.384612,5.384612,6.153846,11.9230747,31,27,25,26,24,25,31,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,18.9262772,16.1261158,0,1.82830417,100.138039,43.4532928,6.914299,8.997726,50,52,0,0,0,50,10,0,789,204,48,0.775000036,0.675,0.8,0,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6874,6874,2022-03-20 02:15:37-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1928.57141,2173.913,19.9999981,13.8461533,9.230768,4.615384,13.8461533,3.076923,10.76923,28,26,24,25,31,25,31,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,19.07049,15.2841778,0,1.60831869,100.138031,43.4954147,6.92100143,8.991024,50,50,0,0,0,50,11,0,790,200,71,0.775000036,0.675,0.8,0,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6875,6875,2022-03-20 02:15:38-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1925.82031,2173.913,24.21875,11.71875,11.71875,1.5625,27.34375,2.34375,13.1510439,37,31,25,27,29,25,37,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,24.8919334,21.4195251,0,2.08501887,100.138054,44.49737,7.080433,8.831593,51,52,0,0,0,51,17,0,790,916,148,0.775000036,0.85,0.8,5,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6876,6876,2022-03-20 02:15:39-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1934.09741,2166.934,38.4615364,10.76923,16.9230766,6.153846,39.23077,9.230768,20.1282024,34,27,26,27,32,25,33,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,26.3249378,23.1446819,0,2.26968646,100.138031,45.4587631,7.23341,8.678616,50,52,0,0,0,50,14,0,789,462,210,0.8,0.85,0.8,14,4,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6877,6877,2022-03-20 02:15:40-04:00,60.0,100,100,100,100,100,100,1.016,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1923.0769,2177.41943,33.0769234,10.76923,15.3846149,6.92307949,30.76923,10.0000019,17.820507,32,28,29,30,29,27,32,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,26.9777088,23.7948017,0,2.3283577,100.138046,46.514946,7.40147,8.510555,50,52,0,0,0,50,19,0,790,974,219,0.775000036,0.85,0.8,7,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6878,6878,2022-03-20 02:15:41-04:00,60.0,100,100,100,100,100,100,1.016,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1914.89368,2173.913,35.9375,10.9375,17.1875,11.71875,33.59375,15.625,20.8333321,33,27,26,27,32,26,33,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,26.8735218,23.56492,0,2.260456,100.138039,47.6025162,7.574524,8.337502,49,50,0,0,0,49,11,0,789,200,89,0.775000036,0.675,0.8,1,1,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6879,6879,2022-03-20 02:15:42-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1914.89368,2173.913,27.6923065,18.4615364,13.8461533,8.4615345,13.0769253,10.76923,15.3846264,27,26,24,25,24,26,27,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,23.4509315,20.1246052,0,1.72939527,100.138054,48.2047348,7.670349,8.241676,52,54,0,0,0,52,29,0,792,1750,440,0.8,0.85,0.8,8,3,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
6880,6880,2022-03-20 02:15:43-04:00,60.0,100,100,100,100,100,100,0.91200006,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1925.82031,2173.913,12.5,14.0625,14.0625,5.46875,2.34375,2.34375,8.463544,27,26,26,25,24,25,27,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,18.3614845,15.9595442,0,1.68993974,100.138031,48.2057381,7.67050934,8.241516,54,56,0,0,0,54,48,0,1126,1750,793,0.8,0.85,0.8,41,12,0,100,1112.26648,69.1098,26,1.51980281,99,2048.53149,84.3803253,26,1.517882
