,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
749,749,2022-03-20 00:32:45-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1923.0769,2170.418,5.432689,13.8701916,2.3317337,3.076923,4.615384,2.34375,5.27845,32,25,23,23,22,24,30,4005.52173,4005.52173,801.1043,801.1043,4005.52173,4005.52173,10.8716936,6.79746056,0,1.195811,100.138039,24.12207,3.83831024,12.0737152,50,50,0,0,0,50,17,0,791,200,435,0.775000036,0.675,0.8,30,1,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
750,750,2022-03-20 00:32:46-04:00,60.0,100,100,100,100,100,100,0.768,1.008,3.37600017,3.40800023,1.0,0.968000054,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1934.09741,2173.913,7.130456,3.125,1.57489777,0.0,0.78125,0.78125,2.2321403,23,33,22,22,22,23,33,4005.522,4005.522,4105.66,4005.522,4005.522,4005.522,9.549371,4.50210238,0,1.13555312,100.138046,24.2749786,3.86264038,12.0493851,50,50,0,0,0,50,16,0,791,750,170,0.775000036,0.675,0.8,7,2,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
751,751,2022-03-20 00:32:48-04:00,63.92157,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1923.0769,2177.41943,17.01923,24.21875,21.7788467,24.21875,14.0625,29.6274071,21.82091,25,28,34,25,25,32,32,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,26.7979374,23.8140755,0,1.52223384,100.138039,24.7931137,3.94508743,11.966938,50,50,0,0,0,50,13,0,790,382,104,0.775000036,0.675,0.8,3,1,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
752,752,2022-03-20 00:32:49-04:00,62.7451,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1925.82031,2173.913,50.96154,18.23294,3.8461566,9.615385,1.9230783,2.88461447,14.5772877,36,36,26,27,24,28,36,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,22.4572277,17.49091,0,1.39997017,100.138046,24.7747345,3.94216156,11.9698639,50,50,0,0,0,50,10,0,790,200,32,0.775000036,0.675,0.8,0,1,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
753,753,2022-03-20 00:32:50-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1925.82031,2177.41943,41.40625,2.34375,11.71875,13.28125,1.5625,2.34375,12.109375,27,26,33,25,24,25,33,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,21.0637264,15.870491,0,1.31630528,100.138046,24.9400253,3.968464,11.9435616,50,50,0,0,0,50,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
754,754,2022-03-20 00:32:51-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1934.09741,2180.937,46.875,14.84375,8.59375,8.59375,0.78125,0.78125,13.4114561,33,32,35,25,24,24,35,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,24.21499,18.8539772,0,2.12512136,100.138046,25.7031555,4.08989334,11.8221321,50,50,0,0,0,50,10,0,790,202,38,0.775000036,0.675,0.8,0,1,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
755,755,2022-03-20 00:32:52-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1923.0769,2170.418,9.375,47.65625,43.75,7.03125,3.90625,20.3125,22.0052071,24,26,32,25,24,31,32,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,26.81993,21.5307446,0,1.35056448,100.138039,25.3101578,4.027359,11.8846664,50,50,0,0,0,50,10,0,790,200,36,0.775000036,0.675,0.8,0,1,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
756,756,2022-03-20 00:32:53-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1912.18127,2177.41943,3.90625,39.84375,10.15625,11.71875,3.125,50.0,19.7916679,23,32,23,25,23,32,32,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,26.05233,20.7338524,0,1.28201473,100.138046,25.1016388,3.99417877,11.9178467,50,50,0,0,0,50,15,0,791,750,101,0.775000036,0.85,0.8,4,2,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
757,757,2022-03-20 00:32:54-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1923.0769,2173.913,33.59375,19.6924572,41.4186478,14.84375,3.90625,21.09375,22.42477,33,26,30,25,24,25,33,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,27.4350834,22.0312271,0,1.600595,100.138031,25.2852249,4.02339172,11.8886337,50,50,0,0,0,50,10,0,790,200,33,0.775000036,0.675,0.8,0,1,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
758,758,2022-03-20 00:32:55-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1934.09741,2177.41943,49.21875,50.0120163,3.125,16.40625,7.03125,7.03125,22.13742,33,30,26,30,24,24,33,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,25.5256958,20.4329987,0,1.42526412,100.138046,25.188179,4.00795,11.9040756,50,50,0,0,0,50,10,0,789,200,38,0.775000036,0.675,0.8,0,1,0,100,1111.96838,69.1098,26,1.51994181,99,2044.53687,84.37802,26,1.5166539
