,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
217,217,2022-03-20 00:23:42-04:00,60.7843132,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1917.61365,2170.418,10.9375,19.53125,27.34375,18.75,17.96875,25.7572117,20.0480766,24,26,35,25,24,26,35,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,21.9872112,18.6557961,0,1.53711629,100.138031,39.1621971,6.23149872,9.680527,48,50,0,0,0,48,14,0,791,534,106,0.775000036,0.675,0.8,3,2,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
218,218,2022-03-20 00:23:43-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1920.34143,2173.913,2.34375,5.46875,19.53125,4.6875,0.793647766,35.9375,11.4604,24,25,35,24,23,24,35,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,16.0972481,12.8337851,0,1.31220126,100.138046,39.1606865,6.23125839,9.680767,48,50,0,0,0,48,15,0,791,572,110,0.775000036,0.675,0.8,3,2,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
219,219,2022-03-20 00:23:44-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1920.34143,2173.913,2.34375,8.59375,9.375,7.03125,28.01683,21.09375,12.742382,23,25,24,25,35,25,35,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,17.8137112,14.5038767,0,1.43325746,100.138039,39.2067146,6.23858261,9.673443,47,48,0,0,0,47,17,0,791,806,126,0.8,0.85,0.8,7,4,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
220,220,2022-03-20 00:23:45-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1920.34143,2173.913,6.8892,10.15625,17.1875,25.78125,13.28125,16.40625,14.9502811,25,25,34,28,24,24,34,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,18.8271847,15.6251926,0,1.42353415,100.138046,39.2158966,6.24004364,9.671982,48,50,0,0,0,48,17,0,790,728,147,0.775000036,0.675,0.8,4,6,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
221,221,2022-03-20 00:23:46-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1917.61365,2177.41943,1.5625,12.5,27.34375,17.96875,9.375,13.28125,13.671875,25,25,24,25,24,34,34,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,18.7077427,15.4758139,0,1.53369045,100.138046,39.3152466,6.25585175,9.656174,48,50,0,0,0,48,18,0,791,894,137,0.8,0.85,0.8,7,4,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
222,222,2022-03-20 00:23:47-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1920.34143,2173.913,9.375,14.8685513,33.59375,12.5,6.177884,21.24256,16.29296,23,24,25,25,24,33,33,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,19.7518272,16.4731331,0,1.42339456,100.138039,39.3276138,6.25782,9.654205,48,48,0,0,0,48,14,0,791,534,99,0.775000036,0.675,0.8,3,2,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
223,223,2022-03-20 00:23:48-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1920.34143,2173.913,14.7956734,28.8100967,19.53125,28.125,18.75,32.6081772,23.77003,37,36,38,36,36,37,38,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,27.4135647,23.596302,0,1.8720938,100.138031,39.82181,6.3364563,9.575569,47,48,0,0,0,47,20,0,787,200,604,0.8,0.675,0.8,56,1,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
224,224,2022-03-20 00:23:49-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,27,25.5,15,23,25,1917.61365,2177.41943,28.90625,39.0625,36.71875,41.40625,32.03125,28.90625,34.5052071,26,28,26,27,26,34,34,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,31.4249516,28.3928432,0,1.92781222,100.138054,40.1313324,6.385708,9.526318,48,48,0,0,0,48,16,0,791,860,98,0.775000036,0.675,0.8,2,1,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
225,225,2022-03-20 00:23:50-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1920.34143,2173.913,22.65625,20.3125,19.53125,23.4375,16.40625,26.5625,21.484375,30,35,36,28,31,30,36,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,24.71652,21.2441063,0,1.74562228,100.138031,40.5591927,6.45378876,9.458237,48,48,0,0,0,48,13,0,790,520,62,0.775000036,0.675,0.8,1,1,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
226,226,2022-03-20 00:23:51-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1917.61365,2173.913,39.0625,45.3125,36.71875,32.8125,40.625,30.46875,37.5,30,28,37,28,26,28,37,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,34.24374,30.8530235,0,2.126813,100.138054,42.2361031,6.720619,9.191406,48,48,0,0,0,48,18,0,789,532,263,0.775000036,0.85,0.8,20,7,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
227,227,2022-03-20 00:23:52-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,27,25.5,15,23,25,1917.61365,2173.913,17.96875,19.53125,14.84375,25.0,21.875,25.78125,20.8333321,36,30,32,25,24,26,36,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,23.2023849,20.0168266,0,1.56069791,100.138039,42.8890266,6.82451248,9.087513,48,50,0,0,0,48,17,0,789,614,184,0.775000036,0.85,0.8,14,8,0,100,1111.96838,69.1098,26,1.51994073,99,2044.01184,84.37584,27,1.516529
