,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
795,2022-03-20 00:33:32,60.7843132,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1923.0769,2173.913,9.375,8.59375,10.9375,8.59375,28.90625,10.9375,12.890625,33,26,23,24,27,24,33,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,17.0264759,13.7911243,0,1.34906137,100.138031,38.0570831,6.05565262,9.856373,51,54,0,0,0,51,13,0,789,350,168,0.8,0.85,0.8,13,10,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
796,2022-03-20 00:33:33,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1934.09741,2177.41943,14.0625,8.59375,10.9995,17.2123013,14.0625,13.28125,13.0352974,25,25,34,31,25,25,34,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,18.095583,14.8865366,0,1.43173039,100.138046,38.02896,6.051178,9.860847,52,54,0,0,0,52,12,0,789,364,82,0.8,0.675,0.8,1,1,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
797,2022-03-20 00:33:34,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1934.09741,2173.913,13.28125,10.15625,31.7548027,19.36298,13.28125,9.375,16.2019253,24,25,23,24,35,25,35,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,20.841917,17.66196,0,1.52106988,100.138046,38.1978073,6.078045,9.833981,52,54,0,0,0,52,18,0,789,646,206,0.775000036,0.85,0.8,16,10,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
798,2022-03-20 00:33:35,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1934.09741,2173.913,7.080853,7.88690472,17.1875,26.5625,23.4375,9.375,15.25504,25,34,24,24,25,25,34,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,19.3170624,16.13167,0,1.52506185,100.138046,38.1471977,6.069992,9.842033,52,54,0,0,0,52,19,0,788,594,270,0.775000036,0.85,0.8,19,10,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
799,2022-03-20 00:33:36,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1923.0769,2177.41943,10.8653841,19.2788486,23.4375,16.40625,19.53125,25.2356167,19.1258011,25,27,36,25,33,26,35,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,24.0334015,20.3918762,0,1.60867858,100.138031,37.9199524,6.03383255,9.878193,51,52,0,0,0,51,10,0,789,200,54,0.775000036,0.675,0.8,0,1,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
800,2022-03-20 00:33:37,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1912.18127,2173.913,39.0625,42.1875,47.65625,38.28125,39.84375,38.822113,40.975563,30,28,34,37,28,33,37,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,39.1784134,36.0096664,0,2.28884053,100.138046,39.09078,6.22013474,9.691891,52,52,0,0,0,52,13,0,790,432,95,0.775000036,0.675,0.8,3,1,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
801,2022-03-20 00:33:38,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1923.0769,2170.418,21.875,28.90625,26.8105145,29.8487072,33.59375,17.3239117,26.3930264,29,34,36,28,26,28,36,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,26.2798233,22.928257,0,1.68506444,100.138054,39.39328,6.26826859,9.643757,52,52,0,0,0,52,12,0,789,204,132,0.775000036,0.675,0.8,6,1,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
802,2022-03-20 00:33:39,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1934.09741,2173.913,40.625,46.09375,40.9375,40.3125,32.8125,30.2884579,38.5116158,33,36,36,35,33,30,35,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,36.80163,33.6240654,0,2.22994,100.138,41.5623665,6.613415,9.298611,52,54,0,0,0,52,15,0,790,458,138,0.775000036,0.675,0.8,8,2,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
803,2022-03-20 00:33:40,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1920.34143,2173.913,23.4375,27.34375,25.0,21.875,23.4375,31.25,25.390625,27,27,32,28,25,34,34,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,25.3593273,22.455698,0,1.74479532,100.138069,41.656395,6.628376,9.283649,52,52,0,0,0,52,24,0,786,722,623,0.8,0.85,0.8,55,2,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
804,2022-03-20 00:33:41,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1914.89368,2173.913,22.65625,22.65625,33.59375,24.21875,20.3125,31.25,25.78125,25,26,25,26,25,32,30,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,27.7819519,25.0638046,0,1.81086636,100.138054,42.04232,6.689785,9.22224,52,54,0,0,0,52,21,0,789,1182,240,0.775000036,0.85,0.8,11,3,0,100,1111.96838,69.1098,26,1.519942,99,2044.57959,84.37891,26,1.51664913
