,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
1222,2022-03-20 00:40:42,60.0,100,100,100,100,100,100,0.864,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1912.18127,2166.934,8.59375,9.375,3.90625,2.34375,2.34375,10.15625,6.119794,23,24,23,23,24,23,26,4005.52148,4105.65967,3805.24561,3504.8313,4005.52148,4005.52148,15.5223074,12.7255764,0,1.32125449,100.138039,35.3798,5.62964249,10.282383,52,54,0,0,0,52,16,0,791,996,77,0.8,0.675,0.8,0,1,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1223,2022-03-20 00:40:43,60.0,100,100,100,100,100,100,0.872000039,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1923.0769,2170.418,2.34375,10.15625,2.34375,3.125,2.34375,1.5625,3.64583135,23,32,23,26,24,26,28,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,12.5416212,9.731294,0,1.2458967,100.138039,35.51815,5.651657,10.2603683,51,54,0,0,0,51,19,0,789,1000,261,0.8,0.85,0.8,11,3,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1224,2022-03-20 00:40:44,60.0,100,100,100,100,100,100,0.704000056,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1934.09741,2170.418,5.481148,11.71875,3.90625,17.1875,7.8125,11.71875,9.637481,23,25,23,23,24,24,26,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,17.5321827,14.6445541,0,1.44600046,100.138046,35.7491837,5.68841934,10.2236061,51,54,0,0,0,51,14,0,789,350,219,0.775000036,0.85,0.8,7,10,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1225,2022-03-20 00:40:45,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1923.0769,2173.913,0.7692337,17.96875,13.28125,4.6875,3.90625,3.90625,7.41987228,23,24,23,23,24,23,25,4005.52124,3104.279,4005.52124,4005.52124,4005.52124,4005.52124,12.8779106,10.1225538,0,1.36110246,100.138031,35.795578,5.695801,10.2162247,52,54,0,0,0,52,17,0,790,1000,138,0.8,0.85,0.8,1,2,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1226,2022-03-20 00:40:46,60.0,100,100,100,100,100,100,0.880000055,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1912.18127,2166.934,3.125,9.375,3.90625,1.5625,3.90625,3.125,4.166669,22,24,23,23,24,23,26,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,13.5773125,10.7056437,0,1.34246683,100.138046,35.9185333,5.71536636,10.1966591,52,54,0,0,0,52,17,0,790,1056,81,0.8,0.675,0.8,1,1,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1227,2022-03-20 00:40:47,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1912.18127,2166.934,2.34375,14.84375,6.25,0.78125,5.46875,3.125,5.46875,23,25,23,24,23,23,25,4005.52148,4005.52148,4005.52148,3705.10742,4005.52148,4005.52148,14.1117048,11.2181463,0,1.41629684,100.138039,35.93682,5.718277,10.1937485,52,54,0,0,0,52,17,0,790,898,128,0.775000036,0.85,0.8,8,7,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1228,2022-03-20 00:40:48,60.0,100,100,100,100,100,100,0.832,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1912.18127,2173.913,2.34375,9.375,2.34375,0.78125,3.90625,2.34375,3.515625,23,24,22,22,24,23,26,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,12.2571716,9.446348,0,1.30443776,100.138054,35.93541,5.718052,10.1939735,51,54,0,0,0,51,17,0,790,972,103,0.775000036,0.85,0.8,3,2,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1229,2022-03-20 00:40:49,60.0,100,100,100,100,100,100,0.768,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1923.0769,2173.913,1.5625,11.71875,4.6875,0.0,3.90625,5.46875,4.557294,23,33,23,24,24,23,34,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,13.6125107,10.83455,0,1.4186753,100.138039,36.0420952,5.73502731,10.1769981,52,54,0,0,0,52,19,0,791,1248,115,0.775000036,0.85,0.8,2,2,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1230,2022-03-20 00:40:50,60.0,100,100,100,100,100,100,0.736000061,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,28,25.5,15,23,25,1934.09741,2173.913,2.34375,15.625,0.78125,0.78125,0.78125,0.78125,3.515625,23,24,23,22,24,23,25,4005.52173,4005.52173,4005.52173,3705.10767,3705.10767,4005.52173,12.5082521,9.69206,0,1.32386208,100.138046,36.0862045,5.74204636,10.1699791,52,54,0,0,0,52,17,0,790,996,78,0.8,0.85,0.8,2,1,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
1231,2022-03-20 00:40:51,60.0,100,100,100,100,100,100,0.76000005,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,28,25.5,15,23,25,1923.0769,2177.41943,2.30768919,9.230768,7.69230747,2.30768919,5.384612,2.30768919,4.87179756,27,25,26,32,31,25,32,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,14.292388,11.50808,0,1.40824771,100.138039,36.70022,5.83974838,10.0722771,52,54,0,0,0,52,18,0,791,924,122,0.775000036,0.85,0.8,4,4,0,100,1111.96838,69.1098,26,1.51994348,99,2044.71643,84.3801,26,1.516633
