,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
4204,4204,2022-03-20 01:30:53-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1914.89368,2173.913,8.4615345,7.69230747,18.4615364,5.4086566,4.615384,4.615384,8.209133,26,26,30,25,26,24,30,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,15.6846094,12.5342789,0,1.33234859,100.138046,38.13313,6.067753,9.844273,41,44,0,0,0,41,16,0,791,808,162,0.775000036,0.85,0.8,4,5,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4205,4205,2022-03-20 01:30:54-04:00,60.7843132,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1925.82031,2170.418,13.0769253,26.1538448,30.76923,13.7995358,12.3076916,18.4615364,19.0948,33,37,28,32,33,28,35,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,27.7968559,24.5202045,0,1.76837444,100.138046,38.6183777,6.144966,9.767059,40,44,0,0,0,40,12,0,791,202,140,0.775000036,0.675,0.8,5,1,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4206,4206,2022-03-20 01:30:55-04:00,61.9607849,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1934.09741,2173.913,15.4447079,14.84375,14.0625,14.84375,11.5865345,43.1730728,18.992382,23,25,24,24,24,33,33,4005.52173,4005.52173,4105.65967,4005.52173,4105.65967,4005.52173,24.3647232,20.5289822,0,1.7494843,100.138039,39.58914,6.29943466,9.612591,40,42,0,0,0,40,10,0,792,200,36,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4207,4207,2022-03-20 01:30:56-04:00,61.9607849,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,1.0,0.9760001,1.016,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1923.0769,2180.937,2.38095522,6.25,1.5625,0.793647766,1.58730149,41.26984,8.974033,23,34,23,25,24,24,34,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,19.284708,13.993969,0,1.30489969,100.138046,39.5978928,6.300827,9.611198,41,42,0,0,0,41,17,0,795,1036,164,0.775000036,0.85,0.8,6,0,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4208,4208,2022-03-20 01:30:57-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.3920002,3.40800023,1.0,0.9760001,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1923.0769,2173.913,10.15625,14.0625,21.875,11.6586571,10.15625,7.8125,12.6201925,24,25,32,25,24,24,31,4105.65967,4005.52173,4005.52173,4105.65967,4005.52173,3204.41748,18.4922714,14.1775255,0,1.52157485,100.138046,39.76854,6.32798,9.584045,40,42,0,0,0,40,10,0,792,200,35,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4209,4209,2022-03-20 01:30:58-04:00,60.0,100,100,100,100,100,100,0.656,1.008,3.37600017,3.40800023,1.0,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1914.89368,2173.913,2.30768919,10.8052845,1.53846145,0.0,0.7692337,2.30768919,2.95472741,22,23,22,22,22,23,25,2904.003,2904.003,2904.003,2904.003,2904.003,2904.003,10.7206573,5.634372,0,1.19426882,100.138031,39.7994156,6.33289337,9.579132,40,42,0,0,0,40,10,0,792,200,36,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4210,4210,2022-03-20 01:30:59-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1925.82031,2173.913,3.8461566,30.76923,15.3846149,13.8461533,3.076923,8.368301,12.5485659,24,37,23,33,24,26,37,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,23.2586422,18.8013687,0,1.51080477,100.138039,40.3898621,6.42684555,9.48518,40,42,0,0,0,40,15,0,1026,202,314,0.775000036,0.675,0.818,11,1,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4211,4211,2022-03-20 01:31:00-04:00,60.7843132,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1925.82031,2173.913,3.125,35.75721,19.53125,6.25,4.6875,6.25,12.60016,24,31,23,25,24,25,32,4005.522,4005.522,4005.522,4105.66,4005.522,4005.522,17.1756134,14.9562254,0,1.45956969,100.138046,41.11785,6.54268265,9.369343,41,42,0,0,0,41,10,0,792,200,55,0.775000036,0.675,0.818,0,1,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4212,4212,2022-03-20 01:31:01-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1936.87231,2180.937,3.125,26.5625,14.84375,10.9375,3.125,4.6875,10.546875,24,25,24,32,24,25,32,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,17.8461437,15.05129,0,1.42663312,100.138054,41.997036,6.682579,9.229446,42,44,0,0,0,42,24,0,963,1736,308,0.95600003,0.85,0.818,4,1,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
4213,4213,2022-03-20 01:31:02-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1923.0769,2173.913,4.6875,22.65625,10.9375,3.125,30.46875,10.15625,13.671875,26,29,25,26,35,26,35,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,19.90434,17.6971016,0,1.55291224,100.138039,42.47375,6.7584343,9.153591,43,46,0,0,0,43,22,0,816,1750,139,0.775000036,0.85,0.818,0,0,0,100,1112.26636,69.1098,26,1.51979852,99,2047.5498,84.38117,26,1.51745915
