,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
4849,4849,2022-03-20 01:41:41-04:00,60.0,100,100,100,100,100,100,0.712,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,28,25.5,15,23,25,1923.0769,2177.41943,3.125,7.8125,1.5625,0.78125,2.34375,5.46875,3.515625,23,23,21,22,22,22,25,4005.52148,3705.10718,4005.52148,3404.693,2904.003,4005.52148,10.236,6.754961,0,1.15033114,100.138039,41.07784,6.536316,9.37571,51,54,0,0,0,51,18,1521,790,1186,81,0.775000036,0.85,0.8,0,1,40,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4850,4850,2022-03-20 01:41:42-04:00,60.0,100,100,100,100,100,100,0.896,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,28,25.5,15,23,25,1923.0769,2173.913,0.78125,7.8125,2.34375,0.0,2.34375,1.5625,2.47395635,22,23,22,22,22,22,25,2904.00342,4005.522,3404.6936,3705.108,2904.00342,3705.108,10.2003374,6.54406357,0,1.19163311,100.138054,41.0349236,6.52948761,9.382538,51,54,0,0,0,51,17,1503,791,1174,87,0.775000036,0.85,0.8,1,1,39,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4851,4851,2022-03-20 01:41:43-04:00,60.0,100,100,100,100,100,100,0.68,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,28,25.5,15,23,25,1914.89368,2173.913,0.0,5.384612,0.0,3.076923,0.7692337,0.7692337,1.66666508,22,23,22,22,22,23,25,2904.00342,2904.00342,3705.10767,2904.00342,3404.6936,2904.00342,8.73407,5.17437029,0,1.09770072,100.138046,41.0440331,6.530937,9.381088,51,54,0,0,0,51,17,1495,791,1180,84,0.775000036,0.85,0.8,0,0,39,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4852,4852,2022-03-20 01:41:44-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,28,25.5,15,23,25,1928.57141,2173.913,0.0,3.125,3.125,0.78125,0.78125,2.34375,1.69270635,23,23,21,22,21,22,25,4005.521,2904.00269,2904.00269,2904.00269,3404.69287,3705.107,8.477341,5.178888,0,1.089229,100.138023,41.0454254,6.53115845,9.380867,50,54,0,0,0,50,16,1476,790,792,104,0.775000036,0.85,0.8,6,4,38,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4853,4853,2022-03-20 01:41:45-04:00,60.0,100,100,100,100,100,100,0.808,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,28,25.5,15,23,25,1936.87231,2173.913,7.03125,1.5625,6.25,3.125,3.1129837,6.1899066,4.5452776,23,24,23,23,22,23,25,4005.52173,3404.6936,4005.52173,2904.00317,3705.10767,2904.00317,10.180439,6.781978,0,1.14168334,100.138046,40.888588,6.5062027,9.405823,50,54,0,0,0,50,16,1451,791,932,60,0.775000036,0.675,0.8,1,1,38,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4854,4854,2022-03-20 01:41:46-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,28,25.5,15,23,25,1923.0769,2173.913,1.5625,3.90625,3.955853,1.5625,2.34375,3.90625,2.87284851,23,23,21,22,22,22,24,4005.51172,2903.996,3705.09839,3705.09839,2903.996,4005.51172,9.719471,6.42112637,0,1.12500632,100.137794,40.8941269,6.507084,9.404942,50,54,0,0,0,50,15,1426,791,812,92,0.775000036,0.85,0.8,3,3,37,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4855,4855,2022-03-20 01:41:47-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,28,25.5,15,23,25,1912.18127,2173.913,3.858173,0.78125,5.420673,1.5504837,1.5625,3.87018919,2.84054875,23,23,21,22,22,22,25,4005.53174,3104.287,4005.53174,3404.702,4005.53174,3404.702,9.515409,6.072267,0,1.117081,100.13829,40.9062576,6.509014,9.403011,49,54,0,0,0,49,16,0,791,890,73,0.775000036,0.85,0.8,2,2,0,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4856,4856,2022-03-20 01:41:48-04:00,60.0,100,100,100,100,100,100,0.84800005,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,28,25.5,15,23,25,1925.82031,2173.913,3.16220522,2.38095522,2.34375,1.5625,1.5625,3.96825075,2.49668956,22,23,22,22,22,22,25,3104.27954,4005.52222,3104.27954,4005.52222,3104.27954,4005.52222,8.660673,5.199868,0,1.09068274,100.138054,40.90307,6.508507,9.403519,49,54,0,0,0,49,16,0,789,684,180,0.775000036,0.85,0.8,11,6,0,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4857,4857,2022-03-20 01:41:49-04:00,60.0,100,100,100,100,100,100,0.640000045,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,28,25.5,15,23,25,1925.82031,2177.41943,3.8461566,8.4615345,1.53846145,0.0,3.076923,3.82283926,3.45765948,22,24,22,22,22,22,25,2904.003,2904.003,3705.10742,2904.003,4005.52148,3404.693,10.7166224,7.20509052,0,1.23334265,100.138039,40.92896,6.51262665,9.399399,49,54,0,0,0,49,16,0,791,920,81,0.775000036,0.85,0.8,2,1,0,100,1112.26636,69.1098,26,1.5198,99,2047.63049,84.3795242,25,1.51744711
4858,4858,2022-03-20 01:41:50-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,28,25.5,15,23,25,1934.09741,2173.913,2.34375,10.9375,2.34375,0.78125,2.34375,2.34375,3.515625,22,23,22,22,22,22,25,3705.10718,4005.52124,3404.693,4005.52124,3104.279,2904.003,10.464119,7.122054,0,1.22480476,100.138031,40.9566956,6.51704025,9.394985,49,52,0,0,0,49,13,0,790,486,68,0.8,0.675,0.8,0,1,0,100,1112.26636,69.1098,25,1.51980007,99,2047.63623,84.379715,26,1.5174464
