,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
10506,10506,2022-03-31 00:02:39-04:00,60.0,100,100,100,100,100,100,0.640000045,1.008,3.37600017,3.40800023,1.0,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1942.446,2188.00659,5.46875,3.90625,2.34375,2.34375,0.0,0.78125,2.47395635,27,26,25,27,25,25,27,4005.51855,4005.51855,3104.27686,2904.001,2904.001,2904.001,8.725163,5.14350843,0,1.27394128,100.137962,35.9100266,5.714012,10.1980133,44,46,0,0,0,44,11,0,791,204,88,0.775000036,0.675,0.8,3,2,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10507,10507,2022-03-31 00:02:40-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.5,28,25.5,15,23,25,1925.82031,2188.00659,17.1875,24.21875,14.84375,14.84375,18.75,17.1875,17.8385429,40,39,35,39,36,33,40,4005.51733,4005.51733,4005.51733,4005.51733,4005.51733,4005.51733,24.7621117,21.5284348,0,1.69703078,100.137932,36.5600471,5.817444,10.0945816,45,46,0,0,0,45,16,0,787,202,437,0.8,0.675,0.8,36,2,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10508,10508,2022-03-31 00:02:41-04:00,60.7843132,100,100,100,100,100,100,0.856000066,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,28.0,28,25.5,15,23,25,1917.61365,2180.937,16.9230766,14.6153812,14.6153812,14.6153812,14.6153812,18.4615364,15.6410275,26,26,26,27,26,25,27,4005.52,4005.52,4005.52,3404.692,2904.002,2904.002,16.4783287,13.2935286,0,1.4773711,100.138,36.6149673,5.82618332,10.0858421,45,46,0,0,0,45,16,0,791,918,95,0.775000036,0.675,0.8,5,3,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10509,10509,2022-03-31 00:02:42-04:00,60.0,100,100,100,100,100,100,0.68,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1917.61365,2188.00659,4.615384,6.153846,4.615384,5.384612,4.615384,3.076923,4.743594,23,25,23,24,24,24,26,3705.10425,2904.00049,2904.00049,4005.518,3404.69043,3104.27661,8.39506149,5.08595753,0,1.31439614,100.137955,36.6275826,5.82819,10.0838356,45,46,0,0,0,45,17,0,790,806,168,0.775000036,0.85,0.8,9,7,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10510,10510,2022-03-31 00:02:43-04:00,60.0,100,100,100,100,100,100,0.72,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1928.57141,2180.937,3.125,9.375,8.59375,4.6875,5.46875,6.25,6.25,27,26,25,26,26,24,29,4005.5188,3705.105,2904.00122,2904.00122,2904.00122,3705.105,10.9076014,7.60831165,0,1.44121432,100.13797,36.6367874,5.82965469,10.0823708,45,48,0,0,0,45,16,0,791,846,126,0.775000036,0.85,0.8,6,4,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10511,10511,2022-03-31 00:02:44-04:00,60.0,100,100,100,100,100,100,0.688,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.5,28,25.5,15,23,25,1939.65515,2188.00659,2.34375,3.90625,7.03125,5.46875,3.90625,3.90625,4.427081,23,24,23,25,24,24,26,2904.001,2904.001,2904.001,2904.001,2904.001,2904.001,7.80340767,4.506822,0,1.28783679,100.137962,36.6340065,5.829212,10.0828133,46,48,0,0,0,46,16,0,791,764,142,0.8,0.675,0.8,5,4,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10512,10512,2022-03-31 00:02:45-04:00,60.0,100,100,100,100,100,100,0.72,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.5,28,25.5,15,23,25,1925.82031,2180.937,3.125,7.03125,4.6875,6.25,3.90625,3.90625,4.817706,23,24,24,24,24,23,27,2904.001,2904.001,2904.001,2904.001,2904.001,2904.001,8.298439,4.952829,0,1.33166718,100.137962,36.4994164,5.80779648,10.104229,45,48,0,0,0,45,16,0,792,824,120,0.8,0.675,0.8,3,3,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10513,10513,2022-03-31 00:02:46-04:00,60.0,100,100,100,100,100,100,0.752000034,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1917.61365,2188.00659,2.34375,4.6875,7.03125,3.125,1.5625,0.0,3.125,24,24,24,24,24,24,26,2904.001,2904.001,2904.001,2904.001,2904.001,2904.001,8.000459,4.770388,0,1.27943134,100.13797,36.5316849,5.812931,10.0990944,46,48,0,0,0,46,16,0,790,866,117,0.775000036,0.85,0.8,4,4,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10514,10514,2022-03-31 00:02:47-04:00,60.0,100,100,100,100,100,100,0.688,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1931.33044,2184.466,3.90625,11.71875,2.34375,6.25,3.90625,4.6875,5.46875,23,24,23,24,23,23,27,3705.10425,2904.00073,2904.00073,3404.69043,2904.00073,2904.00073,7.76246357,4.486233,0,1.28905022,100.137955,36.513298,5.810005,10.10202,46,48,0,0,0,46,16,0,790,808,163,0.775000036,0.85,0.8,9,7,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10515,10515,2022-03-31 00:02:48-04:00,60.0,100,100,100,100,100,100,0.68,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1939.65515,2180.937,3.90625,5.46875,3.125,4.6875,1.5625,3.90625,3.77604365,23,25,24,24,24,23,27,3404.69043,2904.00073,2904.00073,3705.10425,2904.00073,2904.00073,7.65931654,4.37595129,0,1.27604961,100.137955,36.5508652,5.815983,10.0960426,46,48,0,0,0,46,16,0,791,880,106,0.775000036,0.85,0.8,4,3,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10516,10516,2022-03-31 00:02:49-04:00,60.0,100,100,100,100,100,100,0.832,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.5,28,25.5,15,23,25,1928.57141,2188.00659,10.15625,15.625,15.625,10.9375,11.71875,16.40625,13.4114561,24,25,24,24,24,24,27,2904.001,2904.001,2904.001,2904.001,2904.001,2904.001,17.5795345,14.2850819,0,1.67170715,100.137962,36.50764,5.809105,10.1029205,46,48,0,0,0,46,16,0,791,844,117,0.8,0.675,0.8,6,4,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10517,10517,2022-03-31 00:02:50-04:00,60.0,100,100,100,100,100,100,0.688,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1917.61365,2188.00659,2.34375,6.25,7.8125,3.125,3.90625,2.34375,4.296875,24,24,23,24,23,23,27,3404.69067,2904.00073,2904.00073,3705.10449,2904.00073,2904.00073,9.056449,5.744514,0,1.30780578,100.137955,36.5483475,5.81558228,10.0964432,46,48,0,0,0,46,16,0,790,808,155,0.775000036,0.85,0.8,9,7,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10518,10518,2022-03-31 00:02:51-04:00,60.0,100,100,100,100,100,100,0.688,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1928.57141,2184.466,13.8461533,11.5384579,10.0000019,4.615384,6.92307949,13.0769253,9.999996,34,25,29,25,24,24,29,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,15.4122076,12.2055969,0,1.5261097,100.137962,36.6714058,5.835163,10.0768623,47,48,0,0,0,47,16,0,790,872,143,0.775000036,0.85,0.8,9,4,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10519,10519,2022-03-31 00:02:52-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1939.65515,2180.937,3.174603,15.0793667,4.76190472,6.349206,3.96825075,0.793647766,5.687833,23,25,23,24,24,23,27,2904.001,2904.001,2904.001,2904.001,2904.001,2904.001,8.492873,5.39157867,0,1.291935,100.137962,36.56302,5.817917,10.0941086,46,48,0,0,0,46,16,0,790,784,202,0.775000036,0.85,0.8,10,7,0,99,2211.70654,81.51319,27,1.52884829,100,1223.39087,46.5730247,26,1.55734551
10520,10520,2022-03-31 00:02:53-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1939.65515,2180.937,0.0,13.28125,10.15625,5.46875,3.125,3.90625,5.989581,26,26,27,25,25,25,27,4005.51855,4005.51855,4005.51855,3104.27686,2904.001,2904.001,11.1078606,8.24262,0,1.48028839,100.137962,36.6428528,5.83062,10.0814056,46,48,0,0,0,46,16,0,789,706,198,0.775000036,0.85,0.8,14,10,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10521,10521,2022-03-31 00:02:54-04:00,60.0,100,100,100,100,100,100,0.68,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1925.82031,2184.466,3.125,12.5,3.125,3.125,2.34375,2.34375,4.427081,24,24,23,24,24,24,26,2904.00073,4005.51831,4105.65625,4005.51831,4005.51831,3705.10449,9.141657,6.26110554,0,1.380363,100.137955,36.7106476,5.841408,10.0706177,46,48,0,0,0,46,16,0,790,872,116,0.775000036,0.85,0.8,4,4,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10522,10522,2022-03-31 00:02:55-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1917.61365,2188.00659,4.6875,14.84375,3.90625,3.125,3.125,4.6875,5.729169,24,32,24,27,25,25,32,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,10.6783552,7.797607,0,1.44749737,100.13797,36.67584,5.835869,10.0761566,46,48,0,0,0,46,16,0,789,612,210,0.775000036,0.85,0.8,15,10,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10523,10523,2022-03-31 00:02:56-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1928.57141,2188.00659,2.34375,14.84375,5.46875,3.90625,3.125,2.34375,5.338544,24,25,25,24,23,24,26,3104.277,2904.001,2904.001,2904.001,2904.001,4005.5188,9.119601,6.24589729,0,1.37161291,100.13797,36.71981,5.842865,10.06916,46,48,0,0,0,46,17,0,789,818,235,0.775000036,0.675,0.8,10,3,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10524,10524,2022-03-31 00:02:57-04:00,60.0,100,100,100,100,100,100,0.68,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1939.65515,2188.00659,3.90625,11.71875,4.6875,10.15625,0.78125,3.125,5.729169,28,31,24,25,24,24,31,4005.518,4005.518,4005.518,4005.518,4005.518,4005.518,10.3708868,7.524927,0,1.42713606,100.137947,37.4886665,5.965206,9.946819,47,48,0,0,0,47,17,0,789,734,210,0.775000036,0.85,0.8,13,9,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10525,10525,2022-03-31 00:02:58-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1928.57141,2188.00659,7.8125,15.625,3.125,4.6875,3.125,1.5625,5.989581,23,25,23,24,24,23,26,2904.00073,2904.00073,2904.00073,2904.00073,2904.00073,2904.00073,9.59915,6.72972345,0,1.40591514,100.137955,36.8075752,5.8568306,10.0551949,46,48,0,0,0,46,16,0,790,820,138,0.775000036,0.85,0.8,4,4,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10526,10526,2022-03-31 00:02:59-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1914.89368,2184.466,1.53846145,10.0000019,10.0721121,6.92307949,0.7692337,2.30768919,5.268425,24,24,24,24,23,23,26,2904.00122,2904.00122,4005.519,4005.519,4005.519,4005.519,9.227375,6.40048742,0,1.37643659,100.13797,36.98476,5.885025,10.027,47,48,0,0,0,47,16,0,790,794,158,0.775000036,0.85,0.8,8,5,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10527,10527,2022-03-31 00:03:00-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.5,28,25.5,15,23,25,1928.57141,2180.937,3.94345522,15.8730145,5.555558,11.9047642,1.57489777,2.38095522,6.8721056,24,25,23,24,23,24,27,2904.001,2904.001,2904.001,2904.001,2904.001,2904.001,10.0622406,7.18082762,0,1.45355773,100.137962,36.920372,5.87477875,10.0372467,47,48,0,0,0,47,16,0,790,704,223,0.775000036,0.85,0.8,11,7,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10528,10528,2022-03-31 00:03:01-04:00,60.0,100,100,100,100,100,100,0.656,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.5,28,25.5,15,23,25,1939.65515,2180.937,4.6875,14.0625,7.8125,3.125,0.0,5.46875,5.859375,30,26,23,25,24,24,30,4105.65625,4005.51831,4005.51831,3204.41455,2904.00073,2904.00073,9.029201,6.06911,0,1.37398732,100.137955,36.992218,5.8862114,10.0258141,47,48,0,0,0,47,16,0,791,822,127,0.775000036,0.675,0.8,3,3,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10529,10529,2022-03-31 00:03:02-04:00,60.0,100,100,100,100,100,100,0.664000034,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1925.82031,2180.937,2.34375,15.625,5.46875,7.8125,3.125,3.125,6.25,27,25,24,25,25,24,27,3705.105,2904.00122,2904.00122,2904.00122,2904.00122,2904.00122,10.4895039,7.569565,0,1.43445683,100.13797,36.90771,5.87276459,10.0392609,46,48,0,0,0,46,16,0,791,828,125,0.775000036,0.675,0.8,3,3,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10530,10530,2022-03-31 00:03:03-04:00,60.0,100,100,100,100,100,100,0.736000061,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1917.61365,2180.937,3.125,14.0625,3.125,3.90625,0.78125,3.90625,4.817706,23,25,23,23,24,23,26,2904.00049,3705.104,2904.00049,2904.00049,2904.00049,2904.00049,9.06517,6.08155632,0,1.37932825,100.137947,37.0245361,5.89135361,10.0206718,46,48,0,0,0,46,16,0,790,782,201,0.775000036,0.85,0.8,11,7,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10531,10531,2022-03-31 00:03:04-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.5,28,25.5,15,23,25,1931.33044,2184.466,0.78125,17.1875,7.03125,3.90625,1.5625,6.25,6.119794,24,26,24,26,23,32,32,4005.519,4005.519,4005.519,4005.519,3705.10522,3104.27734,11.3459377,8.381569,0,1.46637392,100.137978,37.1734352,5.91504669,9.996979,46,48,0,0,0,46,16,0,791,816,140,0.775000036,0.85,0.8,5,4,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10532,10532,2022-03-31 00:03:05-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1939.65515,2180.937,11.71875,13.28125,14.0625,26.5625,13.28125,17.1875,16.015625,34,26,26,38,25,26,38,4005.518,4005.518,4005.518,4005.518,4005.518,4005.518,20.4403439,17.21831,0,1.55139363,100.137947,35.4322281,5.637985,10.27404,46,46,0,0,0,46,10,0,790,200,65,0.775000036,0.675,0.8,0,1,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
10533,10533,2022-03-31 00:03:06-04:00,62.7451,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,28,25.5,15,23,25,1925.82031,2188.00659,12.5,13.28125,13.28125,32.03125,5.46875,2.34375,13.1510439,26,30,35,27,26,25,35,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,20.2487965,15.1332426,0,1.33677351,100.137962,35.6272964,5.66902542,10.243,45,46,0,0,0,45,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,99,2211.712,81.51314,27,1.52884781,100,1223.39087,46.5730247,26,1.55734551
