,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5522,5522,2022-03-20 01:52:57-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1936.87231,2173.913,29.8620529,15.6716461,5.981457,6.75033951,5.97014427,11.2053394,12.5734987,35,26,24,25,24,24,35,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,19.3796387,15.845006,0,1.25697041,100.138016,38.2250175,6.08237457,9.829651,51,52,0,0,0,51,17,0,791,952,87,0.775000036,0.85,0.8,0,1,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5523,5523,2022-03-20 01:52:58-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1923.0769,2180.937,3.21300626,15.3225784,5.64516163,49.2063446,5.64516163,4.019457,13.8419571,25,34,24,38,25,26,38,4005.52319,4005.52319,4005.52319,4005.52319,4005.52319,4005.52319,20.3780518,17.3130913,0,1.40741849,100.138077,38.794323,6.172962,9.739063,51,52,0,0,0,51,16,0,790,668,128,0.775000036,0.675,0.8,2,3,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5524,5524,2022-03-20 01:52:59-04:00,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,27,25.5,15,23,25,1912.18127,2173.913,21.875,21.875,27.34375,24.21875,10.15625,27.34375,22.1354179,33,30,28,29,27,33,33,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,28.4222813,25.1361656,0,1.7488786,100.138031,37.4247551,5.955036,9.956989,50,50,0,0,0,50,11,0,790,200,51,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5525,5525,2022-03-20 01:53:00-04:00,60.7843132,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1912.18127,2173.913,32.8125,25.0,21.875,10.15625,7.03125,40.625,22.9166679,34,31,29,29,26,32,34,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,32.2806931,27.5711346,0,1.82280087,100.138031,38.2322845,6.08353043,9.828495,50,50,0,0,0,50,10,0,790,202,50,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5526,5526,2022-03-20 01:53:01-04:00,62.7451,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,27,25.5,15,23,25,1912.18127,2173.913,53.125,50.0,42.1875,28.125,27.34375,44.53125,40.8854179,36,33,31,32,31,34,36,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,47.30764,42.14986,0,2.53436732,100.138054,39.3304176,6.25826645,9.653759,50,50,0,0,0,50,11,0,790,200,57,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5527,5527,2022-03-20 01:53:02-04:00,65.8823547,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,27,25.5,15,23,25,1923.0769,2173.913,86.15385,86.15385,82.30769,86.92307,86.92307,85.38461,85.64103,42,40,43,42,40,40,43,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,66.14703,60.8063736,0,2.98811722,100.138023,43.0064964,6.8432045,9.068821,50,50,0,0,0,50,10,0,790,200,35,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5528,5528,2022-03-20 01:53:03-04:00,67.84314,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.0,27,25.5,15,23,25,1934.09741,2173.913,98.4375,98.4375,97.65625,98.4375,96.875,99.21875,98.17708,45,43,44,44,44,42,45,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,69.70957,64.33319,0,3.83245969,100.138023,46.18756,7.34937668,8.562649,50,50,0,0,0,50,21,0,787,200,623,0.8,0.675,0.8,60,1,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5529,5529,2022-03-20 01:53:04-04:00,67.84314,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.5,27,25.5,15,23,25,1920.34143,2173.913,96.875,99.21875,99.21875,99.21875,99.21875,100.0,98.95833,43,43,44,46,40,43,46,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,68.92224,64.9545746,0,3.92920637,100.138031,47.5590477,7.567608,8.344418,51,52,0,0,0,51,22,0,790,1168,338,0.775000036,0.85,0.8,11,4,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5530,5530,2022-03-20 01:53:05-04:00,66.6666641,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1909.47668,2173.913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44,42,44,46,42,44,46,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,68.2901,64.34159,0,4.312244,100.138039,47.769825,7.6011467,8.310879,52,54,0,0,0,52,18,0,790,908,140,0.775000036,0.85,0.8,6,3,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
5531,5531,2022-03-20 01:53:06-04:00,66.6666641,100,100,100,100,100,100,0.984,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.5,27,25.5,15,23,25,1923.0769,2173.913,99.21875,98.4375,99.21875,99.21875,98.4375,100.0,99.08855,42,41,45,46,41,44,46,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,4005.52368,68.9584045,64.9404449,0,4.33521461,100.138092,48.1948051,7.66877,8.243256,52,54,0,0,0,52,18,0,790,896,139,0.775000036,0.85,0.8,10,6,0,100,1112.26636,69.1098,25,1.519801,99,2047.75269,84.38055,27,1.5176115
