,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5481,5481,2022-03-20 01:52:16-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,27,25.5,15,23,25,1920.34143,2180.937,92.1875,96.09375,89.84375,96.09375,85.9375,94.53125,92.44792,46,45,46,46,41,44,46,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,70.49613,66.1239,0,4.170737,100.138031,48.1909943,7.6681633,8.243862,51,52,0,0,0,51,16,0,790,792,108,0.775000036,0.85,0.8,6,4,0,100,1112.26636,69.1098,26,1.51980114,99,2047.70862,84.3803558,26,1.51743543
5482,5482,2022-03-20 01:52:17-04:00,63.92157,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.3920002,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.5,27,25.5,15,23,25,1912.18127,2177.41943,83.59375,92.96875,89.84375,94.53125,83.59375,89.0625,88.9323,45,44,45,45,44,44,46,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,68.7443542,64.47436,0,3.899365,100.138054,48.1879,7.667671,8.244354,51,54,0,0,0,51,18,0,790,912,142,0.775000036,0.85,0.8,10,6,0,100,1112.26636,69.1098,26,1.51980114,99,2047.70862,84.3803558,26,1.51743543
5483,5483,2022-03-20 01:52:18-04:00,64.70589,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.5,27,25.5,15,23,25,1923.0769,2173.913,96.09375,98.4375,99.21875,98.4375,95.3125,96.875,97.39583,45,43,43,45,42,43,45,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,70.91388,66.65687,0,4.106914,100.138031,48.28533,7.683174,8.228851,51,52,0,0,0,51,18,0,790,802,227,0.775000036,0.85,0.8,11,15,0,100,1112.26636,69.1098,26,1.51980114,99,2047.70862,84.3803558,26,1.51743543
5484,5484,2022-03-20 01:52:19-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.5,27,25.5,15,23,25,1934.09741,2180.937,97.65625,99.21875,100.0,98.4375,97.65625,99.21875,98.69792,45,45,46,45,42,43,46,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,72.23815,66.19784,0,3.81642413,100.138008,48.3140259,7.68774033,8.224285,50,50,0,0,0,50,10,0,790,200,34,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980114,99,2047.70862,84.3803558,26,1.51743543
5485,5485,2022-03-20 01:52:20-04:00,64.70589,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.5,27,25.5,15,23,25,1923.0769,2173.913,100.0,100.0,100.0,100.0,99.21875,100.0,99.8698,45,45,45,46,42,42,46,4005.523,4005.523,4005.523,4005.523,4005.523,4005.523,71.57861,65.55312,0,3.95453525,100.138077,48.929863,7.78573227,8.126293,49,50,0,0,0,49,10,0,790,200,35,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980114,99,2047.70862,84.3803558,26,1.51743543
5486,5486,2022-03-20 01:52:21-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,28.0,27,25.5,15,23,25,1912.18127,2180.937,99.21875,98.4375,99.21875,98.4375,98.4375,99.21875,98.828125,45,45,46,46,45,44,46,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,72.29027,66.3608,0,3.75154877,100.138046,48.3570137,7.69458,8.217445,50,50,0,0,0,50,10,0,790,200,36,0.775000036,0.675,0.8,0,1,0,100,1112.26636,69.1098,26,1.51980114,99,2047.70862,84.3803558,26,1.51743543
5487,5487,2022-03-20 01:52:22-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,28.0,27,25.5,15,23,25,1912.18127,2177.41943,99.21875,99.21875,99.21875,96.875,98.4375,99.21875,98.69792,45,41,44,44,42,43,44,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,68.61522,64.40502,0,3.98344922,100.138031,50.22969,7.99256134,7.919464,50,52,0,0,0,50,11,0,788,258,112,0.8,0.675,0.8,3,4,0,100,1112.26636,69.1098,26,1.51980114,99,2047.70862,84.3803558,26,1.51743543
5488,5488,2022-03-20 01:52:23-04:00,64.70589,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.3920002,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,28.0,27,25.5,15,23,25,1923.0769,2180.937,98.4375,100.0,100.0,97.65625,100.0,100.0,99.34895,46,42,45,47,43,44,47,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,68.89251,65.11933,0,3.887372,100.138046,51.0183067,8.118046,7.79397964,51,52,0,0,0,51,15,0,790,806,116,0.775000036,0.85,0.8,2,3,0,100,1112.26636,69.1098,25,1.51980114,99,2047.72632,84.38172,26,1.51743388
5489,5489,2022-03-20 01:52:24-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.3920002,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,28.5,27,25.5,15,23,25,1923.0769,2180.937,100.0,100.0,100.0,100.0,99.21875,100.0,99.8698,44,42,46,46,43,45,46,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,69.67853,66.02474,0,3.76442385,100.138031,51.82574,8.246525,7.66550064,51,52,0,0,0,51,12,0,789,352,77,0.775000036,0.675,0.8,1,1,0,100,1112.26636,69.1098,25,1.51980114,99,2047.72632,84.38172,26,1.51743388
5490,5490,2022-03-20 01:52:25-04:00,64.70589,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,28.5,27,25.5,15,23,25,1923.0769,2180.937,50.7692261,53.0769234,56.1538467,71.53846,50.7692261,56.1538467,56.41025,26,27,25,36,26,27,36,4005.52222,4005.52222,4105.66,4005.52222,4005.52222,4005.52222,41.6306458,38.4355965,0,2.1644702,100.138054,51.33917,8.169102,7.74292374,50,52,0,0,0,50,12,0,789,256,118,0.775000036,0.675,0.8,2,4,0,100,1112.26636,69.1098,25,1.51980114,99,2047.72632,84.38172,26,1.51743388
