,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
9771,9771,2022-03-20 03:04:21-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1936.87231,2173.913,10.15625,27.34375,5.46875,5.46875,5.46875,5.46875,9.895831,25,24,23,24,23,23,25,4005.52173,3705.10767,2803.86523,1902.6228,4005.52173,4005.52173,14.2512541,11.2148418,0,1.33930671,100.138039,40.80576,6.493023,9.419003,43,46,0,0,0,43,13,0,790,452,194,0.775000036,0.85,0.8,7,5,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9772,9772,2022-03-20 03:04:22-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1923.0769,2173.913,11.71875,25.0,9.375,6.25,10.9375,9.375,12.109375,24,34,23,25,24,23,34,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,20.0638466,17.0475464,0,1.54506493,100.138046,41.7274971,6.6396904,9.272335,44,46,0,0,0,44,14,0,790,494,177,0.775000036,0.675,0.8,5,4,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9773,9773,2022-03-20 03:04:23-04:00,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1925.82031,2173.913,36.71875,43.75,19.53125,27.34375,25.78125,21.875,29.1666679,26,34,25,33,31,27,34,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,32.91418,29.2044811,0,2.08588982,100.138046,42.4183731,6.74962234,9.162403,43,46,0,0,0,43,18,0,791,818,213,0.775000036,0.85,0.8,10,9,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9774,9774,2022-03-20 03:04:24-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1914.89368,2173.913,24.21875,34.375,19.53125,20.3125,22.65625,24.21875,24.21875,35,34,33,36,31,33,36,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,33.75075,31.4327259,0,1.704549,100.138039,44.11631,7.01979828,8.892227,44,46,0,0,0,44,21,0,787,220,633,0.8,0.675,0.8,63,2,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9775,9775,2022-03-20 03:04:25-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1925.82031,2177.41943,36.71875,42.96875,29.6875,28.125,28.125,32.8125,33.0729179,32,34,29,31,30,28,34,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,36.02742,33.7487259,0,1.71806586,100.138054,45.7820969,7.2848587,8.627167,45,46,0,0,0,45,25,0,786,832,633,0.8,0.85,0.8,58,4,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9776,9776,2022-03-20 03:04:26-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1925.82031,2166.934,27.6923065,42.3076935,30.76923,27.6923065,23.0769215,24.6153831,29.3589764,31,30,35,31,29,28,34,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,34.6814461,32.4735069,0,1.69227612,100.138016,47.8350334,7.61152267,8.300503,45,46,0,0,0,45,26,0,787,992,633,0.8,0.675,0.8,56,1,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9777,9777,2022-03-20 03:04:27-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1934.09741,2180.937,31.5384636,42.3076935,33.8461533,30.76923,38.4615364,26.9230728,33.97436,32,30,31,30,29,35,35,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,38.0004234,35.7574959,0,1.83967268,100.138062,49.5018272,7.87674332,8.035282,44,46,0,0,0,44,21,0,786,258,633,0.8,0.675,0.8,63,1,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9778,9778,2022-03-20 03:04:28-04:00,60.0,100,100,100,100,100,100,0.872000039,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1923.0769,2177.41943,22.3076935,27.6923065,24.6153831,17.6923027,13.0769253,18.4615364,20.6410236,23,25,23,24,23,24,25,4005.52124,2904.003,4005.52124,4005.52124,4005.52124,4005.52124,24.7545033,22.26678,0,1.48366153,100.138031,50.2432365,7.99471664,7.917309,44,46,0,0,0,44,19,0,790,842,321,0.775000036,0.85,0.8,11,7,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9779,9779,2022-03-20 03:04:29-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,28,25.5,15,23,25,1923.0769,2173.913,18.75,28.125,9.375,9.375,4.6875,30.46875,16.796875,26,33,24,28,25,31,31,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,23.2627182,20.3808174,0,1.71848953,100.138046,51.49476,8.193859,7.71816635,44,48,0,0,0,44,18,0,791,1000,163,0.775000036,0.85,0.8,3,1,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
9780,9780,2022-03-20 03:04:30-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1912.18127,2180.937,14.0625,18.75,14.0625,11.71875,7.8125,46.875,18.8802071,28,29,26,30,27,34,34,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,25.2179184,22.6385956,0,1.72558951,100.138039,52.728302,8.390141,7.521885,45,46,0,0,0,45,25,0,788,1240,618,0.8,0.85,0.8,42,1,0,100,1112.28052,69.1098557,26,1.51979411,99,2049.3,84.37957,26,1.51798594
