,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
3339,3339,2022-03-20 01:16:09-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.0,28,25.5,15,23,25,1925.82031,2173.913,10.9375,12.4158621,18.75,9.375,6.25,5.46875,10.532856,29,26,26,27,25,26,29,4005.52124,4005.52124,4005.52124,4005.52124,3104.27881,2803.86475,17.0482483,13.495141,0,1.34304368,100.138031,31.1230087,4.952301,10.9597244,44,46,0,0,0,44,10,0,791,200,80,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3340,3340,2022-03-20 01:16:10-04:00,62.7451,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1925.82031,2166.934,1.5625,6.25,39.0625,1.5625,35.15625,9.375,15.4947939,25,27,32,31,27,26,32,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,24.2408257,19.4559288,0,1.18227732,100.138054,31.9172821,5.07868576,10.83334,44,46,0,0,0,44,10,0,791,202,36,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3341,3341,2022-03-20 01:16:11-04:00,61.9607849,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1923.0769,2177.41943,3.90625,41.40625,26.5625,19.53125,7.8125,9.375,18.0989571,31,32,24,25,24,25,32,4005.52148,4005.52148,4005.52148,4105.65967,4005.52148,4005.52148,25.14302,20.2095451,0,1.31702232,100.138039,32.1495819,5.11565,10.7963753,44,46,0,0,0,44,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3342,3342,2022-03-20 01:16:12-04:00,60.7843132,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1923.0769,2177.41943,9.138256,28.90625,2.34375,19.1280251,19.53125,36.9455643,19.3321877,24,25,32,24,32,25,33,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,25.5615673,20.71757,0,1.257101,100.138054,32.52955,5.17610931,10.7359161,44,46,0,0,0,44,14,0,791,602,85,0.775000036,0.675,0.8,1,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3343,3343,2022-03-20 01:16:13-04:00,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.960000038,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1912.18127,2177.41943,0.78125,21.09375,28.90625,0.78125,2.34375,46.9697,16.8126583,23,26,23,25,24,31,31,4005.52173,4005.52173,4005.52173,4005.52173,4105.65967,4105.65967,23.2517338,18.38803,0,1.25956714,100.138046,32.4891739,5.16968536,10.74234,44,46,0,0,0,44,10,0,791,200,36,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3344,3344,2022-03-20 01:16:14-04:00,60.7843132,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1928.57141,2173.913,7.03125,44.53125,8.59375,0.78125,0.78125,6.2379837,11.3261223,23,31,23,23,22,24,31,4105.65967,4005.52148,4005.52148,4005.52148,4105.65967,4005.52148,18.400938,13.6103029,0,1.17068779,100.138039,32.30503,5.14038467,10.7716408,44,46,0,0,0,44,10,0,791,200,34,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3345,3345,2022-03-20 01:16:15-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1934.09741,2184.466,0.0,10.9375,0.0,6.25,0.78125,47.65625,10.9375,24,25,23,32,24,32,32,4005.52222,4005.52222,4005.52222,4005.52222,4105.66,4105.66,19.5217571,14.7321806,0,1.28415668,100.138054,32.37767,5.151943,10.7600822,44,46,0,0,0,44,10,0,790,200,33,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3346,3346,2022-03-20 01:16:16-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.960000038,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1934.09741,2173.913,0.78125,2.36895084,9.375,0.0,0.78125,50.0,10.5510712,23,24,23,23,23,31,31,4005.52148,4005.52148,4105.65967,4005.52148,4105.65967,4005.52148,17.3990574,12.5981455,0,1.14594889,100.138039,32.4098969,5.15707,10.7549553,44,46,0,0,0,44,10,0,791,200,32,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3347,3347,2022-03-20 01:16:17-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1923.0769,2173.913,23.0889435,0.757575035,10.9375,0.0,0.0,27.34375,10.3546324,32,25,34,25,24,24,34,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,19.21382,14.5827885,0,1.25063181,100.138039,33.0113678,5.252777,10.6592484,44,46,0,0,0,44,10,0,791,202,48,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
3348,3348,2022-03-20 01:16:20-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,0.968000054,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,28,25.5,15,23,25,1912.18127,2177.41943,21.09375,35.9375,15.625,12.5,2.34375,32.03125,19.921875,32,33,24,26,23,34,34,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4105.65967,24.6876564,19.4354,0,1.25273263,100.138046,33.2669678,5.2934494,10.618576,44,46,0,0,0,44,10,0,790,202,34,0.775000036,0.675,0.8,0,1,0,100,1112.15247,69.1098,26,1.51984286,99,2047.01123,84.3805847,26,1.51714361
