,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
3299,3299,2022-03-20 01:15:28-04:00,60.0,100,100,100,100,100,100,1.008,1.0,3.37600017,3.37600017,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.008,26.5,28,26.0,15,23,25,1923.0769,2166.934,25.78125,22.65625,30.46875,27.34375,20.3125,34.375,26.8229179,27,27,26,27,26,26,27,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,29.247364,26.9031086,0,2.00731,100.138039,51.56632,8.205246,7.70677948,55,56,0,0,0,61,100,1560,1445,1734,877,0.8,0.85,0.91200006,69,33,41,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3300,3300,2022-03-20 01:15:29-04:00,60.0,100,100,100,100,100,100,0.984,1.0,3.3920002,3.37600017,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1931.33044,2166.934,31.25,28.90625,22.65625,31.25,28.90625,28.90625,28.6458321,29,31,30,29,28,29,31,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,31.5161514,28.9347172,0,2.18249655,100.138062,51.5113258,8.196495,7.7155304,55,58,0,0,0,64,133,1582,1738,1750,1266,0.9620001,0.85,0.91200006,99,48,41,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3301,3301,2022-03-20 01:15:30-04:00,60.0,100,100,100,100,100,100,0.992000043,1.0,3.3920002,3.37600017,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.008,26.5,28,26.0,15,23,25,1920.34143,2173.913,22.65625,35.9375,29.6875,45.3125,24.21875,32.03125,31.640625,32,28,28,29,26,31,32,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,30.2843742,27.8541088,0,2.19392347,100.138,51.5368538,8.200558,7.71146774,54,56,0,0,0,60,122,1613,1666,1746,1186,0.9620001,0.85,0.91200006,98,45,42,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3302,3302,2022-03-20 01:15:31-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1912.18127,2173.913,28.90625,39.0625,28.90625,36.71875,25.78125,35.9375,32.5520821,31,34,32,31,29,31,34,4005.523,4005.523,4005.523,4005.523,4005.523,4005.523,35.40375,31.8755436,0,2.14714217,100.138069,50.81072,8.085014,7.827011,50,52,0,0,0,54,89,1650,1504,1690,879,0.9620001,0.85,0.8,87,17,43,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3303,3303,2022-03-20 01:15:32-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,28,25.5,15,23,25,1914.89368,2177.41943,51.5625,42.96875,60.15625,56.25,35.15625,53.125,49.8697929,34,29,33,30,35,32,35,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,43.90668,39.8199539,0,2.322204,100.138031,52.9461746,8.4248085,7.487217,49,50,0,0,0,49,28,1665,1223,880,409,0.775000036,0.85,0.8,35,1,43,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3304,3304,2022-03-20 01:15:34-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,28,25.5,15,23,25,1925.82031,2180.937,10.9375,22.65625,30.46875,52.34375,25.0,26.5625,27.9947929,26,26,31,31,33,27,32,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,31.692337,27.7501373,0,1.79478836,100.138054,53.12648,8.453499,7.45852661,47,50,0,0,0,47,10,1654,790,202,61,0.775000036,0.675,0.8,1,1,43,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3305,3305,2022-03-20 01:15:34-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,0.968000054,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,28,25.5,15,23,25,1936.87231,2173.913,22.65625,25.78125,47.65625,35.15625,24.21875,29.6875,30.859375,29,28,32,36,30,34,34,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,34.364563,30.0842934,0,1.625423,100.138023,52.80017,8.401577,7.51044846,46,48,0,0,0,46,10,1635,790,200,40,0.775000036,0.675,0.8,0,1,43,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3306,3306,2022-03-20 01:15:35-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.3920002,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,28,26.0,15,23,25,1923.0769,2173.913,42.1875,42.96875,54.6875,49.21875,53.125,46.09375,48.046875,42,40,38,38,38,35,41,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,42.7478027,39.57093,0,2.8082962,100.138046,54.00396,8.593124,7.318901,51,52,0,0,0,54,93,1607,1642,1750,948,0.8,0.85,0.8,76,25,42,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3307,3307,2022-03-20 01:15:36-04:00,60.0,100,100,100,100,100,100,1.0,1.0,3.3920002,3.3920002,0.992000043,0.960000038,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.008,27.0,28,26.0,15,23,25,1912.18127,2173.913,57.03125,62.5,57.8125,61.71875,57.8125,66.40625,60.546875,36,35,36,35,35,36,37,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,46.966465,44.21685,0,3.49735832,100.138016,54.6844063,8.701397,7.21062851,53,56,0,0,0,59,106,1574,1693,1750,1263,0.9620001,0.85,0.91200006,86,33,41,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
3308,3308,2022-03-20 01:15:37-04:00,60.0,100,100,100,100,100,100,1.0,1.0,3.37600017,3.37600017,0.992000043,0.960000038,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.008,27.0,28,26.0,15,23,25,1912.18127,2173.913,64.61538,59.23077,56.9230728,66.92307,58.4615364,63.8461533,61.6666679,34,34,34,32,31,31,34,4005.523,4005.523,4005.523,4005.523,4005.523,4005.523,46.2235069,43.5706863,0,3.33468866,100.138069,54.5433731,8.678955,7.23307037,55,56,0,0,0,62,117,1541,1718,1750,1266,0.9620001,0.85,0.91200006,92,36,40,100,1112.13989,69.1098,26,1.51984835,99,2046.99854,84.38227,26,1.51714468
