,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
11807,2022-03-20 22:04:15,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1909.47668,2170.418,0.78125,3.125,9.375,2.34375,0.0,0.0,2.60416865,24,28,24,23,23,22,28,4005.51758,4005.51758,801.1035,801.1035,801.1035,1602.207,11.3680372,4.87309,0,1.20251441,100.137939,36.43052,5.796833,10.1151924,42,324.000031,405.000031,648.000061,1141,1,6,0,0,35,2048,334.9453,1713.05469,16.3547516,13.9590006,1.953125,0.0,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11808,2022-03-20 22:04:16,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1923.0769,2173.913,29.6875,28.90625,23.4375,24.21875,21.875,25.0,25.5208321,27,35,26,38,29,27,38,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,33.5822678,29.13186,0,1.76172566,100.137894,36.8395081,5.861912,10.0501137,43,1126.406,3505.50024,2252.812,1135,2,1,0,0,34,2048,327.0703,1720.92969,15.97023,28.3260021,3.90625,0.9765625,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11809,2022-03-20 22:04:17,68.62745,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1920.34143,2170.418,34.375,33.59375,21.875,33.59375,42.1875,27.34375,32.1614571,27,26,26,27,39,27,39,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,36.76356,34.510334,0,1.91156781,100.137909,36.9581528,5.88079071,10.0312347,43,1126.406,3505.50024,2252.812,1131,1,1,0,0,34,2048,335.4453,1712.55469,16.3791656,28.3260021,15.625,1.953125,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11810,2022-03-20 22:04:18,66.6666641,100,100,100,100,100,100,0.936000049,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2166.934,9.375,50.78125,7.8125,10.9375,20.3125,12.5,18.6197929,23,38,22,24,22,23,38,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,25.973259,23.7937946,0,1.51329029,100.137894,36.9675026,5.88227844,10.029747,43,1126.406,3505.50024,2252.812,1129,1,1,0,0,34,2048,335.3203,1712.67969,16.3730621,28.426,0.0,0.0,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11811,2022-03-20 22:04:19,66.6666641,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1931.33044,2173.913,17.96875,20.3125,25.78125,19.53125,4.6875,0.0,14.7135439,24,34,30,25,23,23,34,4005.51636,4105.6543,4005.51636,4105.6543,4005.51636,4005.51636,21.3846626,19.21955,0,1.367209,100.137909,37.0696335,5.898529,10.0134964,43,911.250061,3004.6792,1822.50012,1130,0,1,0,0,34,2048,335.3203,1712.67969,16.3730621,25.8850021,0.0,0.0,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11812,2022-03-20 22:04:20,62.7451,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1931.33044,2166.934,18.75,29.6875,2.34375,5.46875,7.03125,11.71875,12.5,37,33,23,32,24,23,37,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,17.8074226,15.6529007,0,1.28372014,100.137909,37.9547119,6.039364,9.872662,43,911.250061,3004.6792,1822.50012,1131,0,1,0,0,34,2048,335.3203,1712.67969,16.3730621,25.8850021,0.0,0.0,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11813,2022-03-20 22:04:21,60.7843132,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1931.33044,2173.913,20.3125,35.9375,12.5,14.84375,2.34375,0.0,14.3229189,25,32,28,32,33,24,33,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,21.5032749,19.1434021,0,2.005552,100.137878,37.64804,5.99056625,9.921459,43,683.437561,810.000061,1366.87512,1129,1,3,0,0,34,2048,335.3203,1712.67969,16.3730621,23.419,0.0,0.0,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11814,2022-03-20 22:04:22,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1920.34143,2173.913,10.9375,46.09375,21.875,43.75,0.0,0.0,20.4427071,28,26,34,32,24,24,34,4005.51685,4105.655,4005.51685,4105.655,4005.51685,4005.51685,28.2540016,21.7416916,0,1.42248166,100.137924,37.6939545,5.9978714,9.914154,42,683.437561,810.000061,1366.87512,1131,0,3,0,0,34,2048,335.3203,1712.67969,16.3730621,14.8980007,0.0,0.0,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11815,2022-03-20 22:04:23,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1906.77966,2166.934,11.71875,42.1875,38.28125,20.3125,3.125,0.0,19.2708321,24,29,32,24,29,24,32,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,26.3599682,19.8598557,0,1.42947149,100.1379,37.44218,5.95780945,9.954216,42,683.437561,810.000061,1366.87512,1130,0,3,0,0,34,2048,335.3203,1712.67969,16.3730621,14.8980007,15.625,0.0,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
11816,2022-03-20 22:04:24,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1920.34143,2166.934,18.75,50.78125,25.0,24.21875,10.15625,4.6875,22.265625,33,30,25,25,34,29,34,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,30.301651,23.7565842,0,1.692788,100.137886,38.0075531,6.04777145,9.864254,41,405.000031,405.000031,810.000061,1129,2,6,0,0,34,2048,333.9453,1714.05469,16.3059235,13.7570009,0.0,0.0,100,1112.59924,69.10987,24,1.5196681,99,2091.6123,81.91423,25,1.52356911
