,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
12362,12362,2022-03-20 22:13:37-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.37600017,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1931.33044,2166.934,11.71875,8.59375,0.78125,3.90625,1.5625,1.5625,4.6875,21,21,20,20,20,21,24,2303.17163,1101.51685,801.103149,801.103149,801.103149,4005.51563,11.9482555,5.467886,0,1.195257,100.137894,36.1487045,5.75199127,10.1600342,41,135.0,405.000031,270.0,1130,0,5,0,0,34,2048,183.402344,1864.59766,8.955193,13.477,15.625,1.953125,100,1112.59985,69.10987,24,1.519668,99,2091.87866,81.91306,25,1.52355182
12363,12363,2022-03-20 22:13:38-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1914.89368,2166.934,3.90625,5.46875,2.34375,37.5,0.0,2.34375,8.59375,22,28,20,30,22,23,30,4005.5166,4105.6543,4005.5166,4005.5166,4105.6543,4105.6543,19.2705059,12.82075,0,1.28501713,100.137909,36.47319,5.803623,10.1084023,41,135.0,405.000031,270.0,1126,3,7,0,1,34,2048,183.402344,1864.59766,8.955193,13.5650005,0.0,0.0,100,1112.59985,69.10987,24,1.519668,99,2091.87866,81.91306,25,1.52355182
12364,12364,2022-03-20 22:13:39-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1909.47668,2166.934,13.28125,14.0625,35.15625,7.03125,0.78125,0.0,11.71875,31,24,23,23,22,23,31,4005.51587,4005.51587,4105.654,4105.654,4105.654,4005.51587,21.0031681,14.4666357,0,1.39816058,100.137894,36.8672447,5.86632538,10.0457,41,135.0,405.000031,270.0,1125,0,5,0,0,34,2048,183.402344,1864.59766,8.955193,13.574,15.625,444.335938,100,1112.59985,69.10987,24,1.519668,99,2091.87866,81.91306,25,1.52355182
12365,12365,2022-03-20 22:13:40-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1906.77966,2173.913,19.53125,14.84375,10.15625,0.0,14.84375,0.78125,10.0260439,23,31,22,22,21,22,31,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4105.6543,19.56525,13.079813,0,1.317247,100.137909,37.1247444,5.907299,10.0047264,41,135.0,405.000031,270.0,1123,0,5,0,0,34,2048,183.402344,1864.59766,8.955193,13.3720007,0.0,0.0,100,1112.59985,69.10987,24,1.519668,99,2091.87866,81.91306,25,1.52355182
12366,12366,2022-03-20 22:13:41-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1906.77966,2170.418,18.75,11.71875,8.59375,1.5625,6.25,10.15625,9.505206,22,22,21,21,21,21,23,3504.82617,3204.41235,2903.99878,4105.65332,4105.65332,3805.23975,17.9776745,11.4339037,0,1.421159,100.137886,37.4644279,5.96134949,9.950676,41,135.0,405.000031,270.0,1122,3,6,0,1,34,2048,183.402344,1864.59766,8.955193,13.477,15.625,444.335938,100,1112.59985,69.10987,24,1.519668,99,2091.87866,81.91306,25,1.52355182
12367,12367,2022-03-20 22:13:42-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1909.47668,2173.913,22.65625,21.875,21.875,27.34375,18.75,17.1875,21.6145821,33,30,33,32,37,29,37,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,28.67571,23.609108,0,1.78589094,100.137894,38.1563568,6.07144928,9.840576,41,1126.406,3505.50024,2252.812,1117,2,1,0,0,34,2048,351.7461,1696.25391,17.1751022,28.242,0.0,444.335938,100,1112.59985,69.10987,24,1.519668,99,2091.87866,81.91306,25,1.52355182
12368,12368,2022-03-20 22:13:43-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,24.21875,34.375,13.28125,25.0,17.1875,29.6875,23.9583321,34,26,29,24,23,24,34,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,24.957859,22.7215443,0,1.718227,100.137924,39.0891762,6.219879,9.692146,42,1126.406,3505.50024,2252.812,1112,1,1,0,0,34,2048,511.800781,1536.19922,24.9902725,28.714,15.625,0.9765625,100,1112.59985,69.10987,24,1.519668,99,2091.87866,81.91306,25,1.52355182
12369,12369,2022-03-20 22:13:44-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1920.34143,2170.418,23.4375,19.53125,17.1875,16.40625,9.375,4.6875,15.1041689,32,25,23,25,26,24,31,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,20.5654221,18.360323,0,1.64199746,100.137886,40.3913269,6.42707825,9.484947,42,1126.406,3505.50024,2252.812,1109,0,1,0,0,34,2048,556.0508,1491.94922,27.1509171,28.8090019,2.9296875,41.015625,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12370,12370,2022-03-20 22:13:45-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1923.0769,2166.934,10.15625,42.1875,10.15625,7.03125,6.25,3.90625,13.28125,32,25,23,24,31,24,33,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,19.1315441,16.9423752,0,1.50123072,100.137894,41.31048,6.57333374,9.338692,42,911.250061,3004.6792,1822.50012,1109,1,1,0,1,34,2048,556.0508,1491.94922,27.1509171,26.2570019,1.953125,41.015625,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12371,12371,2022-03-20 22:13:46-04:00,60.0,100,100,100,100,100,100,0.936000049,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,14.0625,27.34375,14.84375,5.46875,2.34375,10.15625,12.3697939,23,25,35,23,23,23,35,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,18.0529537,15.8903008,0,1.34481931,100.1379,40.8037453,6.49270248,9.419323,42,911.250061,3004.6792,1822.50012,1107,0,1,0,0,34,2048,556.0508,1491.94922,27.1509171,26.2570019,1.953125,81.05469,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
