,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
12388,2022-03-20 22:14:03,60.0,100,100,100,100,100,100,0.808,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1904.09021,2170.418,14.6153812,7.69230747,3.8461566,10.0000019,1.53846145,7.69230747,7.56411,25,23,22,23,23,23,26,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,15.0903034,12.87524,0,1.63006413,100.137886,44.0408173,7.007786,8.90424,52,1252.96851,3505.50024,2505.937,1087,70,27,0,1,33,2048,776.1836,1271.81641,37.89959,78.236,286.1328,31.25,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12389,2022-03-20 22:14:04,60.0,100,100,100,100,100,100,0.880000055,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1906.77966,2170.418,10.9375,14.0625,2.34375,8.59375,2.34375,1.5625,6.640625,23,29,23,22,22,23,29,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,14.12915,11.9228458,0,1.56311977,100.1379,44.1835556,7.0304985,8.881527,52,1252.96851,3505.50024,2505.937,1086,72,27,0,1,33,2048,784.6836,1263.31641,38.31463,81.1990051,279.296875,30.2734375,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12390,2022-03-20 22:14:05,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1906.77966,2170.418,21.875,23.4375,12.5,12.5,10.15625,8.59375,14.84375,29,30,34,33,37,35,37,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,22.43612,20.2383118,0,1.79735351,100.1379,44.1566353,7.0262146,8.885811,47,1252.96851,3505.50024,2505.937,1093,5,2,0,1,33,2048,763.6328,1284.36719,37.28676,33.998,3.90625,37.109375,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12391,2022-03-20 22:14:06,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1920.34143,2173.913,30.46875,21.09375,11.71875,10.15625,7.03125,6.25,14.453125,23,23,22,22,21,23,24,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,17.5352325,15.3063622,0,1.4336648,100.1379,44.1663437,7.02775955,8.884266,46,1252.96851,3505.50024,2505.937,1098,0,1,0,0,33,2048,784.46875,1263.53125,38.30414,33.637,0.0,81.05469,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12392,2022-03-20 22:14:07,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1920.34143,2170.418,34.375,28.125,25.0,30.46875,29.6875,18.75,27.734375,36,33,36,38,35,33,39,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,34.3659821,32.09553,0,1.93035877,100.137886,44.5352,7.08645248,8.825573,45,1252.96851,3505.50024,2505.937,1099,6,2,0,1,33,2048,797.59375,1250.40625,38.9450073,33.7100029,2.9296875,0.0,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12393,2022-03-20 22:14:08,62.7451,100,100,100,100,100,100,1.016,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1917.61365,2166.934,43.75,39.0625,25.0,38.28125,37.5,31.25,35.8072929,30,26,25,25,31,25,31,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,34.03118,31.644804,0,2.25564575,100.1379,45.56372,7.25011063,8.661915,45,1252.96851,3505.50024,2505.937,1098,11,2,0,4,33,2048,1126.59375,921.40625,55.00946,33.823,4.8828125,110.351563,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12394,2022-03-20 22:14:09,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1931.33044,2173.913,43.75,17.96875,7.8125,19.53125,32.8125,10.15625,22.0052071,30,26,25,32,30,25,30,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,28.8122234,26.408989,0,2.36519217,100.137924,46.4131279,7.385269,8.526756,45,1252.96851,3505.50024,2505.937,1096,9,2,0,3,33,2048,1477.71875,570.28125,72.1542358,33.629,3.90625,62.5,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12395,2022-03-20 22:14:10,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1917.61365,2166.934,41.40625,25.78125,21.09375,25.78125,35.9375,14.84375,27.4739571,30,26,25,25,25,25,30,4005.51538,4005.51538,4005.51538,4005.51538,4005.51538,4005.51538,30.3625412,28.0056419,0,2.24709582,100.137886,47.3967934,7.54179,8.370235,45,1252.96851,3505.50024,2505.937,1096,6,1,0,2,33,2048,1719.46875,328.53125,83.9584351,33.533,454.101563,0.0,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12396,2022-03-20 22:14:11,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1906.77966,2166.934,41.53846,18.4615364,16.2019253,16.3100967,25.4326935,13.0769253,21.8369427,36,26,27,25,26,25,36,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,28.7990456,26.476656,0,2.061592,100.137894,48.5915,7.73189163,8.180134,44,1252.96851,3505.50024,2505.937,1094,3,1,0,1,33,2048,1886.46875,161.53125,92.11273,33.445,1.953125,0.0,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12397,2022-03-20 22:14:12,60.0,100,100,100,100,100,100,0.936000049,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1906.77966,2170.418,14.2857132,20.63492,14.2237072,14.9801617,14.1989117,13.49206,15.3025808,23,24,22,22,22,23,25,4005.51685,4005.51685,3705.103,4005.51685,3705.103,4005.51685,20.1712036,17.9287071,0,1.73167622,100.137917,48.698925,7.74898529,8.16304,47,1252.96851,3505.50024,2505.937,1092,24,15,0,0,33,2048,1913.34375,134.65625,93.42499,56.4750023,28.3203125,45.8984375,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
12398,2022-03-20 22:14:13,60.0,100,100,100,100,100,100,0.91200006,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1904.09021,2170.418,12.5,11.71875,1.5625,7.8125,0.78125,0.78125,5.859375,23,24,22,22,21,22,24,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,16.7333889,14.5442228,0,1.55350626,100.1379,48.8583755,7.774357,8.137669,52,1252.96851,3505.50024,2505.937,1083,88,45,0,0,33,2048,1913.34375,134.65625,93.42499,90.579,31.25,45.8984375,100,1112.6,69.10987,24,1.51966786,99,2091.88428,81.9132843,25,1.52355075
