,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
12677,12677,2022-03-20 22:18:53-04:00,60.0,100,100,100,100,100,100,0.872000039,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1928.57141,2170.418,9.375,12.5,6.25,7.03125,1.5625,1.5625,6.380206,25,24,22,22,23,23,25,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,15.7900925,13.55646,0,1.70062137,100.137894,44.08006,7.01403046,8.897995,51,1252.96851,3505.50024,2505.937,1086,70,27,0,1,33,2048,768.9922,1279.00781,37.5484467,77.1150055,199.21875,16.6015625,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12678,12678,2022-03-20 22:18:54-04:00,60.0,100,100,100,100,100,100,0.904000044,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1928.57141,2170.418,9.230768,5.384612,2.30768919,6.153846,3.8461566,1.53846145,4.743594,23,23,21,22,23,22,24,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,13.6713,11.4749365,0,1.53211284,100.137909,44.1181755,7.020096,8.89193,52,1252.96851,3505.50024,2505.937,1086,74,28,0,1,33,2048,768.9922,1279.00781,37.5484467,81.036,255.859375,32.2265625,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12679,12679,2022-03-20 22:18:55-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1928.57141,2166.934,21.09375,13.28125,8.59375,8.59375,3.125,3.90625,9.765625,27,25,24,23,23,24,27,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,17.4982281,15.2812929,0,1.74000144,100.1379,44.2814178,7.04607,8.865955,48,1252.96851,3505.50024,2505.937,1088,9,3,0,2,33,2048,724.1953,1323.80469,35.3611,34.682003,0.0,6.8359375,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12680,12680,2022-03-20 22:18:56-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1928.57141,2173.913,34.375,18.75,17.1875,15.625,15.625,17.1875,19.7916679,24,24,23,23,23,23,26,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,25.19537,22.9352589,0,1.712834,100.137894,44.5183945,7.08377838,8.828247,46,1252.96851,3505.50024,2505.937,1096,0,1,0,0,33,2048,801.15625,1246.84375,39.1189575,33.6490021,0.9765625,40.0390625,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12681,12681,2022-03-20 22:18:57-04:00,60.0,100,100,100,100,100,100,0.928000033,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1917.61365,2170.418,38.28125,39.84375,28.90625,22.65625,29.6875,28.125,31.25,30,28,29,30,32,29,32,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,32.8025932,30.5738544,0,1.71715176,100.1379,44.7354774,7.11832047,8.793705,45,1252.96851,3505.50024,2505.937,1099,2,1,0,0,33,2048,785.03125,1262.96875,38.331604,33.6410027,3.90625,68.359375,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12682,12682,2022-03-20 22:18:58-04:00,62.7451,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1906.77966,2170.418,50.7692261,46.9230766,39.2307625,47.6923065,42.3076935,32.30769,43.2051239,37,30,27,28,33,26,33,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,39.9504776,37.5616226,0,2.3167026,100.137909,45.8115845,7.289551,8.622475,45,1252.96851,3505.50024,2505.937,1100,7,2,0,2,33,2048,1010.28125,1037.71875,49.33014,33.629,1.953125,205.078125,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12683,12683,2022-03-20 22:18:59-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1906.77966,2166.934,30.76923,15.3846149,13.0769253,20.7692261,33.8461533,13.8461533,21.2820587,31,26,25,26,31,24,31,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,26.915596,24.54793,0,2.24784422,100.137894,46.6346474,7.420517,8.49150848,45,1252.96851,3505.50024,2505.937,1100,9,2,0,3,33,2048,1410.65625,637.34375,68.8797,33.823,3.90625,104.492188,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12684,12684,2022-03-20 22:19:00-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1909.47668,2166.934,42.1875,17.96875,14.0625,24.21875,28.90625,14.0625,23.5677071,32,26,25,35,31,26,35,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,29.67988,27.258955,0,2.41770864,100.137894,47.5486221,7.56594849,8.346077,45,1252.96851,3505.50024,2505.937,1098,9,2,0,2,33,2048,1699.90625,348.09375,83.0032349,33.6270027,340.8203,77.14844,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12685,12685,2022-03-20 22:19:01-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1906.77966,2170.418,41.40625,25.78125,21.09375,33.59375,38.28125,22.65625,30.46875,29,29,26,27,27,26,29,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,31.2828484,28.9409981,0,2.20246983,100.1379,48.6455841,7.74049759,8.171528,44,1252.96851,3505.50024,2505.937,1096,3,1,0,1,33,2048,1922.90625,125.09375,93.89191,33.457,2.9296875,0.0,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12686,12686,2022-03-20 22:19:02-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1920.34143,2173.913,23.4375,22.65625,14.84375,19.53125,13.28125,7.03125,16.796875,25,26,29,30,25,33,33,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,24.0682621,21.81329,0,1.80636966,100.137909,49.4658661,7.87102127,8.041004,45,1252.96851,3505.50024,2505.937,1093,25,13,0,1,33,2048,1977.65625,70.34375,96.56525,46.664,11.71875,41.9921875,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12687,12687,2022-03-20 22:19:03-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1928.57141,2170.418,10.15625,12.5,15.625,10.9375,3.125,3.90625,9.375,27,24,24,23,23,24,27,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,17.0430965,14.81902,0,1.636479,100.137894,49.38927,7.85883331,8.053192,51,1252.96851,3505.50024,2505.937,1085,91,44,0,0,33,2048,1977.65625,70.34375,96.56525,91.025,35.15625,5.859375,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12688,12688,2022-03-20 22:19:04-04:00,60.0,100,100,100,100,100,100,0.896,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1928.57141,2170.418,7.03125,10.15625,2.34375,7.8125,2.34375,2.34375,5.338544,25,24,22,23,22,23,25,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,16.0816135,13.8893747,0,1.52636087,100.1379,49.42844,7.86506653,8.046959,51,1252.96851,3505.50024,2505.937,1082,63,34,0,0,33,2048,1969.15625,78.84375,96.15021,69.2290039,35.15625,5.859375,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
12689,12689,2022-03-20 22:19:05-04:00,60.0,100,100,100,100,100,100,0.832,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1928.57141,2166.934,8.59375,11.71875,10.9375,7.03125,2.34375,0.78125,6.901044,26,27,22,24,22,23,27,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,17.73135,15.5152159,0,1.67883813,100.1379,49.4714,7.87190247,8.040123,51,1252.96851,3505.50024,2505.937,1081,63,34,0,0,33,2048,1977.65625,70.34375,96.56525,71.306,33.203125,5.859375,100,1112.6001,69.10987,24,1.51966774,99,2091.968,81.91232,25,1.5235436
