,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5618,2022-03-20 20:19:44,60.0,100,100,100,100,100,100,0.896,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1909.47668,2173.913,9.375,14.84375,12.5,13.28125,5.46875,14.0625,11.5885439,23,24,22,26,22,32,33,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,16.8180466,14.6385517,0,1.46873248,100.1379,36.41431,5.7942543,10.1177711,42,911.250061,3004.6792,1822.50012,1000,0,1,0,0,30,2048,445.160156,1602.83984,21.7363358,25.8850021,73.24219,0.0,100,1112.45215,69.10987,26,1.51972008,99,2089.50684,81.90378,25,1.523463
5619,2022-03-20 20:19:45,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1917.61365,2166.934,15.625,5.46875,5.46875,2.34375,0.0,3.125,5.338544,21,21,20,20,21,21,23,3805.23853,3504.825,2603.58423,1702.34351,4005.51416,3404.687,8.299129,6.177377,0,1.16005349,100.137856,36.5940628,5.822857,10.0891685,42,1126.406,3505.50024,2252.812,1001,1,1,0,0,30,2048,446.289063,1601.71094,21.7914581,28.165,0.9765625,0.0,100,1112.45215,69.10987,26,1.51972008,99,2089.50684,81.90378,25,1.523463
5620,2022-03-20 20:19:46,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1928.57141,2166.934,3.125,3.90625,0.0,0.78125,0.0,0.78125,1.43229365,21,21,19,20,20,21,24,801.1032,801.1032,4005.51587,4005.51587,3504.82642,2603.58545,4.298029,2.18579459,0,1.06820166,100.1379,36.549736,5.81580353,10.0962219,42,1126.406,3505.50024,2252.812,1001,0,1,0,0,30,2048,446.289063,1601.71094,21.7914581,28.2610016,0.0,0.0,100,1112.45215,69.10987,26,1.51972008,99,2089.50684,81.90378,25,1.523463
5621,2022-03-20 20:19:47,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1917.61365,2166.934,20.3125,3.125,4.6875,1.5625,2.34375,3.125,5.859375,34,25,23,23,23,23,34,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,12.9172306,10.8026934,0,1.20195675,100.137947,36.75512,5.848484,10.0635414,42,1126.406,3505.50024,2252.812,1001,0,1,0,0,30,2048,446.289063,1601.71094,21.7914581,28.2610016,0.9765625,0.0,100,1112.45251,69.10987,25,1.51971972,99,2089.52539,81.90254,25,1.52346122
5622,2022-03-20 20:19:48,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2166.934,20.3125,7.03125,10.9375,2.34375,10.15625,4.6875,9.244794,35,24,22,23,22,23,35,4005.5166,4005.5166,4005.5166,4005.5166,4005.5166,4105.6543,15.5106449,13.3915281,0,1.18125582,100.137917,37.0736847,5.89917374,10.0128517,42,1126.406,3505.50024,2252.812,1000,0,1,0,0,30,2048,446.164063,1601.83594,21.7853546,28.249,0.0,0.0,100,1112.45251,69.10987,25,1.51971972,99,2089.52539,81.90254,25,1.52346122
5623,2022-03-20 20:19:49,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,19.53125,1.5625,7.8125,2.34375,7.03125,3.90625,7.03125,25,25,23,29,24,24,29,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,17.17507,15.0385408,0,1.36872721,100.137894,37.0432854,5.8943367,10.0176888,42,1126.406,3505.50024,2252.812,1000,3,1,0,0,30,2048,446.476563,1601.52344,21.8006134,28.426,30.2734375,0.9765625,100,1112.45251,69.10987,25,1.51971972,99,2089.52539,81.90254,25,1.52346122
5624,2022-03-20 20:19:50,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1909.47668,2173.913,7.8125,2.34375,5.46875,3.125,3.90625,3.90625,4.427081,23,24,22,23,22,24,24,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,15.5207758,13.3935919,0,1.18349481,100.137917,37.0674,5.89817429,10.0138512,42,1126.406,3505.50024,2252.812,999,0,1,0,0,30,2048,446.164063,1601.83594,21.7853546,28.1390018,0.0,0.0,100,1112.45251,69.10987,25,1.51971972,99,2089.52539,81.90254,25,1.52346122
5625,2022-03-20 20:19:51,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1906.77966,2166.934,2.34375,0.78125,1.5625,0.78125,0.0,2.34375,1.30208135,23,23,21,22,22,23,24,4005.51563,4005.51563,3504.82617,2603.58521,4105.654,4005.51563,13.6288671,11.5149422,0,1.14817572,100.137894,36.8425026,5.86238861,10.0496368,42,1126.406,3505.50024,2252.812,999,0,1,0,0,30,2048,446.164063,1601.83594,21.7853546,28.1530018,0.9765625,0.0,100,1112.45251,69.10987,25,1.51971972,99,2089.52539,81.90254,25,1.52346122
5626,2022-03-20 20:19:52,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1906.77966,2166.934,36.71875,35.9375,33.59375,32.8125,40.625,37.5,36.1979179,41,37,38,40,39,36,41,4005.514,4005.514,4005.514,4005.514,4005.514,4005.514,38.91559,36.6381035,0,2.08565712,100.137848,39.0888138,6.219822,9.69220352,42,1126.406,3505.50024,2252.812,999,2,1,0,0,30,2048,595.710938,1452.28906,29.0874481,28.599,18.5546875,2.9296875,100,1112.45251,69.10987,25,1.51971972,99,2089.52539,81.90254,25,1.52346122
5627,2022-03-20 20:19:53,60.7843132,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1909.47668,2177.41943,34.375,35.15625,18.75,19.53125,22.65625,23.4375,25.6510429,26,26,25,25,32,25,32,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,24.9985332,22.7908287,0,1.50478041,100.137947,39.771225,6.32840729,9.583618,42,1126.406,3505.50024,2252.812,1000,0,1,0,0,30,2048,694.398438,1353.60156,33.9061737,28.5220013,0.0,0.0,100,1112.45251,69.10987,25,1.51971972,99,2089.52539,81.90254,25,1.52346122
