,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
335,335,2022-03-20 18:51:18-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.42400026,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,0.0,0.78125,0.0,0.0,0.0,0.0,0.130206347,21,20,20,20,20,21,23,801.1028,801.1028,801.1028,3805.238,2903.99756,2002.757,7.71411037,1.25159848,0,1.04140127,100.137848,26.399498,4.200695,11.71133,36,270.0,405.000031,540.0,1003,0,5,0,0,30,2048,602.582031,1445.418,29.42295,13.567,15.625,0.0,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
336,336,2022-03-20 18:51:18-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.42400026,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1909.47668,2166.934,24.21875,14.84375,6.25,8.59375,3.90625,10.9375,11.4583311,37,25,24,24,22,23,37,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,23.67921,17.15839,0,1.36157262,100.137947,26.7533722,4.257004,11.6550217,35,135.0,405.000031,270.0,1001,6,6,0,0,30,2048,604.082031,1443.918,29.4961929,13.3720007,8.7890625,0.9765625,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
337,337,2022-03-20 18:51:19-04:00,66.6666641,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1923.0769,2166.934,50.0,9.375,11.71875,4.6875,1.5625,3.90625,13.5416689,38,25,33,25,22,23,38,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,27.3742962,20.8559246,0,1.41574287,100.1379,27.4800186,4.37262726,11.5393982,35,135.0,405.000031,270.0,1001,9,8,0,1,30,2048,604.082031,1443.918,29.4961929,13.468,11.71875,0.9765625,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
338,338,2022-03-20 18:51:21-04:00,66.6666641,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.42400026,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1920.34143,2166.934,28.125,21.875,11.71875,1.5625,2.34375,14.84375,13.4114561,22,23,22,24,22,33,33,4105.655,4005.5166,4005.5166,4005.5166,4005.5166,4005.5166,23.2008438,16.6708088,0,1.30181229,100.137917,26.8919449,4.27905273,11.6329727,35,135.0,405.000031,270.0,1001,0,5,0,0,30,2048,603.957031,1444.043,29.49009,13.3720007,0.0,0.0,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
339,339,2022-03-20 18:51:21-04:00,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1931.33044,2166.934,1.5625,4.6875,0.0,0.78125,4.6875,50.0,10.2864561,25,23,23,24,27,25,27,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,20.1388969,13.6402922,0,1.22633982,100.1379,27.1014481,4.31238937,11.5996361,35,135.0,405.000031,270.0,1002,0,6,0,0,30,2048,603.957031,1444.043,29.49009,13.5650005,0.0,0.0,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
340,340,2022-03-20 18:51:24-04:00,60.7843132,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,1.0,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2177.41943,10.9375,44.53125,10.15625,7.8125,3.90625,1.5625,13.1510439,23,29,22,23,22,23,29,4005.51563,4005.51563,4005.51563,4005.51563,4105.654,4005.51563,25.7784081,19.1975346,0,1.54077065,100.137894,27.23333,4.333374,11.5786514,35,135.0,405.000031,270.0,1000,0,6,0,0,30,2048,603.957031,1444.043,29.49009,13.3720007,0.0,444.335938,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
341,341,2022-03-20 18:51:25-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1909.47668,2177.41943,8.40336,37.8151245,22.6890736,27.31092,14.7058849,0.8403361,18.6274529,26,36,34,30,23,31,31,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,28.20938,21.6929855,0,1.39307988,100.1379,27.2742,4.339878,11.5721474,35,135.0,405.000031,270.0,999,3,7,0,1,30,2048,603.957031,1444.043,29.49009,13.468,0.0,0.0,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
342,342,2022-03-20 18:51:26-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2170.418,50.0,0.0,0.0,50.0,0.0,0.0,16.6666679,36,24,23,29,22,28,36,4105.654,4005.51563,4005.51563,4005.51563,4105.654,4005.51563,26.6334476,20.1777153,0,1.43038225,100.137894,27.7019424,4.40794,11.5040855,35,135.0,405.000031,270.0,999,1,6,0,0,30,2048,603.957031,1444.043,29.49009,13.468,0.0,0.0,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
343,343,2022-03-20 18:51:26-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1934.09741,2166.934,14.5454521,29.0909042,38.1818161,10.0000019,0.0,24.5454559,19.3939381,31,34,28,25,22,23,34,4005.5166,4005.5166,4005.5166,4005.5166,4005.5166,4005.5166,27.0221939,20.48687,0,1.45058644,100.137917,28.0302353,4.46017838,11.4518471,35,135.0,405.000031,270.0,999,3,6,0,1,30,2048,603.957031,1444.043,29.49009,13.3720007,15.625,0.0,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
344,344,2022-03-20 18:51:28-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2177.41943,9.375,9.375,42.96875,50.0,1.5625,5.46875,19.7916679,23,23,23,32,22,31,33,4105.65332,4005.51538,4005.51538,4005.51538,4005.51538,4005.51538,25.90166,19.42142,0,1.29982,100.137886,27.4395065,4.36618042,11.545845,35,135.0,405.000031,270.0,1001,0,5,0,0,30,2048,603.957031,1444.043,29.49009,13.3720007,15.625,444.335938,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
345,345,2022-03-20 18:51:28-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.42400026,1.0,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,8.59375,13.28125,9.375,51.5625,3.90625,9.375,16.015625,22,23,21,31,22,24,31,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,24.1327,17.59151,0,1.41763842,100.137909,28.71444,4.56905,11.3429756,35,135.0,405.000031,270.0,1000,0,5,0,0,30,2048,603.957031,1444.043,29.49009,13.5650005,0.0,0.0,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
346,346,2022-03-20 18:51:30-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1912.18127,2170.418,11.71875,25.78125,42.1875,31.25,7.03125,10.15625,21.3541679,31,24,32,34,27,25,34,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,29.705883,23.1688652,0,1.40885639,100.1379,27.5466919,4.383236,11.5287895,35,135.0,405.000031,270.0,1000,0,5,0,0,30,2048,603.957031,1444.043,29.49009,13.468,15.625,0.0,100,1112.297,69.10987,24,1.51980138,99,2086.47046,81.89742,26,1.52342355
347,347,2022-03-20 18:51:30-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1925.82031,2166.934,10.15625,23.4375,28.125,32.8125,0.0,17.96875,18.75,23,31,23,25,23,31,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,27.6441,21.1333923,0,1.37258053,100.137894,28.722908,4.57039642,11.341629,34,135.0,405.000031,270.0,1000,0,5,0,0,30,2048,603.957031,1444.043,29.49009,13.468,15.625,444.335938,100,1112.297,69.10987,24,1.5198015,99,2086.49414,81.8950043,25,1.52342165
348,348,2022-03-20 18:51:32-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2166.934,7.8125,33.59375,37.5,54.6875,0.0,1.5625,22.5260429,24,38,24,32,23,25,38,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,30.1647987,23.61558,0,1.64058268,100.137894,32.0944672,5.10688,10.8051453,35,135.0,405.000031,270.0,1000,3,6,0,1,30,2048,603.957031,1444.043,29.49009,13.468,0.0,0.0,100,1112.297,69.10987,24,1.5198015,99,2086.49414,81.8950043,25,1.52342165
349,349,2022-03-20 18:51:33-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1931.33044,2170.418,17.96875,24.21875,32.8125,43.75,6.25,10.15625,22.5260429,34,29,32,25,24,25,34,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,30.34703,23.7953377,0,1.74490607,100.1379,27.71965,4.410759,11.5012665,34,135.0,405.000031,270.0,1000,0,6,0,0,30,2048,603.957031,1444.043,29.49009,13.3720007,0.0,444.335938,100,1112.297,69.10987,24,1.5198015,99,2086.49414,81.8950043,25,1.52342165
