,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
40,40,2022-03-20 18:46:15-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1923.0769,2173.913,17.1875,10.9375,14.84375,10.15625,19.53125,18.75,15.234375,23,24,23,24,32,24,32,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,24.85035,18.2696,0,1.65633571,100.137894,38.26503,6.0887413,9.823284,32,683.437561,810.000061,1366.87512,1001,24,17,0,7,30,2048,1099.625,948.375,53.692627,16.9760017,14.6484375,450.1953,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
41,41,2022-03-20 18:46:16-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.016,1.016,24.5,25,25.5,15,23,25,1931.33044,2173.913,21.875,21.09375,22.65625,22.65625,16.40625,25.78125,21.7447929,24,25,24,25,24,31,31,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,28.2867317,21.6629238,0,1.83512628,100.137909,38.1635475,6.07259369,9.839432,32,683.437561,810.000061,1366.87512,999,24,17,0,7,30,2048,1108.125,939.875,54.107666,16.6890011,14.6484375,450.1953,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
42,42,2022-03-20 18:46:17-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1931.33044,2177.41943,21.875,16.40625,28.125,25.78125,21.09375,29.6875,23.828125,25,25,24,24,24,33,33,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,30.2039852,23.5836487,0,1.82515466,100.1379,37.88802,6.02875137,9.883274,32,683.437561,810.000061,1366.87512,1001,23,17,0,7,30,2048,1099.6875,948.3125,53.69568,16.8830013,15.625,450.1953,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
43,43,2022-03-20 18:46:18-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,0.992000043,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1934.09741,2173.913,16.40625,15.625,19.53125,21.09375,14.0625,31.25,19.6614571,26,33,25,25,23,30,33,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,29.7325783,23.0783024,0,1.95618975,100.137886,37.88639,6.028492,9.88353348,32,683.437561,810.000061,1366.87512,999,26,18,0,9,30,2048,1108.1875,939.8125,54.1107178,16.9760017,13.671875,450.1953,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
44,44,2022-03-20 18:46:19-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1920.34143,2166.934,15.625,16.40625,10.15625,15.625,18.75,31.25,17.96875,23,25,23,24,23,32,32,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,27.5048542,20.9009933,0,1.82673633,100.1379,37.76144,6.00861,9.903416,32,683.437561,810.000061,1366.87512,1000,24,17,0,7,30,2048,1108.1875,939.8125,54.1107178,17.1710014,0.0,0.0,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
45,45,2022-03-20 18:46:20-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1909.47668,2173.913,19.53125,21.875,17.1875,17.1875,16.40625,23.4375,19.2708321,28,26,28,31,25,31,31,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,28.33613,21.7050323,0,1.85685968,100.137909,38.7985153,6.17362976,9.738396,32,683.437561,810.000061,1366.87512,1001,23,16,0,7,30,2048,1109.4375,938.5625,54.1717529,16.316,13.671875,446.289063,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
46,46,2022-03-20 18:46:21-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1912.18127,2177.41943,17.1875,18.75,21.875,21.875,20.3125,25.0,20.8333321,25,30,23,24,24,24,30,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,26.9283619,20.3249454,0,1.74737811,100.137894,38.0342827,6.052025,9.860001,32,683.437561,810.000061,1366.87512,1000,22,15,0,7,30,2048,1109.4375,938.5625,54.1717529,17.267,0.9765625,3.90625,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
47,47,2022-03-20 18:46:22-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1923.0769,2170.418,19.53125,19.53125,18.75,12.5,16.40625,24.21875,18.4895821,23,25,31,25,23,25,31,4005.5166,4005.5166,4005.5166,4005.5166,4005.5166,4005.5166,27.2233543,20.6481915,0,1.75516927,100.137917,38.1235161,6.066223,9.845802,32,683.437561,810.000061,1366.87512,999,21,15,0,6,30,2048,1109.6875,938.3125,54.18396,16.604,14.6484375,166.992188,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
48,48,2022-03-20 18:46:23-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,0.992000043,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1931.33044,2173.913,16.40625,18.75,11.71875,15.625,8.59375,24.21875,15.8854189,25,25,23,23,24,32,30,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,24.9516582,18.3361721,0,1.771505,100.1379,37.86786,6.025543,9.886482,32,683.437561,810.000061,1366.87512,1001,22,15,0,7,30,2048,1109.6875,938.3125,54.18396,16.787,14.6484375,446.289063,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
49,49,2022-03-20 18:46:24-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,0.992000043,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1931.33044,2173.913,11.71875,10.9375,7.8125,9.375,12.5,24.21875,12.7604189,23,24,23,24,31,25,31,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,24.656374,18.0844116,0,1.73135674,100.137886,38.13605,6.068218,9.843807,32,683.437561,810.000061,1366.87512,1001,22,15,0,7,30,2048,1109.6875,938.3125,54.18396,17.072,13.671875,446.289063,100,1112.297,69.10987,24,1.5198009,99,2086.31567,81.89663,25,1.52326477
