,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
3566,3566,2022-03-20 19:45:24-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1906.77966,2166.934,10.15625,17.1875,4.6875,18.75,7.03125,14.84375,12.109375,23,24,22,31,22,24,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,17.8689747,15.7279711,0,1.37783885,100.1379,27.5411987,4.38236237,11.5296631,41,1252.96851,3505.50024,2505.937,1005,2,1,0,0,31,2048,567.1953,1480.80469,27.6950836,33.359,25.390625,0.0,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3567,3567,2022-03-20 19:45:25-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1906.77966,2166.934,1.53846145,11.5384579,37.6923065,9.230768,0.0,0.0,9.999996,22,32,23,34,22,24,34,4005.51587,4005.51587,4005.51587,4105.654,4005.51587,4005.51587,15.1611958,13.0190163,0,1.17612135,100.137894,27.5888824,4.38995,11.5220757,41,1252.96851,3505.50024,2505.937,1004,2,1,0,0,31,2048,575.0703,1472.92969,28.0796051,33.170002,15.625,0.0,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3568,3568,2022-03-20 19:45:26-04:00,60.7843132,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1909.47668,2170.418,7.03125,19.53125,16.40625,24.21875,8.59375,10.9375,14.453125,22,22,22,22,22,23,24,4005.51514,4005.51514,4005.51514,3404.688,4005.51514,4005.51514,19.2422771,17.0713577,0,1.46755552,100.137878,28.112442,4.473259,11.4387665,41,1252.96851,3505.50024,2505.937,1002,3,2,0,0,31,2048,604.7578,1443.24219,29.52919,33.457,59.5703125,59.5703125,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3569,3569,2022-03-20 19:45:27-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1920.34143,2163.46143,20.7692261,39.9999962,20.7692261,18.4615364,17.6923027,14.6153812,22.051281,24,34,25,27,23,24,34,4005.51733,4005.51733,4005.51733,4005.51733,4005.51733,4005.51733,26.1014767,23.82918,0,1.84616184,100.137939,29.4793549,4.69076157,11.2212639,41,1252.96851,3505.50024,2505.937,1001,4,1,0,1,31,2048,627.9844,1420.01563,30.6633,33.257,64.453125,53.7109375,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3570,3570,2022-03-20 19:45:28-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,14.84375,34.375,18.75,14.84375,9.375,11.71875,17.3177071,29,26,24,24,23,25,29,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,23.48539,21.262661,0,1.68092036,100.137878,29.5527344,4.70243835,11.2095871,42,1252.96851,3505.50024,2505.937,1000,3,2,0,0,31,2048,630.9844,1417.01563,30.8097839,34.212,16.6015625,1.953125,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3571,3571,2022-03-20 19:45:29-04:00,60.0,100,100,100,100,100,100,0.72,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2177.41943,6.153846,9.230768,10.0000019,3.8461566,6.92307949,12.3076916,8.076924,22,21,21,22,22,21,23,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,12.7011433,10.5356855,0,1.50124311,100.137894,29.86309,4.75182343,11.160202,41,1252.96851,3505.50024,2505.937,1001,1,1,0,0,30,2048,625.8594,1422.14063,30.55954,33.359,4.8828125,0.9765625,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3572,3572,2022-03-20 19:45:30-04:00,60.0,100,100,100,100,100,100,0.91200006,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2173.913,10.76923,29.9999962,10.0000019,16.9230766,3.076923,6.92307949,12.9487276,23,23,21,22,21,23,24,801.1033,801.1033,801.1033,801.1033,801.1033,801.1033,17.6049538,15.4056606,0,1.48513627,100.137909,29.479126,4.690727,11.2212982,41,1252.96851,3505.50024,2505.937,1001,1,1,0,0,30,2048,625.8594,1422.14063,30.55954,33.359,4.8828125,0.9765625,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3573,3573,2022-03-20 19:45:31-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1931.33044,2166.934,11.5384579,17.6923027,9.230768,4.615384,12.3076916,15.3846149,11.7948589,22,21,21,21,20,21,24,4005.516,3404.68872,4005.516,4005.516,4005.516,4005.516,15.2481279,13.0787554,0,1.46042073,100.1379,29.656395,4.718933,11.1930923,42,1252.96851,3505.50024,2505.937,1001,2,1,0,0,30,2048,625.8594,1422.14063,30.55954,33.457,4.8828125,0.9765625,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3574,3574,2022-03-20 19:45:32-04:00,60.0,100,100,100,100,100,100,0.728000045,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1931.33044,2166.934,3.125,15.625,14.84375,0.78125,3.125,5.46875,7.161456,22,22,21,21,21,22,24,4005.51636,3404.689,3404.689,2503.44775,1602.20654,3705.10254,9.75427151,7.577713,0,1.40508771,100.137909,29.5646973,4.704342,11.2076836,41,1252.96851,3505.50024,2505.937,1001,1,1,0,0,30,2048,624.6094,1423.39063,30.4985046,33.359,4.8828125,0.9765625,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
3575,3575,2022-03-20 19:45:33-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1931.33044,2173.913,5.384612,23.0769215,6.153846,5.384612,6.153846,4.615384,8.461541,23,33,21,23,22,22,33,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,13.68996,11.5402489,0,1.41050279,100.137909,30.2413025,4.812004,11.1000214,41,1252.96851,3505.50024,2505.937,1001,1,1,0,0,30,2048,623.3594,1424.64063,30.43747,33.7450027,1.953125,0.9765625,100,1112.297,69.10987,24,1.51980817,99,2087.371,81.90431,25,1.52349317
