,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
3681,2022-03-20 19:47:20,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1928.57141,2170.418,9.375,13.28125,34.375,7.8125,6.25,12.5,13.9322939,23,25,33,23,24,24,33,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,17.5856171,15.4448891,0,1.37638366,100.1379,27.5588,4.38516235,11.5268631,41,1252.96851,3505.50024,2505.937,1022,1,1,0,0,31,2048,580.8203,1467.17969,28.3603668,33.3620033,0.0,0.9765625,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3682,2022-03-20 19:47:21,60.7843132,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1928.57141,2173.913,0.0,6.25,32.8125,7.03125,12.5,0.0,9.765625,23,24,32,23,22,24,32,4005.516,4105.654,4105.654,4005.516,4005.516,4005.516,15.0063553,12.8788862,0,1.16729522,100.1379,27.5818329,4.38882828,11.5231972,42,1252.96851,3505.50024,2505.937,1019,2,1,0,0,31,2048,588.6953,1459.30469,28.7448883,33.263,0.0,0.0,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3683,2022-03-20 19:47:22,60.7843132,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1917.61365,2170.418,6.25,24.21875,15.625,18.75,10.15625,10.9375,14.3229189,22,24,22,24,22,24,24,4005.51636,4005.51636,3104.27515,2203.034,1301.79285,4005.51636,18.9176331,16.738102,0,1.42801321,100.137909,27.9830551,4.452671,11.4593544,42,1252.96851,3505.50024,2505.937,1018,2,2,0,0,31,2048,618.3828,1429.61719,30.1944733,33.6490021,85.9375,445.3125,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3684,2022-03-20 19:47:23,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1917.61365,2170.418,22.3076935,29.9999962,16.1538486,16.1538486,20.7692261,19.9999981,20.8974361,24,29,24,25,31,24,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,25.83933,23.5782738,0,1.8696593,100.1379,29.45317,4.686596,11.22543,42,1252.96851,3505.50024,2505.937,1016,2,1,0,0,31,2048,640.3594,1407.64063,31.2675476,33.359,92.77344,0.9765625,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3685,2022-03-20 19:47:24,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1917.61365,2173.913,12.5,28.90625,20.3125,17.96875,11.71875,11.71875,17.1875,28,28,25,29,26,26,29,4005.50562,4005.50562,4005.50562,4005.50562,4005.50562,4005.50562,23.7451534,21.522049,0,1.68850112,100.137642,29.5821,4.70711136,11.2049141,42,1252.96851,3505.50024,2505.937,1017,4,3,0,0,31,2048,643.3594,1404.64063,31.414032,34.595,16.6015625,0.9765625,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3686,2022-03-20 19:47:25,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1909.47668,2166.934,6.25,7.03125,16.40625,4.6875,4.6875,10.15625,8.203125,22,24,21,21,22,22,24,4005.52637,4005.52637,4005.52637,4005.52637,4005.52637,4005.52637,12.6904135,10.5038118,0,1.50606918,100.138161,30.0341187,4.77903748,11.132988,42,1252.96851,3505.50024,2505.937,1018,1,1,0,0,31,2048,638.2344,1409.76563,31.1637878,33.553,4.8828125,0.9765625,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3687,2022-03-20 19:47:26,60.0,100,100,100,100,100,100,0.92,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1920.34143,2170.418,12.5,30.46875,10.9375,13.28125,8.59375,3.125,13.1510439,30,26,26,24,23,25,30,4005.516,4005.516,3104.275,2203.034,1301.79272,801.1032,17.98294,15.7810984,0,1.5032413,100.1379,29.5067444,4.695122,11.2169037,42,1252.96851,3505.50024,2505.937,1018,1,1,0,0,31,2048,638.2344,1409.76563,31.1637878,33.457,4.8828125,0.9765625,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3688,2022-03-20 19:47:27,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2166.934,20.7692261,29.9999962,2.30768919,3.8461566,4.615384,7.69230747,11.538476,22,23,21,22,22,22,23,2503.44751,1301.79272,1301.79272,1301.79272,2503.44751,3705.10229,14.6810551,12.5037947,0,1.45485163,100.1379,29.6893311,4.7241745,11.187851,42,1252.96851,3505.50024,2505.937,1018,1,1,0,0,31,2048,638.2344,1409.76563,31.1637878,33.6490021,4.8828125,0.9765625,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3689,2022-03-20 19:47:28,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1923.0769,2173.913,10.0000019,14.6153812,11.5384579,0.7692337,3.8461566,5.384612,7.692313,22,23,21,21,21,22,24,4005.51636,801.1033,801.1033,4005.51636,3404.689,2503.44775,10.6936731,8.515164,0,1.42183971,100.137909,29.6078949,4.711216,11.2008095,42,1252.96851,3505.50024,2505.937,1017,1,1,0,0,31,2048,636.9844,1411.01563,31.1027527,33.359,2.9296875,0.9765625,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
3690,2022-03-20 19:47:29,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1931.33044,2166.934,7.8125,25.0,5.46875,3.125,0.78125,6.25,8.072919,23,33,22,23,22,23,33,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,12.8607855,10.70548,0,1.37133038,100.1379,30.0691757,4.78461456,11.1274109,42,1252.96851,3505.50024,2505.937,1016,1,1,0,0,31,2048,627.2344,1420.76563,30.6266785,33.457,4.8828125,0.9765625,100,1112.297,69.10987,24,1.51980853,99,2087.41479,81.9043045,25,1.52348852
