,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
3609,3609,2022-03-20 19:46:08-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1934.09741,2170.418,7.03125,26.5625,7.8125,8.59375,13.28125,10.9375,12.3697939,22,23,21,21,24,22,24,3705.10229,4005.516,4005.516,3404.68872,2903.999,2903.999,20.4142437,13.8777685,0,1.45384681,100.1379,38.24686,6.08585,9.826176,37,683.437561,810.000061,1366.87512,1000,13,12,0,1,30,2048,695.6875,1352.3125,33.9691162,15.1880007,1.953125,0.0,100,1112.297,69.10987,24,1.51980829,99,2087.38647,81.90396,25,1.52349126
3610,3610,2022-03-20 19:46:09-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,4.6875,13.28125,10.9375,0.78125,5.46875,7.03125,7.03125,23,31,30,25,24,25,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,20.4551926,13.9251738,0,1.45246613,100.137894,38.49882,6.125942,9.786083,37,683.437561,810.000061,1366.87512,999,14,15,0,1,30,2048,713.5625,1334.4375,34.84192,15.6650009,1.953125,66.40625,100,1112.297,69.10987,24,1.51980829,99,2087.38647,81.90396,25,1.52349126
3611,3611,2022-03-20 19:46:10-04:00,60.0,100,100,100,100,100,100,0.792000055,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2170.418,4.6875,27.34375,22.65625,4.6875,4.6875,6.25,11.71875,25,31,33,24,25,24,33,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,21.5393772,14.9919138,0,1.50514424,100.1379,38.62979,6.146782,9.765244,37,683.437561,810.000061,1366.87512,999,16,16,0,1,30,2048,713.5625,1334.4375,34.84192,15.7610006,3.90625,84.96094,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3612,3612,2022-03-20 19:46:11-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,4.6875,10.15625,6.25,0.78125,3.125,4.6875,4.947919,22,22,22,22,22,22,24,4005.51563,4005.51563,3404.68848,4005.51563,4005.51563,4005.51563,17.9776783,11.453269,0,1.42602718,100.137894,38.6774254,6.15436172,9.757664,37,683.437561,810.000061,1366.87512,1000,17,17,0,1,30,2048,705.3125,1342.6875,34.4390869,15.6530008,10.7421875,43.9453125,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3613,3613,2022-03-20 19:46:12-04:00,60.0,100,100,100,100,100,100,0.840000033,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1909.47668,2166.934,3.125,12.5,8.59375,0.78125,2.34375,3.90625,5.208331,23,32,22,23,23,23,32,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,19.25918,12.6897163,0,1.55870771,100.1379,38.7948,6.17303848,9.738987,37,683.437561,810.000061,1366.87512,1000,20,19,0,2,30,2048,715.0625,1332.9375,34.91516,15.9410009,7.8125,42.96875,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3614,3614,2022-03-20 19:46:13-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1909.47668,2166.934,10.15625,12.5,2.34375,1.5625,3.125,7.03125,6.119794,22,23,21,21,24,22,24,3705.10254,3104.27515,3404.689,4005.51636,3705.10254,4005.51636,17.6906662,11.1633425,0,1.40921211,100.137909,38.8001,6.17388153,9.738144,37,683.437561,810.000061,1366.87512,999,17,18,0,1,30,2048,715.0625,1332.9375,34.91516,15.8450012,9.765625,85.9375,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3615,3615,2022-03-20 19:46:14-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.3920002,3.42400026,0.992000043,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1909.47668,2173.913,1.5625,11.71875,7.8125,0.0,4.6875,4.6875,5.078125,23,28,22,23,24,23,28,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,18.62829,12.07711,0,1.476892,100.1379,39.0779266,6.21809,9.693935,37,683.437561,810.000061,1366.87512,999,20,18,0,2,30,2048,715.0625,1332.9375,34.91516,16.037,10.7421875,85.9375,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3616,3616,2022-03-20 19:46:15-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2173.913,1.5625,8.59375,12.5,6.25,2.34375,5.46875,6.119794,22,23,22,22,22,23,24,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,18.7388039,12.2119522,0,1.47070789,100.137909,38.9412766,6.19634628,9.715679,37,683.437561,810.000061,1366.87512,1000,16,17,0,1,30,2048,715.0625,1332.9375,34.91516,16.037,8.7890625,84.96094,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3617,3617,2022-03-20 19:46:16-04:00,60.0,100,100,100,100,100,100,0.76000005,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1931.33044,2166.934,3.90625,13.28125,8.59375,0.78125,2.34375,7.8125,6.119794,22,23,21,21,22,22,24,4005.51563,4005.51563,4005.51563,4005.51563,3705.10181,4005.51563,17.4478836,10.9011517,0,1.41643059,100.137886,38.9745522,6.201641,9.710384,37,683.437561,810.000061,1366.87512,1000,18,18,0,1,30,2048,706.5625,1341.4375,34.5001221,15.7610006,11.71875,43.9453125,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3618,3618,2022-03-20 19:46:17-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1934.09741,2173.913,7.03125,17.1875,3.125,5.46875,1.5625,5.46875,6.640625,22,24,22,23,24,24,24,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,20.5501575,13.9899921,0,1.575433,100.137886,39.06364,6.2158165,9.696209,37,683.437561,810.000061,1366.87512,1001,19,18,0,1,30,2048,718.3008,1329.69922,35.07328,15.9410009,9.765625,85.9375,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3619,3619,2022-03-20 19:46:18-04:00,60.0,100,100,100,100,100,100,0.752000034,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2170.418,9.375,7.03125,5.46875,6.25,3.125,6.25,6.25,32,24,25,24,23,24,32,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,20.5951767,14.067811,0,1.51022148,100.137909,39.20686,6.2386055,9.67342,37,683.437561,810.000061,1366.87512,1000,21,18,0,2,30,2048,717.519531,1330.48047,35.0351334,16.0290012,168.945313,43.9453125,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3620,3620,2022-03-20 19:46:19-04:00,60.0,100,100,100,100,100,100,0.92,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1912.18127,2170.418,3.90625,17.1875,10.9375,5.46875,11.71875,8.59375,9.635419,24,33,35,28,30,26,34,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,22.6611748,16.0773983,0,1.59066641,100.137886,39.2613754,6.24728,9.664745,37,683.437561,810.000061,1366.87512,999,19,18,0,2,30,2048,721.5625,1326.4375,35.2325439,16.037,11.71875,43.9453125,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3621,3621,2022-03-20 19:46:20-04:00,60.0,100,100,100,100,100,100,0.840000033,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1909.47668,2166.934,9.375,19.53125,10.15625,6.25,7.03125,6.25,9.765625,22,23,21,22,24,22,24,4005.51636,2903.99927,4005.51636,4005.51636,4005.51636,3705.10254,18.7481575,12.2144451,0,1.45518458,100.137909,39.619976,6.30434036,9.607685,37,683.437561,810.000061,1366.87512,1001,17,18,0,1,30,2048,721.25,1326.75,35.2172852,15.7610006,10.7421875,42.96875,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3622,3622,2022-03-20 19:46:21-04:00,60.0,100,100,100,100,100,100,0.816000044,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1909.47668,2177.41943,3.90625,10.9375,9.375,1.5625,2.34375,0.78125,4.817706,21,27,23,22,23,23,27,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,18.5975227,12.0539389,0,1.47700655,100.137894,39.86326,6.343052,9.568974,37,683.437561,810.000061,1366.87512,1001,20,19,0,2,30,2048,721.25,1326.75,35.2172852,15.9330006,8.7890625,85.9375,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3623,3623,2022-03-20 19:46:22-04:00,60.0,100,100,100,100,100,100,0.824000061,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2170.418,3.125,17.96875,10.9375,0.78125,2.34375,2.34375,6.25,22,23,22,22,24,23,24,4005.5166,3705.10278,4005.5166,3705.10278,2903.99951,4005.5166,19.20144,12.675972,0,1.46578956,100.137917,39.69283,6.315933,9.596092,37,683.437561,810.000061,1366.87512,1000,17,18,0,1,30,2048,723.375,1324.625,35.3210449,16.037,4.8828125,85.9375,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3624,3624,2022-03-20 19:46:23-04:00,60.0,100,100,100,100,100,100,0.896,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1923.0769,2170.418,4.615384,14.6153812,3.90625,2.34375,7.8125,9.230768,7.087344,23,24,22,23,24,28,28,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,18.6109428,12.0521221,0,1.45380938,100.137894,39.8690147,6.34396744,9.568058,36,683.437561,810.000061,1366.87512,1000,19,18,0,1,30,2048,733.335938,1314.66406,35.80742,16.229,13.671875,85.9375,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3625,3625,2022-03-20 19:46:24-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2173.913,9.523809,22.2222214,3.90625,13.28125,8.59375,7.14285374,10.77835,24,31,24,23,25,24,31,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,23.2156982,16.65638,0,1.64529729,100.1379,40.1602173,6.39030457,9.521721,37,683.437561,810.000061,1366.87512,999,17,17,0,1,30,2048,759.4961,1288.50391,37.08477,15.7610006,203.125,85.9375,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3626,3626,2022-03-20 19:46:25-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1934.09741,2177.41943,3.125,27.34375,10.15625,10.15625,14.0625,1.5625,11.0677061,24,29,22,23,24,23,31,4005.51563,4005.51563,4005.51563,4005.51563,2903.99878,4005.51563,22.093565,15.543066,0,1.48727655,100.137894,40.1875534,6.39465332,9.517372,36,696.0935,810.000061,1392.187,998,17,17,0,1,30,2048,751.2461,1296.75391,36.68194,15.9410009,5.859375,42.96875,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3627,3627,2022-03-20 19:46:26-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2170.418,6.25,30.46875,18.75,15.625,8.59375,10.15625,14.9739561,23,30,23,24,24,29,30,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,23.9962158,17.4239712,0,1.58993,100.137909,40.3279877,6.417,9.495026,36,696.0935,810.000061,1392.187,998,20,19,0,2,30,2048,759.7461,1288.25391,37.0969772,15.7490005,11.71875,42.96875,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3628,3628,2022-03-20 19:46:27-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2166.934,3.125,34.375,14.0625,14.0625,3.125,7.03125,12.6302061,24,29,24,24,23,24,29,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,23.3805943,16.8602333,0,1.50709283,100.137909,40.59906,6.4601326,9.451893,36,696.0935,810.000061,1392.187,998,17,17,0,1,30,2048,759.7461,1288.25391,37.0969772,16.0290012,6.8359375,42.96875,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3629,3629,2022-03-20 19:46:28-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1917.61365,2170.418,4.6875,37.5,5.46875,19.53125,3.90625,3.90625,12.5,23,29,33,24,25,24,33,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,24.84013,18.2680378,0,1.59932029,100.1379,40.5712738,6.45571136,9.456314,36,696.0935,810.000061,1392.187,999,17,18,0,1,30,2048,760.7461,1287.25391,37.1458054,15.8450012,4.8828125,1.953125,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3630,3630,2022-03-20 19:46:29-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1909.47668,2173.913,5.46875,40.625,15.625,10.15625,15.625,5.46875,15.4947939,24,28,23,24,24,24,28,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,22.6921463,16.1370258,0,1.45912838,100.137894,40.72974,6.48092651,9.431099,36,696.0935,810.000061,1392.187,998,17,18,0,1,30,2048,760.7461,1287.25391,37.1458054,16.4970016,9.765625,42.96875,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3631,3631,2022-03-20 19:46:30-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2166.934,4.6875,43.8616028,15.625,5.46875,7.8125,3.125,13.4300528,24,29,22,26,23,24,29,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,25.3814011,18.80439,0,1.61772048,100.137894,40.72715,6.48051453,9.431511,36,696.0935,810.000061,1392.187,998,19,18,0,2,30,2048,760.7461,1287.25391,37.1458054,15.8450012,10.7421875,0.9765625,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3632,3632,2022-03-20 19:46:31-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2173.913,10.15625,41.38221,19.53125,3.90625,3.90625,4.6875,13.9282885,23,29,23,24,24,23,29,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,22.76213,16.23765,0,1.465747,100.1379,40.7604027,6.48580551,9.42622,36,696.0935,810.000061,1392.187,1001,17,18,0,1,30,2048,760.7461,1287.25391,37.1458054,16.1330013,8.7890625,85.9375,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
3633,3633,2022-03-20 19:46:32-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1920.34143,2173.913,3.8461566,21.53846,23.84615,4.615384,18.4615364,3.076923,12.564105,23,32,24,26,26,24,32,4005.51538,4005.51538,4005.51538,4005.51538,4005.51538,4005.51538,23.3775711,16.819025,0,1.50527751,100.137886,40.9437523,6.51498032,9.397045,36,696.0935,810.000061,1392.187,1002,17,17,0,1,30,2048,760.7461,1287.25391,37.1458054,16.125,9.765625,43.9453125,100,1112.297,69.10987,24,1.51980841,99,2087.404,81.90382,25,1.52348948
