,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
7307,7307,2022-03-20 20:48:42-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,23.0,25,25.5,15,23,25,1906.77966,2170.418,10.9375,26.5625,9.375,10.9375,14.0625,4.6875,12.7604189,23,25,24,25,30,24,30,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,18.5320816,16.3728638,0,1.48859954,100.137894,34.5358047,5.495346,10.4166794,32,1126.406,3505.50024,2252.812,1000,5,3,0,0,30,2048,539.726563,1508.27344,26.3538361,28.5170021,5.859375,3.90625,100,1112.59912,69.10987,24,1.51966035,99,2090.46655,81.90387,25,1.5235498
7308,7308,2022-03-20 20:48:43-04:00,60.0,100,100,100,100,100,100,0.672000051,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.0,25,25.5,15,23,25,1920.34143,2170.418,11.71875,5.46875,8.59375,10.9375,13.28125,12.5,10.4166689,21,22,21,22,21,22,24,4005.516,4005.516,4005.516,4005.516,3705.10229,2903.99927,13.0786142,10.94234,0,1.24695635,100.1379,34.53823,5.49573135,10.4162941,32,1126.406,3505.50024,2252.812,999,2,2,0,0,30,2048,539.851563,1508.14844,26.35994,28.4380016,5.859375,0.9765625,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
7309,7309,2022-03-20 20:48:44-04:00,60.0,100,100,100,100,100,100,0.664000034,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,23.0,25,25.5,15,23,25,1931.33044,2166.934,3.125,3.125,4.6875,0.78125,3.125,3.125,2.99479365,25,26,25,26,24,23,26,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,10.1519279,8.030359,0,1.223138,100.137894,34.5633774,5.499733,10.4122925,32,1126.406,3505.50024,2252.812,1000,3,2,0,0,30,2048,526.6914,1521.30859,25.7173538,28.3260021,10.7421875,1.953125,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
7310,7310,2022-03-20 20:48:45-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,23.0,25,25.5,15,23,25,1928.57141,2173.913,14.84375,40.625,24.21875,33.59375,21.875,24.21875,26.5625,24,25,31,31,30,25,31,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,31.9434013,29.6686172,0,1.99026036,100.137909,36.2964554,5.77550125,10.1365242,32,1126.406,3505.50024,2252.812,999,1,1,0,0,30,2048,674.4961,1373.50391,32.93438,27.475,14.6484375,0.0,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
7311,7311,2022-03-20 20:48:46-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,23.5,25,25.5,15,23,25,1931.33044,2170.418,15.625,21.875,25.78125,22.65625,11.71875,17.1875,19.140625,25,24,32,24,25,24,33,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,22.7141666,20.4512844,0,1.74600959,100.1379,38.017765,6.04939651,9.862629,32,910.854065,3004.6792,1821.70813,1000,4,3,0,0,30,2048,736.4375,1311.5625,35.9588623,26.065,1.953125,0.0,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
7312,7312,2022-03-20 20:48:47-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,23.0,25,25.5,15,23,25,1931.33044,2166.934,7.728362,12.4038458,21.7427845,10.8052845,11.5985575,12.4038458,12.7804575,23,23,23,31,22,23,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,19.2081165,17.0202274,0,1.45681036,100.1379,38.7633934,6.168041,9.743984,32,910.854065,3004.6792,1821.70813,1000,3,3,0,0,30,2048,762.0625,1285.9375,37.210083,26.148,0.0,0.0,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
7313,7313,2022-03-20 20:48:48-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,23.5,25,25.5,15,23,25,1920.34143,2170.418,26.8353157,34.796627,24.4171619,10.2678537,13.4548607,14.2237072,20.665926,25,30,24,24,31,25,31,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,28.3180141,24.76089,0,1.72321832,100.137909,39.06805,6.2165184,9.695507,32,721.406,810.000061,1442.812,1002,7,8,0,2,30,2048,810.4336,1237.56641,39.5719528,16.125,0.0,2.9296875,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
7314,7314,2022-03-20 20:48:49-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,23.5,25,25.5,15,23,25,1906.77966,2170.418,8.59375,19.53125,14.84375,14.84375,12.5,8.59375,13.1510439,28,22,21,22,21,22,28,4005.51563,3404.68823,3705.102,3404.68823,4005.51563,2903.99878,22.1621914,15.6219406,0,1.44914854,100.137894,39.0941353,6.220669,9.691357,31,721.406,810.000061,1442.812,1004,15,17,0,0,30,2048,800.1328,1247.86719,39.068985,15.9410009,3.90625,443.359375,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
7315,7315,2022-03-20 20:48:50-04:00,60.0,100,100,100,100,100,100,0.91200006,1.008,3.37600017,3.42400026,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,25,25.5,15,23,25,1920.34143,2173.913,5.46875,18.75,28.90625,7.03125,7.8125,3.90625,11.9791689,23,24,29,23,23,24,29,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,23.6640911,17.0985336,0,1.56761062,100.1379,39.4643822,6.279583,9.632442,31,721.406,810.000061,1442.812,1005,17,17,0,1,30,2048,829.3789,1218.62109,40.4970169,16.607,0.0,0.9765625,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
7316,7316,2022-03-20 20:48:51-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,23.5,25,25.5,15,23,25,1931.33044,2170.418,7.03125,27.34375,15.625,7.03125,3.125,3.90625,10.6770811,22,24,22,23,22,23,24,4005.516,4005.516,3705.10229,4005.516,2903.999,2903.999,20.137455,13.6238337,0,1.37249553,100.1379,39.6342621,6.306614,9.605412,31,721.406,810.000061,1442.812,1003,9,11,0,0,30,2048,820.0039,1227.99609,40.0392532,15.9410009,1.953125,0.0,100,1112.59912,69.10987,24,1.51966083,99,2090.471,81.90397,25,1.52354932
