,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
7577,7577,2022-03-20 20:53:13-04:00,60.0,100,100,100,100,100,100,0.768,1.008,3.3920002,3.42400026,0.992000043,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,25,25.5,15,23,25,1909.47668,2177.41943,5.384612,10.0000019,3.8461566,2.30768919,3.076923,4.615384,4.87179756,21,21,21,21,20,21,23,4005.51563,3404.68848,4005.51563,3104.27466,4005.51563,3104.27466,13.9870949,7.4961853,0,1.19905376,100.137894,39.89778,6.348545,9.56348,32,721.406,810.000061,1442.812,1000,14,16,0,0,30,2048,805.652344,1242.34766,39.3384933,15.9410009,4.8828125,0.9765625,100,1112.59912,69.10987,24,1.51966131,99,2090.496,81.90503,25,1.52354515
7578,7578,2022-03-20 20:53:14-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.42400026,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,25,25.5,15,23,25,1923.0769,2173.913,1.5625,8.59375,3.125,1.5625,0.0,1.5625,2.734375,21,21,23,21,21,22,23,4005.51587,3705.102,4005.51587,3705.102,4005.51587,3404.68848,14.0497551,7.56823349,0,1.21833479,100.137894,39.8780975,6.345413,9.566612,32,721.406,810.000061,1442.812,1000,13,16,0,0,30,2048,777.3203,1270.67969,37.9550934,16.037,5.859375,0.9765625,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
7579,7579,2022-03-20 20:53:15-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,25,25.5,15,23,25,1931.33044,2177.41943,4.6875,5.46875,2.34375,0.78125,1.5625,3.125,2.99479365,21,21,20,20,20,21,24,4005.51636,3104.27515,4005.51636,4005.51636,3104.27515,2903.99927,13.4852982,7.010173,0,1.14364994,100.137909,39.7477074,6.324665,9.58736,32,721.406,810.000061,1442.812,1000,13,16,0,0,30,2048,776.5703,1271.42969,37.9184723,16.1330013,5.859375,0.9765625,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
7580,7580,2022-03-20 20:53:16-04:00,60.0,100,100,100,100,100,100,0.656,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,25,25.5,15,23,25,1917.61365,2170.418,1.5625,2.34375,3.90625,1.5625,0.78125,2.34375,2.08333135,21,21,20,20,20,21,23,4005.516,3104.275,4005.516,3404.68872,4005.516,3104.275,12.5463505,6.07172632,0,1.12670147,100.1379,39.7677727,6.327858,9.58416748,32,721.406,810.000061,1442.812,1000,13,16,0,0,30,2048,776.5703,1271.42969,37.9184723,15.9410009,4.8828125,0.0,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
7581,7581,2022-03-20 20:53:17-04:00,60.0,100,100,100,100,100,100,0.640000045,1.008,3.37600017,3.42400026,1.0,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,25,25.5,15,23,25,1920.34143,2170.418,3.90625,5.46875,3.125,0.0,2.34375,2.34375,2.86458135,21,20,20,21,20,21,23,3404.68872,3705.10254,2903.99927,4005.516,3104.275,4005.516,12.1262,5.661106,0,1.10991049,100.1379,39.754467,6.325741,9.586285,32,721.406,810.000061,1442.812,999,13,16,0,0,30,2048,776.5703,1271.42969,37.9184723,16.229,5.859375,0.9765625,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
7582,7582,2022-03-20 20:53:18-04:00,60.0,100,100,100,100,100,100,0.92,1.008,3.3920002,3.42400026,0.992000043,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.0,25,25.5,15,23,25,1917.61365,2170.418,2.34375,1.5625,0.78125,3.125,1.5625,2.34375,1.953125,21,21,19,20,20,21,22,4005.51587,3104.275,4005.51587,4005.51587,3104.275,4005.51587,12.1763678,5.708313,0,1.11225331,100.137894,39.7478027,6.32468033,9.587345,32,721.406,810.000061,1442.812,1000,13,16,0,0,30,2048,776.5703,1271.42969,37.9184723,16.1330013,5.859375,0.9765625,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
7583,7583,2022-03-20 20:53:19-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.5,25,25.5,15,23,25,1909.47668,2173.913,1.5625,0.78125,1.5625,0.0,0.78125,0.78125,0.911456347,21,21,20,21,21,21,23,3404.68848,4005.51587,2903.999,4005.51587,3404.68848,4005.51587,12.2096958,5.739779,0,1.11147964,100.1379,39.6570625,6.3102417,9.601784,32,721.406,810.000061,1442.812,1000,13,16,0,0,30,2048,776.5703,1271.42969,37.9184723,16.4210014,4.8828125,0.0,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
7584,7584,2022-03-20 20:53:20-04:00,60.0,100,100,100,100,100,100,0.640000045,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.0,25,25.5,15,23,25,1923.0769,2173.913,3.90625,3.125,2.34375,0.78125,2.34375,2.34375,2.47395635,21,21,20,21,20,21,22,4005.516,4005.516,4005.516,3404.68872,2903.99927,2903.99927,13.0443239,6.56920958,0,1.12606227,100.137909,39.61074,6.3028717,9.609154,32,721.406,810.000061,1442.812,1000,13,16,0,0,30,2048,776.5703,1271.42969,37.9184723,16.229,4.8828125,0.9765625,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
7585,7585,2022-03-20 20:53:21-04:00,60.0,100,100,100,100,100,100,0.712,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.0,25,25.5,15,23,25,1931.33044,2166.934,2.34375,5.46875,5.46875,3.125,0.78125,3.125,3.38541865,21,21,21,21,21,21,24,4005.51563,4005.51563,3104.27466,3705.10181,2903.99878,4005.51563,14.4113922,7.912219,0,1.26044631,100.137886,39.68799,6.31516266,9.596863,32,721.406,810.000061,1442.812,1001,13,16,0,0,30,2048,775.5703,1272.42969,37.8696442,16.229,4.8828125,0.0,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
7586,7586,2022-03-20 20:53:22-04:00,60.0,100,100,100,100,100,100,0.72,1.008,3.3920002,3.42400026,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,23.0,25,25.5,15,23,25,1934.09741,2173.913,3.125,10.9375,7.03125,2.34375,3.90625,1.5625,4.817706,21,22,20,21,23,21,23,4005.51636,3404.689,4005.51636,3404.689,4005.51636,3404.689,14.8012247,8.31096,0,1.2631042,100.137909,39.73392,6.32247162,9.589554,32,721.406,810.000061,1442.812,1001,13,16,0,0,30,2048,768.4531,1279.54688,37.5221252,15.7610006,3.90625,0.0,100,1112.59912,69.10987,24,1.51966131,99,2090.50439,81.9054,25,1.5235436
