,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
8066,8066,2022-03-20 21:01:24-04:00,60.0,100,100,100,100,100,100,0.640000045,1.008,3.3920002,3.42400026,0.992000043,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,25,25.5,15,23,25,1906.77966,2173.913,3.90625,15.625,21.09375,7.8125,4.6875,3.90625,9.505206,24,24,22,28,22,23,28,4105.654,4105.654,4105.654,4005.51587,4005.51587,4005.51587,13.73751,11.5836554,0,1.3450681,100.1379,38.45387,6.11878967,9.793236,33,910.854065,3004.6792,1821.70813,997,2,1,0,0,30,2048,527.2578,1520.74219,25.74501,25.8730011,33.203125,0.0,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8067,8067,2022-03-20 21:01:25-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,25,25.5,15,23,25,1923.0769,2166.934,14.84375,5.46875,42.96875,4.6875,3.125,6.25,12.890625,26,25,32,25,24,24,32,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,19.2690125,17.13962,0,1.32722855,100.137894,38.5891533,6.140316,9.771709,33,910.854065,3004.6792,1821.70813,998,3,3,0,0,30,2048,541.0078,1506.99219,26.4163971,26.531002,1.953125,0.9765625,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8068,8068,2022-03-20 21:01:26-04:00,61.9607849,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,25,25.5,15,23,25,1920.34143,2166.934,9.375,14.0625,46.875,13.28125,10.15625,8.59375,17.0572929,28,31,26,25,24,25,31,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,22.434288,20.19755,0,1.63947046,100.137909,38.8975754,6.189392,9.722633,33,910.854065,3004.6792,1821.70813,998,3,3,0,0,30,2048,541.0078,1506.99219,26.4163971,26.052002,2.9296875,0.0,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8069,8069,2022-03-20 21:01:27-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.42400026,0.992000043,1.016,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,25,25.5,15,23,25,1920.34143,2166.934,29.6875,33.59375,20.3125,16.40625,21.09375,34.375,25.9114571,31,29,26,26,25,31,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,34.54688,28.294014,0,1.82204449,100.1379,38.2897949,6.092682,9.819344,32,721.406,810.000061,1442.812,1001,0,3,0,0,30,2048,557.7578,1490.24219,27.2342682,14.993001,0.0,445.3125,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8070,8070,2022-03-20 21:01:29-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,25,25.5,15,23,25,1923.0769,2166.934,32.8125,29.6875,21.875,22.65625,15.625,42.96875,27.6041679,37,35,33,30,37,33,38,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,39.164753,32.49029,0,2.07861423,100.137894,39.16505,6.23195267,9.680073,32,721.406,810.000061,1442.812,1003,2,3,0,1,30,2048,557.2578,1490.74219,27.2098541,14.982,0.0,0.0,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8071,8071,2022-03-20 21:01:29-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,25,25.5,15,23,25,1931.33044,2166.934,51.5625,51.5625,42.1875,39.0625,35.9375,46.09375,44.4010429,41,38,36,35,36,34,41,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,51.9963379,45.26387,0,2.5763483,100.137909,40.28726,6.41051865,9.501507,32,405.000031,405.000031,810.000061,1003,0,6,0,0,30,2048,557.2578,1490.74219,27.2098541,13.651001,0.0,0.0,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8072,8072,2022-03-20 21:01:30-04:00,65.8823547,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,1.016,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,25,25.5,15,23,25,1931.33044,2166.934,96.92308,99.23077,96.92308,97.69231,97.69231,97.69231,97.69231,38,39,42,43,41,40,43,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,70.1135254,62.97873,0,3.33693719,100.137894,42.0658646,6.693531,9.218494,31,405.000031,405.000031,810.000061,1003,0,6,0,0,30,2048,557.2578,1490.74219,27.2098541,13.651001,0.0,0.0,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8073,8073,2022-03-20 21:01:31-04:00,65.8823547,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,1.016,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,25,26.0,15,23,25,1931.33044,2177.41943,95.38461,97.69231,97.69231,98.46154,98.46154,99.23077,97.82051,42,39,43,43,41,41,43,4005.515,4005.515,4005.515,4005.515,4005.515,4005.515,72.8336258,65.6175,0,3.83814883,100.137871,43.6851158,6.951187,8.960838,31,1126.406,3505.50024,2252.812,1002,0,2,0,0,30,2048,558.5664,1489.43359,27.27375,20.274,1.953125,3.90625,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8074,8074,2022-03-20 21:01:32-04:00,65.8823547,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.016,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,25,26.0,15,23,25,1931.33044,2173.913,96.09375,98.4375,97.65625,99.21875,99.21875,100.0,98.4375,43,41,44,44,42,44,45,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,68.23925,65.19522,0,4.071162,100.1379,44.27969,7.04579544,8.86623,33,1126.406,3505.50024,2252.812,996,3,1,0,0,30,2048,551.535156,1496.46484,26.9304276,27.933,0.0,0.0,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
8075,8075,2022-03-20 21:01:33-04:00,65.8823547,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,1.016,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,25,25.5,15,23,25,1917.61365,2173.913,100.0,99.21875,97.65625,99.21875,97.65625,98.4375,98.69792,41,41,42,42,39,40,43,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,68.9542542,65.8279,0,4.142604,100.137917,44.9525337,7.15285873,8.759167,33,1126.406,3505.50024,2252.812,996,5,3,0,0,30,2048,618.2578,1429.74219,30.18837,28.3160019,0.0,0.0,100,1112.59912,69.10987,24,1.51966214,99,2090.61841,81.90521,25,1.52352512
