,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
11089,11089,2022-03-20 21:52:07-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.0,25,25.5,15,23,25,1909.47668,2173.913,90.625,92.96875,95.3125,97.65625,91.40625,98.4375,94.40105,44,44,45,45,41,43,45,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,73.7459641,66.28031,0,3.97648525,100.1379,46.81608,7.4493866,8.462639,34,683.437561,810.000061,1366.87512,1004,13,14,0,0,30,2048,538.707031,1509.293,26.3040543,15.7400007,4.8828125,0.9765625,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11090,11090,2022-03-20 21:52:08-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.0,25,25.5,15,23,25,1906.77966,2177.41943,93.07692,99.23077,96.92308,99.23077,95.38461,98.46154,97.05128,44,42,44,45,43,42,45,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,74.49284,67.12995,0,3.96910381,100.1379,47.5147667,7.560562,8.351463,33,683.437561,810.000061,1366.87512,1005,15,14,0,1,30,2048,547.207031,1500.793,26.7190933,15.644001,8.7890625,0.9765625,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11091,11091,2022-03-20 21:52:09-04:00,62.7451,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.0,25,25.5,15,23,25,1906.77966,2173.913,97.65625,99.21875,96.875,98.4375,99.21875,99.21875,98.4375,43,42,45,45,41,43,45,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,74.22598,66.82674,0,3.82834935,100.137894,46.86873,7.45776367,8.454262,33,405.000031,405.000031,810.000061,1003,0,5,0,0,30,2048,538.707031,1509.293,26.3040543,13.651001,0.0,0.0,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11092,11092,2022-03-20 21:52:10-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.5,25,25.5,15,23,25,1906.77966,2173.913,100.0,100.0,100.0,100.0,98.4375,99.21875,99.609375,44,42,43,45,44,43,45,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,72.79257,65.5206146,0,3.76732588,100.137878,47.0732,7.490299,8.421726,33,405.000031,405.000031,810.000061,1003,0,5,0,0,30,2048,547.207031,1500.793,26.7190933,14.22,0.9765625,0.0,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11093,11093,2022-03-20 21:52:11-04:00,62.7451,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,25,25.5,15,23,25,1906.77966,2177.41943,98.4375,99.21875,98.4375,99.21875,98.4375,99.21875,98.828125,44,43,44,44,43,43,44,4005.517,4005.517,4005.517,4005.517,4005.517,4005.517,73.74922,66.4990845,0,3.6896522,100.137924,47.0886841,7.49276352,8.419262,33,405.000031,405.000031,810.000061,1002,0,5,0,0,30,2048,547.207031,1500.793,26.7190933,13.555,0.0,28.3203125,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11094,11094,2022-03-20 21:52:12-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.5,25,25.5,15,23,25,1906.77966,2173.913,98.46154,100.0,100.0,100.0,99.23077,98.46154,99.35898,43,43,41,44,41,41,44,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,71.80585,64.39151,0,3.96513486,100.1379,47.83772,7.61195,8.300076,33,162.000015,405.000031,324.000031,1002,15,11,0,2,30,2048,547.207031,1500.793,26.7190933,13.836,44.921875,5.859375,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11095,11095,2022-03-20 21:52:13-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.5,25,25.5,15,23,25,1909.47668,2173.913,100.0,99.23077,98.46154,99.23077,100.0,98.46154,99.23077,42,42,42,44,43,44,45,4005.515,4005.515,4005.515,4005.515,4005.515,4005.515,72.48155,65.2916641,0,3.54494333,100.137871,49.37314,7.856266,8.055759,33,162.000015,405.000031,324.000031,1001,18,12,0,1,30,2048,538.707031,1509.293,26.3040543,13.843,42.96875,13.671875,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11096,11096,2022-03-20 21:52:14-04:00,61.9607849,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,25,25.5,15,23,25,1909.47668,2177.41943,63.28125,63.28125,63.28125,69.53125,59.375,62.5,63.5416641,28,29,33,38,27,35,38,4005.51758,4005.51758,4105.656,4005.51758,4005.51758,4005.51758,55.2103958,48.3516426,0,2.76401067,100.137939,49.6913147,7.90689468,8.005131,33,135.0,405.000031,270.0,1001,30,15,0,1,30,2048,547.207031,1500.793,26.7190933,13.949,86.91406,13.671875,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11097,11097,2022-03-20 21:52:15-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,0.992000043,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,25,25.5,15,23,25,1909.47668,2173.913,17.96875,21.875,17.96875,35.15625,16.40625,28.90625,23.046875,26,26,25,27,37,35,35,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,29.309576,22.7554188,0,1.56506634,100.137894,49.29793,7.84429932,8.067726,33,135.0,405.000031,270.0,1001,13,10,0,1,30,2048,547.207031,1500.793,26.7190933,14.045001,66.40625,13.671875,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
11098,11098,2022-03-20 21:52:16-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,25,25.5,15,23,25,1909.47668,2177.41943,50.78125,45.3125,47.65625,36.71875,43.75,51.5625,45.9635429,42,42,43,44,39,41,44,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,49.3887863,42.6172523,0,2.49910879,100.1379,49.7784348,7.92075729,7.991268,33,135.0,405.000031,270.0,999,19,12,0,2,30,2048,547.207031,1500.793,26.7190933,13.7470007,87.890625,12.6953125,100,1112.59924,69.10987,24,1.51966679,99,2091.164,81.91442,25,1.52362561
