,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
15137,2022-03-20 23:00:18,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1920.34143,2173.913,7.03125,13.28125,7.8125,13.28125,4.6875,5.46875,8.59375,22,23,22,22,23,28,28,4005.516,4005.516,4005.516,3104.275,2803.86133,2803.86133,12.3943081,10.2402678,0,1.35013986,100.1379,43.15506,6.866844,9.045181,49,1126.406,3505.50024,2252.812,1305,2,2,0,0,39,2048,512.03125,1535.96875,25.0015259,29.387001,3.90625,0.9765625,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15138,2022-03-20 23:00:19,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1928.57141,2173.913,7.03125,14.84375,9.375,6.25,4.6875,5.46875,7.942706,24,33,23,31,23,24,33,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,10.7167158,8.612102,0,1.3745358,100.1379,43.7218475,6.95703125,8.954994,49,1126.406,3505.50024,2252.812,1302,3,2,0,0,39,2048,532.832031,1515.168,26.017189,28.9030018,0.0,1.953125,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15139,2022-03-20 23:00:20,61.9607849,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1914.89368,2173.913,39.84375,36.71875,37.5,42.96875,34.375,28.90625,36.71875,26,32,25,27,25,29,32,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,35.0156822,32.6104,0,2.25342083,100.1379,45.3122559,7.21009827,8.701927,48,911.250061,3004.6792,1822.50012,1297,10,6,0,3,39,2048,684.914063,1363.08594,33.44307,27.0140018,0.9765625,0.0,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15140,2022-03-20 23:00:21,61.9607849,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1914.89368,2173.913,16.9230766,13.0769253,11.5384579,29.2307682,13.8461533,23.84615,18.07692,23,23,22,22,22,23,25,2903.999,2903.999,2903.999,2903.999,4005.51587,4005.51587,20.7544231,18.5427265,0,1.50915265,100.1379,46.21796,7.35421371,8.557812,50,1252.96851,3505.50024,2505.937,1293,0,1,0,0,39,2048,887.6836,1160.31641,43.3439255,35.170002,0.9765625,0.0,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15141,2022-03-20 23:00:22,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1917.61365,2170.418,52.34375,52.34375,57.8125,62.5,53.125,56.25,55.7291641,34,31,34,37,34,33,37,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,51.44956,49.1565,0,2.076983,100.137894,51.3974228,8.178371,7.733654,50,1252.96851,3505.50024,2505.937,1291,8,5,0,0,39,2048,852.8242,1195.17578,41.6418076,37.595,26.3671875,2.9296875,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15142,2022-03-20 23:00:23,63.92157,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1917.61365,2166.934,51.5625,47.65625,57.03125,57.03125,54.6875,49.21875,52.8645859,34,32,34,36,33,33,35,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,48.6102,46.3400345,0,2.00029445,100.137924,55.8630753,8.888947,7.023079,50,1252.96851,3505.50024,2505.937,1289,10,6,0,0,39,2048,845.3242,1202.67578,41.2755966,37.221,9.765625,0.9765625,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15143,2022-03-20 23:00:24,61.9607849,100,100,100,100,100,100,0.84800005,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1906.77966,2173.913,14.0625,17.96875,15.625,22.65625,14.0625,19.53125,17.3177071,24,33,24,24,25,24,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,18.3032055,16.0886478,0,1.53142333,100.1379,57.1189346,9.088779,6.823246,50,1252.96851,3505.50024,2505.937,1288,11,7,0,0,39,2048,854.9492,1193.05078,41.7455673,38.566,29.296875,2.9296875,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15144,2022-03-20 23:00:25,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1920.34143,2173.913,12.3076916,13.8461533,3.8461566,6.153846,4.615384,7.69230747,8.076924,24,25,22,23,32,28,32,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,14.4170122,12.2324944,0,1.45903218,100.137894,56.7557831,9.030994,6.881031,50,1252.96851,3505.50024,2505.937,1286,8,6,0,0,39,2048,854.9492,1193.05078,41.7455673,37.6200027,29.296875,3.90625,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15145,2022-03-20 23:00:26,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1920.34143,2166.934,18.75,16.40625,15.625,3.125,9.375,33.59375,16.1458321,24,25,23,24,22,30,30,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,22.2909279,20.0848923,0,1.70864618,100.1379,58.4935875,9.307514,6.60451126,50,1252.96851,3505.50024,2505.937,1284,10,6,0,0,39,2048,859.4258,1188.57422,41.96415,37.604,387.6953,8.7890625,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
15146,2022-03-20 23:00:27,60.0,100,100,100,100,100,100,1.008,1.008,3.37600017,3.3920002,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1920.34143,2170.418,22.65625,21.09375,12.5,20.3125,25.0,39.0625,23.4375,26,26,24,27,25,31,31,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,27.80799,25.5249672,0,1.93946815,100.137909,59.3559456,9.444733,6.467293,52,1252.96851,3505.50024,2505.937,1280,81,62,0,2,39,2048,1158.97266,889.027344,56.59046,66.299,97.65625,8.7890625,100,1112.61292,69.10974,24,1.51965857,99,2092.61377,81.9128342,25,1.52365553
