,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
16068,16068,2022-03-20 23:15:53-04:00,60.0,100,100,100,100,100,100,0.91200006,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1914.89368,2166.934,20.3125,20.3125,26.5625,27.34375,23.4375,24.21875,23.6979179,26,24,23,23,22,23,26,4005.516,3705.10254,4005.516,4005.516,4005.516,4005.516,24.3623276,22.10549,0,1.86469638,100.1379,58.8117142,9.358135,6.55389,52,1252.96851,3505.50024,2505.937,1246,55,45,0,0,38,2048,1123.97656,924.023438,54.8816681,62.949,46.875,8.7890625,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16069,16069,2022-03-20 23:15:54-04:00,60.0,100,100,100,100,100,100,0.904000044,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1912.18127,2166.934,6.25,7.03125,2.34375,4.6875,3.125,8.59375,5.338544,21,23,21,22,22,22,24,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,10.21038,8.064973,0,1.34103274,100.1379,58.8233681,9.359989,6.55203629,53,1252.96851,3505.50024,2505.937,1245,56,45,0,0,38,2048,1122.22656,925.773438,54.79622,68.774,42.96875,452.148438,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16070,16070,2022-03-20 23:15:55-04:00,60.0,100,100,100,100,100,100,0.824000061,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1914.89368,2166.934,6.25,11.71875,7.03125,5.46875,3.125,11.71875,7.552081,24,24,21,23,23,23,24,4005.516,3705.10229,2903.99927,4005.516,4005.516,4005.516,13.2187366,11.047451,0,1.494078,100.1379,58.8892937,9.37048,6.541546,54,1252.96851,3505.50024,2505.937,1244,54,44,0,0,38,2048,1125.85156,922.148438,54.97322,68.291,39.0625,5.859375,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16071,16071,2022-03-20 23:15:56-04:00,60.0,100,100,100,100,100,100,0.688,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1914.89368,2166.934,3.125,5.46875,0.78125,4.6875,3.90625,7.03125,4.166669,22,22,21,22,22,22,23,4005.51587,4005.51587,4005.51587,3404.68848,3104.27466,4005.51587,10.1370316,7.999229,0,1.333114,100.137894,58.83871,9.362431,6.549595,54,1252.96851,3505.50024,2505.937,1244,54,43,0,0,38,2048,1125.97656,922.023438,54.9793243,66.4220047,41.015625,7.8125,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16072,16072,2022-03-20 23:15:57-04:00,60.0,100,100,100,100,100,100,0.824000061,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1912.18127,2166.934,6.25,14.0625,0.78125,5.46875,5.46875,10.15625,7.03125,22,23,21,22,22,22,24,3705.10229,4005.516,4005.516,3705.10229,4005.516,3705.10229,12.21135,10.018486,0,1.476104,100.1379,58.8593025,9.365707,6.546318,54,1252.96851,3505.50024,2505.937,1244,55,44,0,0,38,2048,1125.97656,922.023438,54.9793243,67.36,44.921875,8.7890625,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16073,16073,2022-03-20 23:15:58-04:00,60.0,100,100,100,100,100,100,0.736000061,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1914.89368,2166.934,1.5625,7.03125,0.78125,4.6875,1.5625,7.03125,3.77604365,22,23,21,22,22,23,24,3404.68848,3805.24023,4005.51587,4005.51587,3805.24023,4005.51587,10.0253448,7.883553,0,1.33180141,100.1379,58.86609,9.366787,6.54523849,54,1252.96851,3505.50024,2505.937,1243,54,43,0,0,38,2048,1125.97656,922.023438,54.9793243,64.4780045,46.875,8.7890625,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16074,16074,2022-03-20 23:15:59-04:00,60.0,100,100,100,100,100,100,0.72,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1906.77966,2166.934,4.615384,9.230768,7.69230747,3.8461566,2.30768919,6.153846,5.64102554,22,23,20,22,22,22,24,4005.51587,4005.51587,3404.68848,4005.51587,4005.51587,4005.51587,12.0534887,9.878759,0,1.4761039,100.137894,58.8883858,9.370335,6.541691,54,1252.96851,3505.50024,2505.937,1243,54,43,0,0,38,2048,1126.07031,921.9297,54.983902,70.7560043,555.664063,19.53125,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16075,16075,2022-03-20 23:16:00-04:00,60.0,100,100,100,100,100,100,0.736000061,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1917.61365,2166.934,2.30768919,6.153846,3.8461566,2.30768919,1.53846145,9.230768,4.23076725,21,23,21,22,21,22,24,4005.51636,4005.51636,4005.51636,3705.10278,4005.51636,3404.689,10.5850353,8.437302,0,1.35492551,100.137909,58.88608,9.369968,6.542057,55,1252.96851,3505.50024,2505.937,1242,58,44,0,0,38,2048,1133.44531,914.5547,55.34401,70.1000061,42.96875,454.101563,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16076,16076,2022-03-20 23:16:01-04:00,60.0,100,100,100,100,100,100,0.776,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1917.61365,2170.418,4.6875,12.5,11.71875,5.46875,2.34375,10.9375,7.942706,30,24,23,23,22,23,30,4005.51587,4005.51587,3705.102,3404.68848,2903.999,3705.102,13.0613394,10.8545961,0,1.5910579,100.137894,58.9665375,9.382771,6.529255,55,1252.96851,3505.50024,2505.937,1242,58,44,0,0,38,2048,1141.94531,906.0547,55.75905,66.624,58.59375,10.7421875,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
16077,16077,2022-03-20 23:16:02-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1917.61365,2163.46143,6.153846,5.384612,10.0000019,4.615384,3.8461566,8.4615345,6.410265,22,23,22,23,23,23,24,4005.51587,3705.10229,4005.51587,2903.999,2903.999,4005.51587,11.5463552,9.371198,0,1.47442007,100.1379,58.9956627,9.387405,6.52462,55,1252.96851,3505.50024,2505.937,1244,57,44,0,0,38,2048,1133.44531,914.5547,55.34401,69.4370041,62.5,451.171875,100,1112.61292,69.10974,25,1.51966059,99,2092.7168,81.91436,25,1.52363753
