,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5934,2022-03-20 20:25:07,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1931.33044,2170.418,6.92307949,16.9230766,16.9230766,16.9230766,22.3076935,4.615384,14.1025724,22,24,22,32,32,23,32,4005.51636,4105.6543,4005.51636,4105.6543,4005.51636,4005.51636,23.7101326,17.2147312,0,1.28657162,100.137909,35.79155,5.69516,10.2168655,42,135.0,405.000031,270.0,1156,0,5,0,0,35,2048,308.1797,1739.82031,15.0478363,13.468,15.625,0.0,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5935,2022-03-20 20:25:08,60.7843132,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1931.33044,2170.418,6.25,30.46875,22.65625,23.4375,14.0625,14.0625,18.4895821,23,25,22,34,22,23,34,4005.516,4105.654,4105.654,4105.654,4005.516,4005.516,26.87931,20.3820019,0,1.24135017,100.1379,36.16817,5.755089,10.1569366,42,135.0,405.000031,270.0,1153,0,5,0,0,35,2048,316.0547,1731.94531,15.4323578,13.3790007,15.625,0.0,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5936,2022-03-20 20:25:10,60.7843132,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1917.61365,2173.913,30.0847416,21.1864357,11.4406824,11.0169525,7.62711763,23.3050823,17.4434967,32,24,24,24,22,23,32,4005.51538,4005.51538,4105.65332,4005.51538,4005.51538,4005.51538,26.1146,19.6025486,0,1.30591273,100.137886,36.4292946,5.79663849,10.115387,41,135.0,405.000031,270.0,1150,0,5,0,0,35,2048,315.9297,1732.07031,15.4262543,13.3790007,15.625,0.0,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5937,2022-03-20 20:25:11,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1920.34143,2170.418,8.064514,24.19355,13.7096767,3.22580338,6.45161867,51.6129,17.876339,22,24,22,22,22,29,29,4005.516,4005.516,4005.516,4005.516,4005.516,4105.654,26.6544056,20.1226616,0,1.280856,100.1379,36.742775,5.84651947,10.065506,41,135.0,405.000031,270.0,1149,3,6,0,1,35,2048,311.5547,1736.44531,15.2126312,13.3720007,15.625,0.0,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5938,2022-03-20 20:25:12,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1912.18127,2173.913,3.125,5.46875,2.34375,10.9375,0.78125,50.0,12.109375,23,23,22,22,22,29,29,4005.51587,4005.51587,4005.51587,4105.654,4005.51587,4005.51587,20.4754848,13.973958,0,1.25044155,100.137894,36.67313,5.835438,10.0765877,41,135.0,405.000031,270.0,1148,0,5,0,0,35,2048,311.5547,1736.44531,15.2126312,13.3810005,15.625,0.0,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5939,2022-03-20 20:25:14,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2166.934,3.125,8.59375,4.6875,0.0,28.125,21.875,11.0677061,23,24,22,22,30,24,30,4005.5166,4105.6543,4105.6543,4005.5166,4005.5166,4105.6543,20.9981632,14.4869843,0,1.23451746,100.137917,36.6097221,5.825348,10.0866776,41,135.0,405.000031,270.0,1141,0,5,0,0,34,2048,311.5547,1736.44531,15.2126312,13.3810005,15.625,0.0,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5940,2022-03-20 20:25:15,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2166.934,7.69230747,7.69230747,34.615387,43.58974,10.25641,14.1025658,19.65812,23,24,29,33,24,24,33,4005.515,4105.653,4005.515,4005.515,4005.515,4005.515,29.3719273,22.83376,0,1.37693608,100.137871,36.6151161,5.826206,10.0858192,40,135.0,405.000031,270.0,1136,0,5,0,0,34,2048,311.5547,1736.44531,15.2126312,13.3720007,15.625,440.4297,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5941,2022-03-20 20:25:18,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1931.33044,2170.418,39.74359,14.6551723,7.327586,4.70085144,3.8461566,44.4444427,19.119627,33,26,23,35,32,29,32,4005.51514,4005.51514,4105.653,4005.51514,4105.653,4205.791,25.423996,18.9023075,0,1.24193573,100.137878,36.8132553,5.85773468,10.0542908,41,135.0,405.000031,270.0,1130,0,5,0,0,34,2048,311.5547,1736.44531,15.2126312,13.3720007,0.0,0.0,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5942,2022-03-20 20:25:19,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1920.34143,2166.934,21.9298248,23.68421,18.4210548,29.82456,5.26316166,0.877189636,16.6666679,23,34,22,24,22,23,34,4005.51587,4105.654,4005.51587,4105.654,4005.51587,4005.51587,24.2859077,17.74813,0,1.44416761,100.1379,37.9144135,6.03295135,9.879074,40,135.0,405.000031,270.0,1128,0,6,0,0,34,2048,311.5547,1736.44531,15.2126312,13.3810005,0.0,0.0,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
5943,2022-03-20 20:25:20,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1909.47668,2173.913,21.875,25.0,8.59375,9.375,4.6875,6.25,12.6302061,30,24,22,24,22,23,30,4005.51587,4005.51587,4005.51587,4105.654,4005.51587,4005.51587,22.1409245,15.5999022,0,1.50850534,100.1379,38.0053,6.047413,9.864613,40,135.0,405.000031,270.0,1124,0,5,0,0,34,2048,311.5547,1736.44531,15.2126312,13.3810005,15.625,442.3828,100,1112.4978,69.10987,25,1.51969957,99,2089.9082,81.90494,25,1.52342582
