,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6484,6484,2022-03-20 20:34:45-04:00,60.7843132,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1912.18127,2173.913,9.375,25.0,11.71875,6.25,13.28125,7.8125,12.2395811,22,24,26,23,22,24,26,801.1032,801.1032,1602.20642,4005.516,4005.516,4005.516,19.4766331,14.5427046,0,1.42088509,100.1379,36.5121231,5.80981827,10.1022072,42,1126.406,3505.50024,2252.812,1145,3,1,0,0,35,2048,340.7422,1707.25781,16.6378021,29.0010014,2.9296875,0.9765625,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6485,6485,2022-03-20 20:34:46-04:00,60.7843132,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1920.34143,2166.934,16.1538486,29.9999962,9.230768,33.07692,6.92307949,5.384612,16.7948723,23,24,23,31,30,33,33,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,22.4897156,20.3511162,0,1.25602126,100.1379,37.23941,5.92554474,9.986481,43,1126.406,3505.50024,2252.812,1140,2,1,0,0,35,2048,348.6172,1699.38281,17.0223236,28.3260021,15.625,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6486,6486,2022-03-20 20:34:47-04:00,62.7451,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1920.34143,2166.934,9.375,26.5625,11.71875,46.09375,5.46875,21.09375,20.0520821,23,24,23,34,23,32,32,4005.51636,4105.6543,4005.51636,4005.51636,4005.51636,4005.51636,22.5208645,20.38676,0,1.24759853,100.137909,37.6111221,5.98469162,9.927334,43,1126.406,3505.50024,2252.812,1139,0,1,0,0,35,2048,348.4922,1699.50781,17.01622,28.5220013,0.0,442.3828,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6487,6487,2022-03-20 20:34:48-04:00,61.9607849,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2170.418,3.90625,42.1875,16.40625,30.46875,0.78125,7.8125,16.9270821,22,31,22,23,22,23,31,4005.51538,4105.65332,4005.51538,4005.51538,4005.51538,4005.51538,20.8251457,18.6615677,0,1.29404473,100.137886,37.8647652,6.025051,9.886974,43,911.250061,3004.6792,1822.50012,1140,0,1,0,0,35,2048,348.3672,1699.63281,17.0101166,26.065,15.625,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6488,6488,2022-03-20 20:34:49-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,0.992000043,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1928.57141,2166.934,2.34375,8.59375,46.09375,6.25,9.375,17.96875,15.1041689,23,30,33,24,23,24,33,4005.51636,4105.6543,4105.6543,4005.51636,4005.51636,4005.51636,20.0157528,17.86264,0,1.28291845,100.137909,37.8765373,6.026924,9.885101,43,911.250061,3004.6792,1822.50012,1138,0,1,0,0,35,2048,343.9922,1704.00781,16.7964935,25.9690018,0.0,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6489,6489,2022-03-20 20:34:51-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1934.09741,2173.913,1.5625,28.90625,33.59375,21.09375,9.375,0.78125,15.8854189,23,24,31,24,23,24,31,4005.516,4105.654,4005.516,4105.654,4005.516,4005.516,20.7586842,17.1949844,0,1.23871136,100.1379,37.9706573,6.04190063,9.870125,42,683.437561,810.000061,1366.87512,1138,0,3,0,0,35,2048,343.9922,1704.00781,16.7964935,14.8980007,15.625,442.3828,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6490,6490,2022-03-20 20:34:53-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1920.34143,2166.934,1.5625,32.03125,21.09375,7.8125,0.0,0.0,10.4166689,22,23,22,31,22,23,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4105.654,20.1300812,13.6237984,0,1.1985544,100.1379,37.88759,6.02868271,9.883343,41,683.437561,810.000061,1366.87512,1140,0,3,0,0,34,2048,343.9922,1704.00781,16.7964935,14.8980007,15.625,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6491,6491,2022-03-20 20:34:55-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1917.61365,2166.934,3.90625,23.4375,3.90625,39.84375,20.3125,21.875,18.8802071,22,24,22,29,22,23,29,4005.51563,4105.65332,4005.51563,4005.51563,4005.51563,4005.51563,26.273983,19.7660465,0,1.249807,100.137886,37.94805,6.03830338,9.873722,41,202.500015,405.000031,405.000031,1138,0,5,0,0,34,2048,343.9922,1704.00781,16.7964935,13.3720007,0.0,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6492,6492,2022-03-20 20:34:57-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1909.47668,2166.934,13.28125,2.34375,46.09375,32.03125,5.46875,17.1875,19.4010429,23,24,32,28,30,24,30,4005.516,4105.6543,4005.516,4105.6543,4005.516,4005.516,26.0499573,19.5417614,0,1.2622211,100.1379,38.0565071,6.055561,9.856464,40,135.0,405.000031,270.0,1132,0,6,0,0,34,2048,343.9922,1704.00781,16.7964935,13.3810005,0.0,442.3828,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6493,6493,2022-03-20 20:34:58-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2166.934,1.81818008,14.5454521,37.272728,17.272728,13.6363621,2.72727013,14.5454588,23,23,32,24,22,25,32,4105.65332,4005.51538,4105.65332,4005.51538,4005.51538,4005.51538,23.9804516,17.4701881,0,1.41432476,100.137886,38.115242,6.064907,9.847118,40,135.0,405.000031,270.0,1126,0,5,0,0,34,2048,343.9922,1704.00781,16.7964935,13.3720007,15.625,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6494,6494,2022-03-20 20:34:59-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1931.33044,2173.913,17.1875,22.65625,10.9375,11.71875,6.25,2.34375,11.8489561,32,23,22,24,22,24,32,4005.51587,4005.51587,4005.51587,4105.654,4005.51587,4005.51587,21.759285,15.2141008,0,1.49199021,100.1379,39.2963524,6.252846,9.65918,40,135.0,405.000031,270.0,1125,0,5,0,0,34,2048,343.9922,1704.00781,16.7964935,13.3810005,15.625,442.3828,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6495,6495,2022-03-20 20:35:00-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1920.34143,2170.418,20.3125,13.28125,7.03125,12.5,3.125,10.15625,11.0677061,34,34,23,24,22,23,35,4105.6543,4105.6543,4005.5166,4105.6543,4005.5166,4005.5166,22.6712685,16.1222038,0,1.51988339,100.137909,40.0579948,6.3740387,9.537987,40,135.0,405.000031,270.0,1123,3,6,0,1,34,2048,343.9922,1704.00781,16.7964935,13.468,16.6015625,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6496,6496,2022-03-20 20:35:01-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1909.47668,2173.913,19.53125,20.3125,15.625,18.75,10.9375,10.9375,16.015625,33,24,23,24,22,24,33,4005.51563,4005.51563,4005.51563,4005.51563,4105.65332,4005.51563,23.7714348,17.2175083,0,1.6213448,100.137894,40.46478,6.43876648,9.473259,40,135.0,405.000031,270.0,1122,0,5,0,0,34,2048,343.9922,1704.00781,16.7964935,13.3810005,15.625,442.3828,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6497,6497,2022-03-20 20:35:02-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,0.992000043,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1912.18127,2173.913,10.15625,17.1875,1.5625,14.0625,7.03125,8.59375,9.765625,22,32,25,23,22,24,32,4005.516,4105.6543,4005.516,4005.516,4005.516,4005.516,21.1408329,14.618928,0,1.45735061,100.1379,40.78651,6.48995972,9.422066,39,135.0,405.000031,270.0,1119,0,5,0,0,34,2048,343.9922,1704.00781,16.7964935,13.375001,0.9765625,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
6498,6498,2022-03-20 20:35:04-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2166.934,4.6875,27.34375,15.625,7.8125,3.90625,0.0,9.895831,23,23,29,24,22,24,29,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,21.3260956,14.7803144,0,1.64461088,100.1379,41.6329,6.6246376,9.287388,40,135.0,405.000031,270.0,1114,0,5,0,0,34,2048,343.9922,1704.00781,16.7964935,13.3790007,15.625,0.0,100,1112.57373,69.10987,24,1.51966929,99,2090.26953,81.90403,25,1.52357316
