,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6077,6077,2022-03-20 20:27:38-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1917.61365,2166.934,25.3846169,39.9999962,26.1538448,23.84615,15.3846149,29.2307682,26.6666641,25,27,24,25,24,30,30,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,28.0713825,25.8345566,0,1.79014981,100.137909,50.36946,8.014801,7.89722443,53,1252.96851,3505.50024,2505.937,1058,100,64,0,0,32,2048,1274.31641,773.6836,62.22248,91.2680054,43.9453125,48.828125,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6078,6078,2022-03-20 20:27:39-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1906.77966,2170.418,29.6875,29.6875,18.75,30.46875,25.0,28.90625,27.0833321,38,27,28,28,26,25,37,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,29.9000778,27.6816521,0,1.81531239,100.137894,50.429966,8.024429,7.887596,53,1252.96851,3505.50024,2505.937,1057,95,61,0,0,33,2048,1281.94141,766.0586,62.5947952,90.62501,41.9921875,47.8515625,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6079,6079,2022-03-20 20:27:40-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1906.77966,2166.934,17.96875,28.125,21.875,22.65625,36.71875,22.65625,25.0,32,29,27,31,29,26,31,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,30.525835,28.23939,0,1.91604936,100.1379,50.3668442,8.014385,7.89764,54,1252.96851,3505.50024,2505.937,1063,100,65,0,0,33,2048,1282.31641,765.6836,62.6131058,92.03001,37.109375,48.828125,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6080,6080,2022-03-20 20:27:41-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1906.77966,2166.934,30.46875,35.9375,28.90625,35.15625,40.625,28.90625,33.3333321,31,35,33,32,29,26,34,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,32.6079178,30.3618355,0,1.823876,100.137909,49.7347069,7.91379929,7.998226,48,1252.96851,3505.50024,2505.937,1076,0,1,0,0,34,2048,1283.81641,764.1836,62.686348,33.629,77.14844,105.46875,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6081,6081,2022-03-20 20:27:42-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1906.77966,2173.913,22.65625,39.84375,33.59375,36.71875,38.28125,33.59375,34.1145821,28,34,32,27,36,29,36,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,38.4261246,36.04757,0,2.19430733,100.137894,52.10467,8.290909,7.62111664,46,1252.96851,3505.50024,2505.937,1090,1,1,0,1,34,2048,1015.32813,1032.67188,49.57657,33.423,0.0,40.0390625,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6082,6082,2022-03-20 20:27:43-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1906.77966,2173.913,32.03125,32.03125,30.46875,35.9375,35.9375,34.375,33.4635429,25,26,24,25,25,29,29,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,31.32962,29.0474434,0,1.847972,100.1379,52.15154,8.298367,7.613659,46,1252.96851,3505.50024,2505.937,1096,0,1,0,0,34,2048,1084.53906,963.460938,52.95601,33.3500023,2.9296875,0.0,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6083,6083,2022-03-20 20:27:44-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1920.34143,2170.418,14.84375,30.46875,10.15625,36.71875,24.21875,19.53125,22.65625,25,30,24,30,25,25,30,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,27.640398,25.4760418,0,1.48688138,100.137886,52.2085533,8.307438,7.60458755,46,1252.96851,3505.50024,2505.937,1097,0,1,0,0,34,2048,1084.94922,963.0508,52.9760361,33.519,44.921875,47.8515625,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6084,6084,2022-03-20 20:27:45-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.3920002,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,26.0,15,23,25,1928.57141,2166.934,50.78125,57.8125,50.0,53.90625,50.78125,63.28125,54.4270859,34,31,34,31,31,31,35,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,46.2763023,43.5752373,0,3.31213117,100.137924,53.36166,8.490921,7.42110443,52,1252.96851,3505.50024,2505.937,1088,99,49,0,1,34,2048,1071.86328,976.1367,52.3370743,88.732,668.9453,33.203125,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6085,6085,2022-03-20 20:27:46-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.3920002,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,26,26.0,15,23,25,1914.89368,2170.418,44.53125,53.125,44.53125,60.15625,57.03125,50.78125,51.69271,34,31,34,32,29,31,33,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,43.4404335,41.01192,0,2.653332,100.137878,53.3730469,8.492733,7.41929245,54,1252.96851,3505.50024,2505.937,1086,99,48,0,1,34,2048,1078.69531,969.3047,52.67067,89.590004,190.429688,74.21875,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
6086,6086,2022-03-20 20:27:47-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.3920002,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.5,26,26.0,15,23,25,1914.89368,2166.934,50.0,55.46875,50.0,60.9375,48.4375,57.03125,53.6458359,38,32,32,33,34,36,34,4005.5166,4005.5166,4005.5166,4005.5166,4005.5166,4005.5166,45.3737946,42.9543839,0,2.74105668,100.137917,53.7441139,8.551777,7.36024857,55,1252.96851,3505.50024,2505.937,1085,99,48,0,1,34,2048,1080.57031,967.4297,52.7622223,90.202,114.257813,40.0390625,100,1112.51062,69.10987,25,1.51969457,99,2090.01123,81.9051361,25,1.52359617
