,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
14060,2022-03-20 22:42:10,60.0,100,100,100,100,100,100,0.632,1.008,3.37600017,3.42400026,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1934.09741,2166.934,3.90625,10.9375,0.0,0.78125,1.5625,0.0,2.86458135,21,22,21,20,21,21,23,1101.51746,801.1036,4005.51782,4005.51782,4005.51782,4005.51782,13.8378477,7.3511157,0,1.28068447,100.137947,42.59194,6.77724075,9.134785,49,324.000031,405.000031,648.000061,1374,9,12,0,0,41,2048,306.75,1741.25,14.9780273,14.142,0.9765625,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14061,2022-03-20 22:42:11,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1931.33044,2166.934,1.5625,14.84375,7.8125,4.6875,9.375,35.9375,12.3697939,22,23,22,23,22,30,30,4105.6543,4005.5166,4005.5166,4005.5166,4005.5166,4105.6543,19.4095821,12.9204006,0,1.17798,100.137917,43.0077667,6.84340668,9.068619,49,162.000015,405.000031,324.000031,1366,0,5,0,0,41,2048,297.875,1750.125,14.5446777,13.479001,15.625,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14062,2022-03-20 22:42:12,61.9607849,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1917.61365,2170.418,8.59375,12.5,2.34375,4.6875,1.5625,39.0625,11.4583311,22,24,22,22,22,31,31,4205.792,4005.51636,4005.51636,4005.51636,4005.51636,4005.51636,20.1814022,13.68943,0,1.26729512,100.137909,43.5413742,6.928314,8.983711,49,162.000015,405.000031,324.000031,1358,0,5,0,0,40,2048,305.75,1742.25,14.9291992,13.5710011,0.0,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14063,2022-03-20 22:42:13,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1906.77966,2173.913,17.1875,7.8125,10.9375,7.8125,0.0,26.5625,11.71875,22,25,22,23,23,32,32,4105.654,4105.654,4105.654,4005.516,4105.654,4005.516,21.8762569,15.3785677,0,1.31158876,100.1379,43.6654358,6.94805527,8.96397,48,135.0,405.000031,270.0,1350,0,5,0,0,40,2048,305.75,1742.25,14.9291992,13.479001,0.0,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14064,2022-03-20 22:42:14,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.42400026,0.992000043,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1909.47668,2173.913,18.75,28.90625,7.8125,0.0,0.0,4.6875,10.0260439,34,24,23,22,23,23,32,4005.51587,4105.654,4005.51587,4005.51587,4105.654,4105.654,19.9339352,13.428401,0,1.18078768,100.137894,43.81875,6.97245026,8.939575,48,135.0,405.000031,270.0,1342,0,5,0,0,40,2048,305.75,1742.25,14.9291992,13.479001,0.0,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14065,2022-03-20 22:42:15,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1909.47668,2173.913,15.625,21.875,20.3125,0.0,0.0,14.84375,12.109375,23,25,22,23,22,32,32,4105.654,4105.654,4005.51587,4005.51587,4105.654,4005.51587,21.4182625,14.8929825,0,1.29775465,100.1379,43.9577,6.99456024,8.917465,48,135.0,405.000031,270.0,1333,0,5,0,0,40,2048,305.75,1742.25,14.9291992,13.5750008,0.0,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14066,2022-03-20 22:42:16,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,1.0,1.016,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1920.34143,2173.913,23.4375,32.03125,0.78125,0.78125,0.0,3.90625,10.15625,22,28,21,22,22,22,28,4005.5166,4105.6543,4005.5166,4005.5166,4105.6543,4005.5166,19.0178757,12.5408936,0,1.19287944,100.137917,43.99826,7.00101471,8.911011,47,135.0,405.000031,270.0,1325,0,5,0,0,39,2048,305.75,1742.25,14.9291992,13.479001,0.0,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14067,2022-03-20 22:42:17,60.0,100,100,100,100,100,100,1.0,1.008,3.37600017,3.42400026,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1931.33044,2173.913,20.3125,32.8125,5.46875,7.03125,0.0,3.125,11.4583311,23,34,22,24,23,23,34,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4105.654,20.9101334,14.385046,0,1.2892673,100.137894,44.07138,7.01264954,8.899376,47,135.0,405.000031,270.0,1316,2,7,0,1,39,2048,305.75,1742.25,14.9291992,13.479001,0.0,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14068,2022-03-20 22:42:18,60.0,100,100,100,100,100,100,0.92,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1917.61365,2173.913,16.40625,17.1875,19.53125,21.09375,10.15625,24.21875,18.0989571,23,24,27,30,24,24,30,4005.51587,4005.51587,3104.27466,2503.44727,4005.51587,4005.51587,23.5201988,16.9733658,0,1.48789179,100.137894,43.09287,6.856949,9.055077,47,135.0,405.000031,270.0,1308,2,6,0,0,39,2048,297.25,1750.75,14.51416,13.479001,8.7890625,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
14069,2022-03-20 22:42:19,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1917.61365,2173.913,14.0625,27.34375,8.59375,21.09375,16.40625,14.0625,16.9270821,27,29,23,23,33,24,34,4105.654,4005.516,4005.516,4105.654,4105.654,4105.654,24.6701488,18.1163673,0,1.52710557,100.1379,43.7042961,6.954239,8.957787,47,135.0,405.000031,270.0,1298,2,6,0,1,39,2048,305.75,1742.25,14.9291992,13.5750008,15.625,0.0,100,1112.6073,69.1098,25,1.5196619,99,2092.32349,81.9133,25,1.52368677
