,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
14827,14827,2022-03-20 22:55:05-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.42400026,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1931.33044,2173.913,20.3125,6.25,6.25,5.46875,5.46875,22.65625,11.0677061,23,23,27,23,22,29,29,4105.6543,4105.6543,4105.6543,4005.516,4105.6543,4005.516,20.2503338,13.7743864,0,1.246922,100.1379,42.31881,6.73378,9.178246,49,324.000031,405.000031,648.000061,1359,1,6,0,0,41,2048,322.125,1725.875,15.72876,13.6710005,15.625,0.0,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14828,14828,2022-03-20 22:55:07-04:00,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1931.33044,2166.934,1.53846145,11.5384579,3.076923,23.0769215,14.6153812,6.153846,9.999996,23,24,22,31,22,23,31,4005.51563,4105.65332,4005.51563,4005.51563,4005.51563,4105.65332,19.7537632,13.2744446,0,1.21142364,100.137886,42.5941,6.777584,9.134441,49,324.000031,405.000031,648.000061,1353,0,5,0,0,40,2048,330.0,1718.0,16.1132813,13.767,15.625,0.0,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14829,14829,2022-03-20 22:55:08-04:00,60.7843132,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1931.33044,2173.913,9.375,7.8125,3.125,39.0625,0.0,11.71875,11.8489561,35,25,25,32,22,24,35,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,21.9140873,15.3908606,0,1.33764827,100.1379,42.9187241,6.829239,9.082787,48,324.000031,405.000031,648.000061,1346,2,6,0,1,40,2048,330.0,1718.0,16.1132813,13.767,15.625,0.0,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14830,14830,2022-03-20 22:55:09-04:00,60.7843132,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1917.61365,2173.913,12.5,9.375,0.0,18.75,3.90625,18.75,10.546875,22,24,22,23,23,32,32,4005.51636,4105.6543,4005.51636,4005.51636,4105.6543,4105.6543,19.5927162,13.0942688,0,1.1727668,100.137909,43.0777931,6.85454941,9.057476,48,135.0,405.000031,270.0,1337,0,5,0,0,40,2048,330.0,1718.0,16.1132813,13.479001,15.625,0.0,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14831,14831,2022-03-20 22:55:10-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.42400026,0.992000043,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1909.47668,2166.934,3.125,22.65625,6.25,11.71875,0.78125,21.875,11.0677061,22,34,22,23,24,31,33,4005.51587,4105.654,4005.51587,4105.654,4105.654,4105.654,21.3467216,14.836853,0,1.27661479,100.1379,43.21672,6.87665558,9.03537,48,135.0,405.000031,270.0,1328,2,6,0,1,40,2048,330.0,1718.0,16.1132813,13.5650005,15.625,0.0,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14832,14832,2022-03-20 22:55:11-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1920.34143,2166.934,1.5625,44.53125,3.90625,3.125,0.0,10.9375,10.6770811,23,28,22,23,23,23,28,4005.51587,4105.654,4005.51587,4005.51587,4005.51587,4005.51587,18.3898983,11.8916712,0,1.18231714,100.137894,43.25369,6.882538,9.029488,47,135.0,405.000031,270.0,1321,0,5,0,0,39,2048,330.0,1718.0,16.1132813,13.479001,0.0,0.0,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14833,14833,2022-03-20 22:55:11-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1923.0769,2166.934,6.25,35.9375,3.125,1.5625,1.5625,14.84375,10.546875,22,26,22,22,25,27,27,4005.51587,4005.51587,4005.51587,4105.654,4005.51587,4005.51587,19.63055,13.1385345,0,1.20688725,100.137894,43.43114,6.910774,9.001251,47,135.0,405.000031,270.0,1313,0,6,0,0,39,2048,330.0,1718.0,16.1132813,13.661,0.0,0.0,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14834,14834,2022-03-20 22:55:12-04:00,60.0,100,100,100,100,100,100,0.656,1.008,3.3920002,3.40800023,0.992000043,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1923.0769,2173.913,13.28125,27.34375,8.59375,10.9375,16.40625,31.25,17.96875,23,23,23,23,26,23,26,4005.514,4005.514,4005.514,4005.514,4005.514,4005.514,25.2301254,18.6593628,0,1.56400812,100.137848,42.3799438,6.74350739,9.168518,47,135.0,405.000031,270.0,1305,2,6,0,0,39,2048,331.25,1716.75,16.1743164,13.477,8.7890625,0.9765625,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14835,14835,2022-03-20 22:55:14-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1931.33044,2173.913,11.5384579,13.8461533,14.6153812,10.0000019,13.0769253,33.8461533,16.1538429,23,25,22,23,22,30,40,4005.5188,4005.5188,4105.65674,4005.5188,4005.5188,4005.5188,22.3713436,19.1788731,0,1.54695261,100.13797,43.2542648,6.88262939,9.029396,48,1126.406,3505.50024,2252.812,1292,0,1,0,0,39,2048,330.0,1718.0,16.1132813,28.5480022,15.625,0.0,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
14836,14836,2022-03-20 22:55:15-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2166.934,9.375,18.75,0.78125,36.71875,0.0,3.90625,11.5885439,23,32,22,24,22,23,32,4005.51538,4005.51538,4005.51538,4105.65332,4105.65332,4005.51538,15.841835,13.6973667,0,1.25427711,100.137886,43.0963974,6.85750961,9.054516,48,1126.406,3505.50024,2252.812,1284,0,1,0,0,39,2048,330.0,1718.0,16.1132813,28.5480022,15.625,444.335938,100,1112.61182,69.10976,25,1.51965868,99,2092.516,81.91286,25,1.52366614
