,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
7174,2022-03-21 03:36:23,60.0,100,100,100,100,100,100,0.616000056,1.008,3.37600017,3.42400026,1.0,0.992000043,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,29.5,26,25.5,15,23,25,1925.82031,2180.937,0.78125,9.375,0.0,0.0,0.0,0.0,1.69270635,23,24,23,23,23,23,26,3004.14185,3504.832,2603.5896,1702.347,801.1045,801.1045,4.792532,3.521656,0.493983567,1.17461276,100.138062,36.95233,5.853882,9.987831,100,1112.93408,69.10974,25,1.51951349,99,2099.22241,82.00938,27,1.52396309
7175,2022-03-21 03:36:26,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,29.0,26,25.5,15,23,25,1914.89368,2173.913,4.737103,11.71875,4.6875,6.25,3.125,6.25,6.12805462,24,25,35,25,37,26,37,4005.52026,4005.52026,4005.52026,4005.52026,4105.658,4005.52026,18.1527157,16.7222652,0.6405194,1.37496579,100.138008,37.4971428,5.94018936,9.901524,100,1112.93408,69.10974,25,1.51951349,99,2099.22241,82.00938,27,1.52396309
7176,2022-03-21 03:36:27,66.6666641,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,29.0,26,25.5,15,23,25,1923.0769,2173.913,48.484848,1.51515007,0.0,0.0,3.03030014,0.0,8.838386,37,27,25,25,24,24,36,4005.52075,4005.52075,4105.65869,4005.52075,4005.52075,4005.52075,16.7232647,15.2964039,0.6465857,1.22125816,100.138016,38.2282372,6.05600739,9.785706,100,1112.93408,69.10974,25,1.51951349,99,2099.22241,82.00938,27,1.52396309
7177,2022-03-21 03:36:28,66.6666641,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1914.89368,2180.937,36.71875,3.125,16.40625,6.201923,7.03125,3.88337374,12.2277555,25,24,24,34,24,34,34,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,16.79125,15.3425951,0.643077731,1.31194389,100.138008,37.6385841,5.962597,9.879116,100,1112.93408,69.10974,25,1.51951349,99,2099.22241,82.00938,27,1.52396309
7178,2022-03-21 03:36:29,61.9607849,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1925.82031,2180.937,13.28125,21.09375,2.34375,32.8125,2.34375,10.89015,13.7941895,39,32,25,27,24,25,39,4105.658,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,19.1711273,17.5837784,0.6428511,1.98429155,100.138008,38.2049255,6.05231476,9.789398,100,1112.93408,69.10974,25,1.51951349,99,2099.22241,82.00938,27,1.52396309
7179,2022-03-21 03:36:30,61.9607849,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,28.5,26,25.5,15,23,25,1939.65515,2173.913,50.0,48.4375,2.34375,3.125,15.625,0.78125,20.0520821,40,34,26,27,32,25,40,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,23.9338245,22.47029,0.6481603,1.4803232,100.138008,38.5530052,6.107456,9.734257,100,1112.93408,69.10974,25,1.51951349,99,2099.22241,82.00938,27,1.52396309
7180,2022-03-21 03:36:31,64.70589,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1925.82031,2173.913,8.59375,18.8368073,2.34375,20.3125,50.78125,27.34375,21.36863,24,34,24,25,31,25,34,4005.52051,4105.65869,4005.52051,4005.52051,4005.52051,4005.52051,21.064127,19.6296463,0.6388379,1.46575534,100.138016,37.9609451,6.01366425,9.828049,100,1112.93408,69.10974,25,1.51951349,99,2099.22241,82.00938,27,1.52396309
7181,2022-03-21 03:36:32,60.7843132,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1914.89368,2173.913,5.505955,37.2956772,34.375,8.59375,31.25,1.5625,19.76381,26,33,34,26,26,25,34,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,23.7895718,22.3560314,0.647953451,1.64406836,100.138008,38.0039558,6.02047729,9.821236,100,1112.93408,69.10974,25,1.51951349,99,2099.22241,82.00938,27,1.52396309
7182,2022-03-21 03:36:33,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1925.82031,2173.913,20.9495182,38.28125,39.0625,21.875,26.661705,11.71875,26.42479,26,33,36,27,34,26,36,4005.52051,4105.658,4105.658,4005.52051,4005.52051,4005.52051,28.9728184,27.437767,0.6446055,1.82673848,100.138008,38.2510147,6.059616,9.782097,100,1112.9342,69.10974,25,1.51951313,99,2099.26221,82.00953,27,1.52395856
7183,2022-03-21 03:36:34,60.7843132,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,28.5,26,25.5,15,23,25,1936.87231,2173.913,47.65625,13.28125,41.40625,17.1875,2.34375,2.34375,20.703125,35,26,27,26,26,26,35,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,25.3393822,23.9114017,0.643661261,1.350859,100.138008,38.25465,6.060192,9.781521,100,1112.9342,69.10974,25,1.51951313,99,2099.26221,82.00953,27,1.52395856
