,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
7342,7342,2022-03-21 03:39:14-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,29.0,26,25.5,15,23,25,1914.89368,2173.913,30.1470642,22.7941151,16.91177,20.5882378,24.2647057,21.2809029,22.6644688,41,30,34,32,30,31,41,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,28.9944839,27.4822731,0.6543037,1.82584631,100.138008,36.33094,5.75544357,10.0862694,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7343,7343,2022-03-21 03:39:16-04:00,70.98039,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,28.5,26,25.5,15,23,25,1928.57141,2173.913,29.1666679,44.1666679,20.8333378,35.9322,17.5000019,25.0,28.7664833,29,29,27,42,29,35,35,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,30.367239,28.8776035,0.64877677,1.7325896,100.138062,36.58058,5.79499054,10.0467224,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7344,7344,2022-03-21 03:39:17-04:00,67.84314,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1923.0769,2180.937,50.0,0.0,5.681819,1.13636255,9.090912,2.272725,11.3636436,38,26,34,26,24,25,38,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,16.0001373,14.5851192,0.6455714,1.19950187,100.138008,36.7507553,5.821949,10.0197639,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7345,7345,2022-03-21 03:39:19-04:00,65.8823547,100,100,100,100,100,100,1.008,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,28.5,26,25.5,15,23,25,1914.89368,2177.41943,36.71875,18.75,1.5625,10.15625,4.6875,3.90625,12.6302061,25,25,25,36,35,26,36,4005.52075,4005.52075,4105.65869,4005.52075,4005.52075,4005.52075,17.8822651,16.31628,0.637894,1.78008842,100.138016,36.9229,5.84922028,9.992493,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7346,7346,2022-03-21 03:39:20-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1928.57141,2173.913,42.1875,24.21875,2.34375,7.8125,45.3125,1.5625,20.5729179,33,26,25,34,32,27,34,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,23.6417789,22.17946,0.6450304,1.52476215,100.138008,37.043087,5.86825943,9.97345352,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7347,7347,2022-03-21 03:39:21-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1939.65515,2173.913,25.0,20.3248978,3.125,18.75,50.0,0.78125,19.6635246,24,35,24,26,31,26,35,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,21.19145,19.765131,0.6387428,1.44463444,100.138008,36.9951,5.86065674,9.981056,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7348,7348,2022-03-21 03:39:22-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,0.992000043,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1923.0769,2180.937,22.65625,33.44952,31.2748013,15.625,35.3050575,9.375,24.61427,32,28,36,28,34,27,36,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,26.91987,25.4218388,0.6520237,1.77783346,100.138,36.83017,5.83453,10.0071831,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7349,7349,2022-03-21 03:39:23-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1925.82031,2173.913,13.28125,39.0625,32.58413,40.625,20.0600986,6.9711566,25.4306965,31,35,26,35,34,27,35,4105.658,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,28.6395988,27.1826725,0.6385343,1.74093556,100.138008,37.1007843,5.87739944,9.96431351,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7350,7350,2022-03-21 03:39:24-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,0.992000043,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1914.89368,2173.913,38.28125,29.6875,25.0,7.03125,13.28125,3.90625,19.53125,26,32,25,31,26,26,32,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,24.1685123,22.7085781,0.643172741,1.34876919,100.138008,37.117157,5.87999344,9.96171951,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
7351,7351,2022-03-21 03:39:25-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.5,26,25.5,15,23,25,1914.89368,2180.937,3.90625,50.0,11.7559547,42.96875,8.59375,4.6875,20.3186989,31,33,27,28,25,32,33,4005.52075,4005.52075,4105.65869,4005.52075,4005.52075,4005.52075,25.7816219,24.3395729,0.6481013,1.4704988,100.138016,37.6818123,5.96944427,9.872269,100,1112.93433,69.10974,25,1.51951325,99,2099.412,82.0193,27,1.52410758
