,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
11733,11733,2022-03-30 22:16:41-04:00,60.0,100,100,60,60,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,25,25.5,15,23,25,1912.18127,2184.466,15.687,10.15625,18.75,21.09375,16.40625,26.5625,18.1092911,26,26,25,30,27,26,30,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,30.6516914,21.4583549,8.02489948,2.7467196,100.137939,52.86635,8.374935,7.466778,99,2207.28882,81.50313,26,1.52788341,100,1223.38464,46.5730247,26,1.557341
11734,11734,2022-03-30 22:16:42-04:00,60.0,100,100,60,60,100,100,1.008,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,25,25.5,15,23,25,1925.82031,2184.466,17.884613,22.65625,19.53125,25.0,21.875,21.192955,21.356678,27,34,27,29,27,30,34,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,33.7987747,23.7026672,8.684638,3.29499984,100.137878,54.3241768,8.605881,7.235832,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
11735,11735,2022-03-30 22:16:43-04:00,60.0,100,100,60,60,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.0,25,25.5,15,23,25,1923.0769,2191.55835,21.875,20.3125,10.9375,17.96875,13.28125,17.8966351,17.0452766,28,28,26,28,35,27,35,4005.51929,4005.51929,4005.51929,4005.51929,4005.51929,4005.51929,33.04662,21.2252426,10.596386,2.93252945,100.137978,54.87227,8.692707,7.149006,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
11736,11736,2022-03-30 22:16:44-04:00,60.0,100,100,60,60,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,25,25.5,15,23,25,1934.09741,2184.466,21.7548065,21.53846,16.1538486,14.6153812,17.6923027,13.0769253,17.47195,27,26,29,27,27,30,33,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,34.00597,22.19768,10.5410748,3.09036,100.137939,55.3102837,8.762096,7.07961655,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
11737,11737,2022-03-30 22:16:45-04:00,60.0,100,100,60,60,100,100,1.024,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,25,25.5,15,23,25,1923.0769,2184.466,19.53125,20.3125,22.65625,11.71875,9.42460251,21.1681538,17.4685783,26,26,25,27,26,32,34,4005.516,4005.516,4005.516,4005.516,4005.516,4005.516,31.5207863,19.7177029,10.5850391,2.95163131,100.137909,55.25832,8.753864,7.08784866,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
11738,11738,2022-03-30 22:16:46-04:00,60.0,100,100,60,60,100,100,1.0,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.0,25,25.5,15,23,25,1920.34143,2184.466,15.2797222,19.23077,8.4615345,9.230768,9.137529,32.1328659,15.57886,29,31,26,27,30,28,31,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,32.4824677,20.58385,10.6216927,2.99741054,100.137939,55.93391,8.860889,6.98082352,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
11739,11739,2022-03-30 22:16:47-04:00,60.0,100,100,60,60,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,25,25.5,15,23,25,1914.89368,2184.466,27.34375,30.46875,13.28125,12.5,15.625,19.53125,19.7916679,30,28,35,27,26,26,35,4005.51733,4005.51733,4005.51733,4005.51733,4005.51733,4005.51733,33.4289742,21.6638622,10.4460344,3.14980841,100.137932,56.8625336,9.007999,6.83371353,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
11740,11740,2022-03-30 22:16:48-04:00,60.0,100,100,60,60,100,100,0.952,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,25,25.5,15,23,25,1912.18127,2184.466,10.9375,10.9375,7.8125,20.3125,7.03125,10.15625,11.1979189,24,25,24,30,25,25,30,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,24.7630577,14.0924482,9.51603,2.57909727,100.137939,56.97855,9.026379,6.81533432,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
11741,11741,2022-03-30 22:16:49-04:00,60.0,100,100,60,60,100,100,1.0,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,25,25.5,15,23,25,1925.82031,2180.937,30.46875,24.21875,28.90625,25.78125,30.46875,31.25,28.515625,30,29,28,29,33,30,33,4005.517,4005.517,4005.517,4005.517,4005.517,4005.517,39.45752,29.26652,8.889391,3.155475,100.137924,61.51182,9.744526,6.097187,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
11742,11742,2022-03-30 22:16:50-04:00,60.0,100,100,60,60,100,100,1.016,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,26,25.5,15,23,25,1923.0769,2173.913,19.23077,13.0769253,16.1538486,14.6153812,17.6923027,24.6153831,17.5641,27,27,26,27,26,27,34,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,4005.51782,32.54288,21.101984,10.0728216,3.18775749,100.137947,60.9463921,9.654953,6.18676,99,2207.29028,81.5003357,25,1.527883,100,1223.38464,46.5730247,26,1.557341
