,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
8196,8196,2022-03-21 03:53:34-04:00,60.0,100,100,100,100,100,100,0.624,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1914.89368,2173.913,1.51515007,11.3636379,6.06060028,1.51515007,0.757575035,3.03030014,4.04040241,22,21,22,22,21,22,25,2203.03613,1301.79407,801.104065,801.104065,801.104065,801.104065,6.557138,5.244804,0.5261697,1.28855371,100.138008,36.25032,5.742672,10.099041,100,1112.93469,69.10974,25,1.51951313,99,2100.36719,82.02684,26,1.52400589
8197,8197,2022-03-21 03:53:35-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2173.913,2.34375,39.0625,0.78125,2.34375,1.5625,3.90625,8.333331,23,28,23,24,23,23,28,4005.52026,4105.658,4105.658,4005.52026,4005.52026,4005.52026,14.0989561,12.7160215,0.634514153,1.359934,100.138008,36.6375046,5.80400848,10.0377045,100,1112.93469,69.10974,25,1.51951313,99,2100.36719,82.02684,26,1.52400589
8198,8198,2022-03-21 03:53:36-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1928.57141,2173.913,14.6995182,39.9999962,3.076923,10.1442337,1.53846145,0.0,11.5765276,35,24,24,24,23,23,35,4105.65869,4105.65869,4005.52075,4105.65869,4005.52075,4005.52075,15.1381388,13.7042055,0.642399669,1.39672494,100.138016,36.927742,5.849987,9.991726,100,1112.93481,69.10974,26,1.51951313,99,2100.37183,82.02694,26,1.52400517
8199,8199,2022-03-21 03:53:37-04:00,61.9607849,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2173.913,42.3076935,3.858173,9.230768,0.0,2.30768919,1.53846145,9.873801,35,24,24,23,22,24,35,4005.52051,4105.658,4005.52051,4105.658,4005.52051,4005.52051,14.98819,13.5664721,0.643378556,1.40513349,100.138008,37.3184662,5.91188431,9.929829,100,1112.93481,69.10974,26,1.51951313,99,2100.37183,82.02694,26,1.52400517
8200,8200,2022-03-21 03:53:38-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1936.87231,2173.913,23.4375,17.1875,7.8004837,2.34375,7.03125,3.90625,10.2844534,23,23,22,22,23,23,25,3604.96826,2703.726,1802.48413,901.242065,801.104,801.104,12.758235,11.3605337,0.581782,1.3747915,100.138,37.5772057,5.952873,9.88884,100,1112.93481,69.10974,26,1.51951313,99,2100.37183,82.02694,26,1.52400517
8201,8201,2022-03-21 03:53:39-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1923.0769,2173.913,11.6947117,14.0625,3.125,6.25,13.8581753,4.6875,8.946318,25,26,24,24,26,24,26,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,14.3213482,12.9610014,0.598879933,1.38338947,100.138016,38.02406,6.02366257,9.81805,100,1112.93481,69.10974,26,1.51951313,99,2100.37183,82.02694,26,1.52400517
8202,8202,2022-03-21 03:53:40-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1923.0769,2177.41943,23.4375,39.0625,32.8125,26.5625,19.53125,12.5,25.6510429,35,25,29,27,24,25,35,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,27.9581757,26.36732,0.6642152,1.8898201,100.137993,41.47358,6.57012558,9.271587,100,1112.93481,69.10974,26,1.51951313,99,2100.37183,82.02694,26,1.52400517
8203,8203,2022-03-21 03:53:41-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1912.18127,2173.913,42.1875,41.6294632,42.1875,32.8125,39.0625,30.46875,38.0580368,26,30,25,25,24,25,30,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,33.7555733,32.1768456,0.6858607,1.84169841,100.138023,42.47851,6.72932434,9.112389,100,1112.93481,69.10974,26,1.51951313,99,2100.37183,82.02694,26,1.52400517
8204,8204,2022-03-21 03:53:42-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1928.57141,2173.913,10.9375,42.0552864,12.5,6.25,7.03125,5.46875,14.0404644,34,26,25,34,27,26,34,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,19.6724777,18.1381378,0.686999857,1.5952307,100.138008,42.9051666,6.796913,9.0448,100,1112.93481,69.10974,26,1.51951313,99,2100.37183,82.02694,26,1.52400517
8205,8205,2022-03-21 03:53:43-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1928.57141,2173.913,10.9375,9.375,5.46875,16.40625,2.34375,29.6875,12.3697939,23,24,23,36,23,25,36,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,18.02007,16.5159664,0.6829581,1.429011,100.138,42.99515,6.81116867,9.030544,100,1112.93481,69.10974,26,1.51951313,99,2100.37183,82.02694,26,1.52400517
