,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
7620,7620,2022-03-21 03:43:56-04:00,60.0,100,100,100,100,100,100,0.880000055,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.5,26,25.5,15,23,25,1934.09741,2173.913,6.92307949,7.69230747,3.8461566,5.384612,2.30768919,5.384612,5.25641441,34,26,25,25,25,26,32,4005.52,4005.52,4005.52,2904.0022,4005.52,4005.52,22.6584721,10.8414326,10.3794174,3.16227484,100.138,45.92625,7.275505,8.566208,100,1112.93433,69.10974,26,1.51951361,99,2099.70654,82.02867,27,1.52406454
7621,7621,2022-03-21 03:43:57-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,26,25.5,15,23,25,1925.82031,2173.913,15.625,9.375,14.84375,7.8125,4.6875,5.46875,9.635419,33,30,26,26,25,26,33,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,25.7701416,15.2477846,9.086648,3.24892044,100.138008,46.068615,7.29805756,8.543655,100,1112.93433,69.10974,26,1.51951361,99,2099.70654,82.02867,27,1.52406454
7622,7622,2022-03-21 03:43:58-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.016,1.016,27.5,26,25.5,15,23,25,1914.89368,2166.934,63.28125,60.15625,57.03125,57.8125,61.71875,55.46875,59.24479,43,39,43,41,39,37,41,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,48.3986664,43.63041,3.65751839,2.54818821,100.137993,46.01282,7.289219,8.552494,100,1112.93433,69.10974,26,1.51951361,99,2099.70654,82.02867,27,1.52406454
7623,7623,2022-03-21 03:44:00-04:00,66.6666641,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.5,26,25.5,15,23,25,1914.89368,2180.937,55.97015,50.74627,48.5074654,47.0149269,46.2686539,46.2686539,49.12935,42,41,42,43,43,42,43,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,49.43231,45.3332443,3.07941532,2.29499483,100.138,46.6962128,7.39748,8.444233,100,1112.93433,69.10974,26,1.51951361,99,2099.70654,82.02867,27,1.52406454
7624,7624,2022-03-21 03:44:00-04:00,66.6666641,100,100,100,100,100,100,1.016,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.5,26,25.5,15,23,25,1925.82031,2173.913,86.29032,87.09677,82.2580643,86.29032,87.90323,82.2580643,85.3494644,31,28,28,29,31,27,31,4005.52319,4005.52319,4005.52319,4005.52319,4005.52319,4005.52319,51.62792,48.1063271,2.505606,2.33385682,100.138077,47.0845261,7.458996,8.382717,100,1112.93433,69.10974,26,1.51951361,99,2099.70654,82.02867,27,1.52406454
7625,7625,2022-03-21 03:44:02-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.5,26,25.5,15,23,25,1936.87231,2173.913,65.15151,59.09091,68.93939,61.363636,67.42424,59.09091,63.5100975,44,41,42,44,43,41,44,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,54.22974,50.97162,2.153305,2.6869123,100.137993,49.4141541,7.82804871,8.013664,100,1112.93433,69.10974,26,1.51951361,99,2099.70654,82.02867,27,1.52406454
7626,7626,2022-03-21 03:44:02-04:00,65.8823547,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,26,25.5,15,23,25,1936.87231,2173.913,56.4516144,29.0322533,37.9032249,38.7096748,57.2580681,35.48387,42.4731255,33,27,29,29,37,31,32,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,26.3261223,23.56671,1.62659609,2.59734321,100.138016,51.8320351,8.211082,7.63063049,100,1112.93433,69.10974,26,1.51951361,99,2099.70654,82.02867,27,1.52406454
7627,7627,2022-03-21 03:44:03-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.5,26,25.5,15,23,25,1925.82031,2180.937,46.875,22.65625,21.09375,27.34375,42.1875,27.34375,31.25,34,28,27,29,33,26,33,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,30.425045,27.9251747,1.31318879,2.696043,100.138,55.7966042,8.839138,7.002575,100,1112.93433,69.10974,26,1.51951361,99,2099.70654,82.02867,27,1.52406454
7628,7628,2022-03-21 03:44:05-04:00,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.5,26,25.5,15,23,25,1914.89368,2173.913,48.4375,32.8125,30.46875,32.8125,45.3125,38.28125,38.0208321,33,26,27,27,38,36,39,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,42.1231537,39.9596977,1.03570282,2.69933653,100.138016,58.8489723,9.322685,6.51902771,100,1112.93433,69.10974,26,1.51951361,99,2099.78247,82.02876,27,1.524058
7629,7629,2022-03-21 03:44:05-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,28.0,26,25.5,15,23,25,1928.57141,2173.913,47.65625,39.84375,28.90625,28.90625,36.71875,29.6875,35.2864571,36,29,26,30,30,27,36,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,23.5770321,21.5959873,0.9349207,2.21731877,100.137993,59.9290848,9.49379349,6.34791946,100,1112.93433,69.10974,26,1.51951361,99,2099.78247,82.02876,27,1.524058
